date,tvl,apy,apy_base,apy_reward
2025-02-08,34815,11.14673,11.14673,0.0
2025-02-09,34797,12.53032,12.36297,0.16735
2025-02-13,221830,13.2573,13.2573,0.0
2025-02-14,222072,11.57394,11.32499,0.24895
2025-02-15,222143,11.65242,11.4355,0.21692
2025-02-16,222204,11.56823,11.39496,0.17326
2025-02-17,228441,10.9213,10.53422,0.38708
2025-02-18,230176,10.41888,10.13918,0.2797
2025-02-19,229579,8.58435,7.76858,0.81577
2025-02-20,229915,10.4929,9.89554,0.59736
2025-02-21,230573,17.73705,17.73705,0.0
2025-02-22,231182,12.50807,12.20624,0.30183
2025-02-23,232427,11.05381,10.52685,0.52696
2025-02-24,231785,11.29152,10.98973,0.30179
2025-02-25,249210,18.94446,18.94446,0.0
2025-02-26,229178,10.59892,10.46594,0.13298
2025-02-27,229741,10.3758,9.97316,0.40264
2025-02-28,229637,10.03956,9.72229,0.31728
2025-03-01,229717,9.69774,9.44318,0.25456
2025-03-02,222268,9.68466,9.24668,0.43798
2025-03-03,221505,9.03116,8.90829,0.12287
2025-03-04,222057,8.55555,8.4522,0.10335
2025-03-05,221479,8.97495,8.88879,0.08616
2025-03-06,221486,8.31637,8.27553,0.04085
2025-03-07,221539,7.74539,7.6302,0.11519
2025-03-08,236176,7.34436,7.18487,0.15949
2025-03-09,236561,7.29657,7.29657,0.0
2025-03-10,236610,7.50163,7.50163,0.0
2025-03-11,236657,7.20738,7.20738,0.0
2025-03-12,237034,7.39762,7.39762,0.0
2025-03-13,236736,7.52509,7.52509,0.0
2025-03-14,236795,7.49026,7.49026,0.0
2025-03-15,236795,7.49026,7.49026,0.0
2025-03-16,236795,7.49026,7.49026,0.0
2025-03-17,236795,7.49005,7.49005,0.0
2025-03-18,257265,7.97868,7.97868,0.0
2025-03-19,257070,7.16615,7.12001,0.04614
2025-03-20,256817,7.62303,7.62303,0.0
2025-03-21,256966,7.64565,5.35919,2.28645
2025-03-22,256740,3.45472,2.74609,0.70863
2025-03-23,257083,3.10586,2.34785,0.75801
2025-03-24,256740,3.0436,2.22063,0.82297
2025-03-25,257207,5.47326,5.03631,0.43694
2025-03-26,257857,4.81014,4.23538,0.57476
2025-03-27,257252,3.7892,2.92551,0.8637
2025-03-28,257708,2.46561,1.56448,0.90112
2025-03-29,257252,2.36676,1.53866,0.8281
2025-03-30,257318,2.17329,1.35768,0.81561
2025-03-31,256089,1.75211,0.88813,0.86398
2025-04-01,155767,1.76196,1.62066,0.1413
2025-04-02,155748,2.17129,2.12834,0.04295
2025-04-03,155787,2.08158,2.04213,0.03945
2025-04-04,155826,4.63179,4.63179,0.0
2025-04-05,155151,2.64742,2.64742,0.0
2025-04-06,155160,12.21447,12.21447,0.0
2025-04-07,157691,5.93485,5.93485,0.0
2025-04-08,157693,6.33544,6.33544,0.0
2025-04-09,158511,7.93177,7.93177,0.0
2025-04-10,162544,6.30062,6.30062,0.0
2025-04-11,485985,3.22611,3.22611,0.0
2025-04-12,486099,3.44952,3.44952,0.0
2025-04-13,481969,3.35205,3.35205,0.0
2025-04-14,482201,3.63148,3.63148,0.0
2025-04-15,382130,4.19874,4.19874,0.0
2025-04-16,382252,4.1583,4.1583,0.0
2025-04-17,382233,4.20134,4.20134,0.0
2025-04-18,382320,4.28214,4.28214,0.0
2025-04-19,382282,4.16188,4.16188,0.0
2025-04-20,382334,4.33424,4.33424,0.0
2025-04-21,200916,5.70846,5.70846,0.0
2025-04-22,200943,5.97279,5.97279,0.0
2025-04-23,200981,6.1393,6.1393,0.0
2025-04-24,201053,5.80005,5.80005,0.0
2025-04-25,200986,5.89644,5.89644,0.0
2025-04-26,200994,6.13213,6.13213,0.0
2025-04-27,152016,6.86732,6.86732,0.0
2025-04-28,100540,4.78606,4.78606,0.0
2025-04-29,100547,4.92397,4.92397,0.0
2025-04-30,100556,4.91685,4.91685,0.0
2025-05-01,100562,4.99794,4.91009,0.08785
2025-05-02,100580,4.98637,4.89736,0.08901
2025-05-03,100580,4.0596,3.85615,0.20345
2025-05-04,100602,4.02422,3.80354,0.22068
2025-05-05,100597,4.04761,3.82103,0.22658
2025-05-06,100621,3.76796,3.76796,0.0
2025-05-07,100648,4.65841,4.65841,0.0
2025-05-08,90627,4.20085,4.20085,0.0
2025-05-09,59017,7.62623,7.62623,0.0
2025-05-10,59017,5.7694,5.7694,0.0
2025-05-11,59025,7.6514,7.6514,0.0
2025-05-12,84041,5.83933,5.83933,0.0
2025-05-13,84078,5.06159,5.06159,0.0
2025-05-14,84092,5.66814,5.66814,0.0
2025-05-15,84106,8.49946,8.49946,0.0
2025-05-16,84140,10.75342,10.75342,0.0
2025-05-17,84131,11.00892,11.00892,0.0
2025-05-19,84183,6.96176,6.96176,0.0
2025-05-20,84283,5.4543,5.4543,0.0
2025-05-21,84299,6.67002,6.67002,0.0
2025-05-22,84322,5.91831,5.91831,0.0
2025-05-23,84331,5.04686,5.04686,0.0
2025-05-24,84358,4.91769,4.91769,0.0
2025-05-25,84354,5.32242,5.32242,0.0
2025-05-26,84370,5.35246,5.35246,0.0
2025-05-27,84393,5.87948,5.87948,0.0
2025-05-28,84391,5.91156,5.91156,0.0
2025-05-29,84414,6.0955,6.0955,0.0
2025-05-30,84431,10.24761,10.24761,0.0
2025-05-31,84450,5.70287,5.70287,0.0
2025-06-01,84457,5.68879,5.68879,0.0
2025-06-02,84489,5.98043,5.98043,0.0
2025-06-03,84492,5.00441,5.00441,0.0
2025-06-04,84392,5.50522,5.50522,0.0
