date,tvl,apy,apy_base,apy_reward
2025-01-17,8599,18.85012,18.85012,0.0
2025-01-18,8607,19.86979,19.86979,0.0
2025-01-19,8609,29.11608,29.11608,0.0
2025-01-20,8613,12.42668,12.42668,0.0
2025-01-21,1011588,8.97856,8.97856,0.0
2025-01-22,2030844,13.21523,13.21523,0.0
2025-01-23,2033893,28.62556,28.62556,0.0
2025-01-24,6415810,13.99686,11.43662,2.56023
2025-01-25,6389409,16.61629,15.32655,1.28974
2025-01-26,8395550,13.07793,11.05292,2.02501
2025-01-27,4390884,13.32174,11.27532,2.04641
2025-01-28,6392705,12.47455,10.23952,2.23503
2025-01-29,6395600,13.02873,10.61004,2.41869
2025-01-30,6981156,18.2378,16.81685,1.42095
2025-01-31,7870844,13.953,13.29395,0.65905
2025-02-01,8774401,15.89525,15.86606,0.02919
2025-02-02,13252749,29.0173,29.0173,0.0
2025-02-03,7600080,11.45172,10.99507,0.45665
2025-02-04,9058633,12.1757,12.1757,0.0
2025-02-05,19353407,13.23494,13.23494,0.0
2025-02-06,20392713,19.52289,19.52289,0.0
2025-02-07,21289110,11.10394,10.99965,0.10429
2025-02-08,22281151,11.29607,10.97118,0.32489
2025-02-09,21384045,11.15785,10.89448,0.26336
2025-02-10,24197602,9.22782,8.5633,0.66452
2025-02-11,24118520,9.72924,9.35252,0.37672
2025-02-12,20712478,11.25703,11.12902,0.12801
2025-02-13,20650954,11.04124,10.78839,0.25286
2025-02-14,21070061,10.76231,10.3703,0.39201
2025-02-15,22375901,10.72618,10.34598,0.3802
2025-02-16,23106746,10.50774,10.1472,0.36054
2025-02-17,25270858,10.72009,10.33359,0.3865
2025-02-18,26051033,10.94681,10.76028,0.18653
2025-02-19,25774358,10.50496,10.0282,0.47676
2025-02-20,24236830,10.62132,10.04663,0.57469
2025-02-21,24233646,17.45229,17.45229,0.0
2025-02-22,26362613,11.15097,10.6095,0.54147
2025-02-23,28629069,11.46538,11.01106,0.45433
2025-02-24,30956293,11.35718,11.06698,0.2902
2025-02-25,28647375,25.01839,25.01839,0.0
2025-02-26,26085723,31.2023,31.2023,0.0
2025-02-27,26318362,15.62203,15.62203,0.0
2025-02-28,30481382,10.93744,10.77861,0.15883
2025-03-01,35677795,10.96917,10.93898,0.03019
2025-03-02,37693283,10.97501,10.76476,0.21025
2025-03-03,39446284,9.88604,9.88604,0.0
2025-03-04,37763976,9.6167,9.6167,0.0
2025-03-05,41813809,8.82002,8.7065,0.11352
2025-03-06,41024217,8.94659,8.94659,0.0
