date,tvl,apy,apy_base,apy_reward
2025-01-24,1002523,19.33497,17.71988,1.61509
2025-01-25,999999,9.79033,7.29601,2.49432
2025-01-26,999618,11.10877,8.73627,2.3725
2025-01-27,1001276,10.07372,7.45391,2.61981
2025-01-28,998788,11.58834,9.19718,2.39116
2025-01-29,1414661,8.56438,5.35731,3.20707
2025-01-30,1424341,9.10369,6.10422,2.99946
2025-01-31,422370,11.66998,10.60846,1.06152
2025-02-01,205108,8.98796,7.73984,1.24812
2025-02-02,241186,11.16433,10.77199,0.39234
2025-02-03,246412,24.2944,24.2944,0.0
2025-02-04,318200,9.20419,8.71153,0.49266
2025-02-05,1619050,9.41255,8.92474,0.48781
2025-02-06,901555,8.52625,7.93333,0.59292
2025-02-07,711680,7.68769,6.9802,0.70749
2025-02-08,722619,7.93975,7.02256,0.91719
2025-02-09,545427,6.56127,5.48674,1.07452
2025-02-10,512153,6.31034,5.13076,1.17958
2025-02-11,491668,6.40393,5.25022,1.15371
2025-02-12,491799,7.80075,7.0625,0.73825
2025-02-13,739975,6.9368,5.95945,0.97735
2025-02-14,1706269,6.45305,5.30049,1.15256
2025-02-15,1710331,5.42807,4.1129,1.31516
2025-02-16,1708949,6.74746,5.72346,1.024
2025-02-17,1676398,6.78825,5.70789,1.08035
2025-02-18,1434033,6.40624,5.41813,0.98811
2025-02-19,1466073,6.04809,4.7848,1.26329
2025-02-20,1571933,6.0604,4.6809,1.37949
2025-02-21,1362057,6.28694,5.12059,1.16635
2025-02-22,1364646,6.49692,5.13413,1.36279
2025-02-23,1325741,6.18871,4.80297,1.38574
2025-02-24,1318131,6.11153,4.89537,1.21616
2025-02-25,1218420,5.85453,5.08459,0.76994
2025-02-26,216308,5.62112,4.60972,1.0114
2025-02-27,218374,5.46805,4.1996,1.26844
2025-02-28,217444,5.24864,4.08591,1.16273
2025-03-01,218168,5.04072,3.96433,1.0764
2025-03-02,217888,5.3482,4.14481,1.20339
2025-03-03,216712,5.62508,4.90113,0.72395
2025-03-04,330182,5.2173,4.52468,0.69263
2025-03-05,358446,5.12905,4.3642,0.76484
2025-03-06,758896,5.32001,4.7504,0.56962
2025-03-07,758558,5.38487,4.85312,0.53175
2025-03-08,756754,4.2911,3.5928,0.6983
2025-03-09,368090,3.08178,2.39423,0.68755
2025-03-10,356830,2.4871,1.78935,0.69775
2025-03-11,356745,2.60726,1.89622,0.71104
2025-03-12,347621,2.59282,1.82475,0.76807
2025-03-13,346656,2.67697,1.92613,0.75084
2025-03-14,347293,2.64954,1.86148,0.78806
2025-03-15,347293,2.64954,1.86148,0.78806
2025-03-16,347293,2.64954,1.86148,0.78806
2025-03-17,347293,2.64954,1.86148,0.78806
2025-03-18,255474,3.66087,3.06246,0.59841
2025-03-19,254963,3.54971,2.86539,0.68433
2025-03-20,394731,4.86414,4.42526,0.43888
2025-03-21,405776,4.96291,4.52799,0.43493
2025-03-22,427177,4.6969,4.21703,0.47987
2025-03-23,437761,3.85609,3.24371,0.61238
2025-03-24,416443,3.78923,3.09822,0.69101
2025-03-25,416281,3.44254,2.64732,0.79522
2025-03-26,418059,3.10245,2.22633,0.87612
2025-03-27,418144,3.1726,2.19985,0.97274
2025-03-28,395887,5.61785,5.27302,0.34482
2025-03-29,634586,4.68229,4.26306,0.41923
2025-03-30,2591295,3.21326,2.58089,0.63237
2025-03-31,696127,3.45052,2.88677,0.56374
2025-04-01,695291,4.01473,3.52776,0.48697
2025-04-02,664682,3.74193,3.27501,0.46692
2025-04-03,534467,4.07582,3.71978,0.35604
2025-04-04,534335,2.83875,2.22783,0.61092
2025-04-05,536427,3.64032,3.1874,0.45293
2025-04-06,541780,2.97146,2.62827,0.34318
2025-04-07,563089,6.2806,6.2806,0.0
2025-04-08,562576,3.52802,3.2377,0.29032
2025-04-09,562485,3.46633,3.04424,0.42209
2025-04-10,562703,3.09605,2.67764,0.41841
2025-04-11,562568,3.52485,3.1744,0.35045
2025-04-12,562721,3.15465,2.70061,0.45404
2025-04-13,527688,2.7576,2.67105,0.08655
2025-04-14,527678,2.78665,2.69869,0.08795
2025-04-15,527758,2.74327,2.70309,0.04018
2025-04-16,527835,2.82766,2.81286,0.0148
2025-04-17,524390,3.71521,3.48377,0.23145
2025-04-18,524039,4.31774,4.31774,0.0
2025-04-19,524056,2.32884,2.32884,0.0
2025-04-20,523122,2.91637,2.91637,0.0
2025-04-21,1343068,3.94617,3.94617,0.0
2025-04-22,1758261,2.8887,2.80196,0.08674
2025-04-23,1745811,2.583,2.3717,0.21131
2025-04-24,1745823,2.57732,2.35026,0.22706
2025-04-25,1746055,2.74657,2.5233,0.22327
2025-04-26,1761509,4.24853,4.23383,0.0147
2025-04-27,1761319,2.94374,2.73302,0.21072
2025-04-28,1761710,2.9648,2.77513,0.18967
2025-04-29,1761768,4.47339,4.47339,0.0
2025-04-30,1761726,2.86715,2.65798,0.20917
2025-05-01,1761720,3.06016,2.74104,0.31913
2025-05-02,1762135,2.92774,2.59129,0.33645
2025-05-03,1762212,2.90048,2.5975,0.30298
2025-05-04,1742074,2.89685,2.58471,0.31214
2025-05-05,1742058,2.6319,2.26411,0.36779
2025-05-06,1741931,2.86171,2.44118,0.42053
2025-05-07,1742110,3.07704,2.71876,0.35829
2025-05-08,1742469,3.02926,2.47877,0.55049
2025-05-09,742312,3.02176,2.66216,0.35961
2025-05-10,742466,3.05101,2.59465,0.45636
2025-05-11,742490,2.99295,2.56976,0.42319
2025-05-12,732405,4.03281,3.81164,0.22117
2025-05-13,732479,3.60747,3.22655,0.38092
2025-05-14,737565,3.58953,3.24154,0.34799
2025-05-15,737776,3.26334,2.86136,0.40198
2025-05-16,737823,3.24513,2.84868,0.39646
2025-05-17,737832,3.20133,2.8476,0.35374
2025-05-19,1371724,3.81758,3.3592,0.45837
2025-05-20,1391862,3.50423,2.96417,0.54006
2025-05-21,1392149,3.39969,2.87449,0.5252
2025-05-22,1391887,3.27317,2.67963,0.59354
2025-05-23,1391666,3.3159,2.81821,0.49769
2025-05-24,1331981,3.36556,2.90704,0.45852
2025-05-25,1332031,3.16574,2.71654,0.4492
2025-05-26,1332428,3.1705,2.71839,0.4521
2025-05-27,1332232,4.36485,4.10241,0.26244
2025-05-28,1360642,4.04898,3.78031,0.26867
