date,tvl,apy,apy_base,apy_reward
2025-04-17,46210,10.77702,10.77702,0
2025-04-18,49299,4.90923,4.90923,0
2025-04-19,54282,14.87393,14.87393,0
2025-04-20,115714,1.75077,1.75077,0
2025-04-21,115702,1.53104,1.53104,0
2025-04-22,115707,3.64374,3.64374,0
2025-04-23,206425,1.14192,1.14192,0
2025-04-24,206095,1.14711,1.14711,0
2025-04-25,206076,1.16732,1.16732,0
2025-04-26,207075,2.51446,2.51446,0
2025-04-27,207085,2.53731,2.53731,0
2025-04-28,207137,10.79478,10.79478,0
2025-04-29,212204,15.10306,15.10306,0
2025-04-30,218704,14.43776,14.43776,0
2025-05-01,218762,15.46885,15.46885,0
2025-05-02,219810,16.58594,16.58594,0
2025-05-03,377156,2.58919,2.58919,0
2025-05-04,383687,25.17427,25.17427,0
2025-05-05,466975,16.37913,16.37913,0
2025-05-06,585750,4.84708,4.84708,0
2025-05-07,740186,5.18705,5.18705,0
2025-05-08,840712,9.61464,9.61464,0
2025-05-09,766569,17.11598,17.11598,0
2025-05-10,1088375,4.5466,4.5466,0
2025-05-11,1241868,3.58925,3.58925,0
2025-05-12,1399732,3.4048,3.4048,0
2025-05-13,1663508,2.71462,2.71462,0
2025-05-14,1959786,2.17632,2.17632,0
2025-05-15,1708651,2.76579,2.76579,0
2025-05-16,1950534,3.06768,3.06768,0
2025-05-17,1842976,7.52712,7.52712,0
2025-05-19,1941564,4.00225,4.00225,0
2025-05-20,2086228,3.2885,3.2885,0
2025-05-21,2204958,2.92145,2.92145,0
2025-05-22,2330382,3.06085,3.06085,0
2025-05-23,2407353,2.76134,2.76134,0
2025-05-24,2526171,2.5231,2.5231,0
2025-05-25,2498536,2.55828,2.55828,0
2025-05-26,2247154,3.11316,3.11316,0
2025-05-27,2340910,2.82761,2.82761,0
2025-05-28,2330798,2.86614,2.86614,0
2025-05-29,2290795,2.92307,2.92307,0
2025-05-30,2279923,3.07345,3.07345,0
2025-05-31,2258375,3.23888,3.23888,0
2025-06-01,2267549,3.22223,3.22223,0
2025-06-02,2075967,15.9696,15.9696,0
2025-06-03,2075047,4.00242,4.00242,0
2025-06-04,2004069,5.56898,5.56898,0
