date,tvl,apy,apy_base,apy_reward
2025-03-17,9991,2.17704,0.88077,1.29627
2025-03-18,9991,2.24617,0.96224,1.28392
2025-03-19,9991,2.29722,0.94612,1.3511
2025-03-20,9992,0.86007,0.86007,0.0
2025-03-21,9993,0.83737,0.83737,0.0
2025-03-22,9994,0.75928,0.75928,0.0
2025-03-23,9994,0.68252,0.68252,0.0
2025-03-24,9994,0.62354,0.62354,0.0
2025-03-25,9993,0.5623,0.5623,0.0
2025-03-26,9993,0.51203,0.51203,0.0
2025-03-27,9994,0.4662,0.4662,0.0
2025-03-28,9993,0.42299,0.42299,0.0
2025-03-29,9994,0.38522,0.38522,0.0
2025-03-30,9994,0.53569,0.53569,0.0
2025-03-31,9995,0.48525,0.48525,0.0
2025-04-01,9994,0.44797,0.44797,0.0
2025-04-02,9994,0.41324,0.41324,0.0
2025-04-03,9995,0.38119,0.38119,0.0
2025-04-04,9994,0.35169,0.35169,0.0
2025-04-05,9994,0.32473,0.32473,0.0
2025-04-06,9994,0.07771,0.07771,0.0
2025-04-07,9995,0.05763,0.05763,0.0
2025-04-08,9995,0.05124,0.05124,0.0
2025-04-09,9994,0.04505,0.04505,0.0
2025-04-10,9995,0.04005,0.04005,0.0
2025-04-11,9995,0.03561,0.03561,0.0
2025-04-12,9995,0.00484,0.00484,0.0
2025-04-13,9995,0.00424,0.00424,0.0
2025-04-14,9995,0.11303,0.11303,0.0
2025-04-15,9995,0.10419,0.10419,0.0
2025-04-16,9995,0.09612,0.09612,0.0
2025-04-17,9994,0.08871,0.08871,0.0
2025-04-18,9995,0.08177,0.08177,0.0
2025-04-19,9994,0.0754,0.0754,0.0
2025-04-20,9995,0.00231,0.00231,0.0
2025-04-21,9995,0.00202,0.00202,0.0
2025-04-22,9995,0.00177,0.00177,0.0
2025-04-23,9995,0.00155,0.00155,0.0
2025-04-24,9995,0.00136,0.00136,0.0
2025-04-25,9995,0.00118,0.00118,0.0
2025-04-26,9995,0.00104,0.00104,0.0
2025-04-27,9995,0.00091,0.00091,0.0
2025-04-28,9996,0.0008,0.0008,0.0
2025-04-29,9995,0.0007,0.0007,0.0
2025-04-30,9995,0.00068,0.00068,0.0
2025-05-01,9996,0.00059,0.00059,0.0
2025-05-02,9995,0.00338,0.00338,0.0
2025-05-03,9995,0.0084,0.0084,0.0
2025-05-04,9995,0.01949,0.01949,0.0
2025-05-05,9995,0.03863,0.03863,0.0
2025-05-06,9995,0.0385,0.0385,0.0
2025-05-07,9996,0.42437,0.42437,0.0
2025-05-08,9996,1.74992,0.48676,1.26316
2025-05-09,9995,1.81726,0.55837,1.25889
2025-05-10,9995,2.04212,0.63756,1.40456
2025-05-11,9995,2.07764,0.73141,1.34623
2025-05-12,9996,2.16272,0.83828,1.32444
2025-05-13,9997,2.4102,0.9618,1.4484
2025-05-14,9996,2.45734,1.06592,1.39142
2025-05-15,9996,2.64785,1.26185,1.386
2025-05-16,9996,2.81899,1.44828,1.3707
2025-05-17,9996,2.78112,1.48193,1.29919
2025-05-19,9997,3.5577,2.18838,1.36932
2025-05-20,9998,3.90027,2.50539,1.39488
2025-05-21,9998,4.23391,2.87936,1.35456
2025-05-22,9999,4.72084,3.30731,1.41353
2025-05-23,10000,5.10704,3.80044,1.30659
2025-05-24,10002,5.64309,4.36423,1.27887
2025-05-25,10003,6.2407,5.01687,1.22384
2025-05-26,10004,6.78117,5.55082,1.23035
2025-05-27,10005,6.20034,4.94841,1.25194
2025-05-28,10007,8.36847,7.18096,1.1875
2025-05-29,10009,9.67166,8.48533,1.18633
2025-05-30,10011,10.77619,9.66314,1.11304
2025-05-31,10014,12.05753,10.9495,1.10803
2025-06-01,10017,13.67638,12.54641,1.12997
2025-06-02,10019,15.62061,14.50981,1.11079
2025-06-03,10024,17.9466,16.79045,1.15614
2025-06-04,10028,20.6095,19.45611,1.15339
