date,tvl,apy,apy_base,apy_reward
2025-05-19,4204662,5.43765,4.78892,0.64874
2025-05-20,4205106,4.93278,4.20189,0.7309
2025-05-21,4205593,4.84179,4.13758,0.70421
2025-05-22,2206091,5.13675,4.41462,0.72214
2025-05-23,2206347,7.64498,7.29934,0.34564
2025-05-24,2206844,6.41378,5.95559,0.4582
2025-05-25,2207265,5.99242,5.53714,0.45528
2025-05-26,2207318,4.75424,4.15711,0.59713
2025-05-27,2207490,4.6022,3.96454,0.63767
2025-05-28,2207838,4.54399,3.95902,0.58497
2025-05-29,2208016,4.71684,4.15397,0.56287
2025-05-30,2208540,5.57172,5.17056,0.40116
2025-05-31,2208726,4.35517,3.82016,0.53501
2025-06-01,2208841,4.40003,3.85168,0.54836
2025-06-02,2208913,4.08983,3.52393,0.5659
2025-06-03,2209172,4.19985,3.60619,0.59366
2025-06-04,2209288,3.93931,3.59797,0.34135
