date,tvl,apy,apy_base,apy_reward
2025-02-08,2000,0.0,0.0,0.0
2025-02-09,2008,0.0,0.0,0.0
2025-02-10,1998,0.0,0.0,0.0
2025-02-11,1999,0.0,0.0,0.0
2025-02-12,1999,0.0,0.0,0.0
2025-02-13,1999,0.0,0.0,0.0
2025-02-14,1999,0.0,0.0,0.0
2025-02-15,2000,0.0,0.0,0.0
2025-02-16,2000,0.0,0.0,0.0
2025-02-17,1980,0.0,0.0,0.0
2025-02-18,2001,0.0,0.0,0.0
2025-02-19,1998,0.0,0.0,0.0
2025-02-20,2000,0.0,0.0,0.0
2025-02-21,2002,0.0,0.0,0.0
2025-02-22,1999,0.0,0.0,0.0
2025-02-23,2000,0.0,0.0,0.0
2025-02-24,1996,0.0,0.0,0.0
2025-02-25,2001,0.0,0.0,0.0
2025-02-26,2007,0.0,0.0,0.0
2025-02-27,2007,0.0,0.0,0.0
2025-02-28,1998,0.0,0.0,0.0
2025-03-01,2002,0.0,0.0,0.0
2025-03-02,2002,0.0,0.0,0.0
2025-03-03,1997,0.0,0.0,0.0
2025-03-04,2000,0.0,0.0,0.0
2025-03-05,693929,1e-05,1e-05,0.0
2025-03-06,692353,0.0,0.0,0.0
2025-03-07,694788,0.00486,0.00486,0.0
2025-03-08,994360,1.75777,0.61242,1.14536
2025-03-09,995112,1.7349,0.80966,0.92524
2025-03-10,994442,2.2775,1.54277,0.73474
2025-03-11,993188,1.47717,0.82614,0.65103
2025-03-12,994598,1.74392,0.82624,0.91767
2025-03-13,994584,7.44535,7.44535,0.0
2025-03-14,995257,8.3049,8.3049,0.0
2025-03-15,995257,8.30721,8.30721,0.0
2025-03-16,995257,8.3049,8.3049,0.0
2025-03-17,995257,8.30721,8.30721,0.0
2025-03-18,1010885,6.41487,5.35714,1.05773
2025-03-19,1009926,6.65201,5.53789,1.11411
2025-03-20,1010536,6.82804,5.72539,1.10264
2025-03-21,1011485,6.9659,5.88083,1.08507
2025-03-22,1011262,4.18236,3.06186,1.1205
2025-03-23,1011146,5.26862,4.17092,1.09769
2025-03-24,1010785,6.75427,5.59892,1.15535
2025-03-25,1010766,6.85966,5.66776,1.1919
2025-03-26,1011321,6.91844,5.70867,1.20977
2025-03-27,1011994,5.64365,4.34113,1.30252
2025-03-28,1013049,5.47843,4.34263,1.1358
2025-03-29,1011118,5.40519,4.34632,1.05887
2025-03-30,1013147,5.36923,4.34994,1.01929
2025-03-31,1012640,5.34653,4.35502,0.99151
2025-04-01,1012469,5.37753,4.36143,1.0161
2025-04-02,1012252,5.32745,4.36936,0.95809
2025-04-03,1009679,5.2928,4.37876,0.91404
2025-04-04,1012431,5.33449,4.38966,0.94483
2025-04-05,1014347,5.33592,4.40503,0.93088
2025-04-06,1011733,5.15719,4.42022,0.73697
2025-04-07,1008574,4.48038,4.48038,0.0
2025-04-08,1008241,5.28078,4.50483,0.77594
2025-04-09,1008433,5.41102,4.53245,0.87857
2025-04-10,1008557,5.02307,4.20311,0.81996
2025-04-11,1008670,5.02575,4.19914,0.82661
2025-04-12,1008764,5.05421,4.19517,0.85904
2025-04-13,1008890,4.97789,4.19122,0.78667
2025-04-14,1009006,4.98295,4.18727,0.79568
2025-04-15,1010053,4.89511,4.17566,0.71945
2025-04-16,1010157,4.87634,4.17122,0.70513
2025-04-17,1010356,4.92087,4.16678,0.75409
2025-04-18,1010442,4.68318,4.16236,0.52082
2025-04-19,1010552,4.69858,4.15794,0.54064
2025-04-20,1010688,4.66264,4.13569,0.52695
2025-04-21,1010749,4.63961,4.11065,0.52895
2025-04-22,1010912,4.76821,4.19802,0.57019
2025-04-23,1010962,4.84107,4.20496,0.63611
2025-04-24,1011148,4.86866,4.21373,0.65493
2025-04-25,1011163,5.09644,4.41651,0.67994
2025-04-26,1011359,5.7033,4.96959,0.73371
2025-04-27,1011461,5.7699,5.06984,0.70005
2025-04-28,1011675,4.93249,4.2485,0.68399
2025-04-29,1011701,4.95115,4.25762,0.69354
2025-04-30,1011798,4.94691,4.26076,0.68615
2025-05-01,1011971,5.52188,4.69753,0.82435
2025-05-02,1012090,5.54221,4.72371,0.8185
2025-05-03,1012203,5.5326,4.75083,0.78177
2025-05-04,1011356,5.69793,4.90678,0.79115
2025-05-05,1011480,5.76095,4.96133,0.79962
2025-05-06,1011651,5.85156,4.96228,0.88927
2025-05-07,1011770,5.86515,4.99915,0.866
2025-05-08,1011889,6.08649,5.04392,1.04258
2025-05-09,1012079,6.12405,5.08321,1.04084
2025-05-10,1012190,6.28379,5.12415,1.15964
2025-05-11,1012310,6.27538,5.16632,1.10906
2025-05-12,1012429,6.42467,5.33154,1.09313
2025-05-13,1012664,6.58373,5.38442,1.19931
2025-05-14,1012733,6.585,5.43805,1.14695
2025-05-15,1012822,6.56914,5.42636,1.14278
2025-05-16,1012909,6.62398,5.4915,1.13249
2025-05-17,1012934,6.57448,5.50093,1.07355
2025-05-19,1013354,6.43924,5.31159,1.12765
2025-05-20,1013482,6.45809,5.30704,1.15105
2025-05-21,1013638,6.56155,5.44362,1.11793
2025-05-22,1013698,6.66621,5.50259,1.16361
2025-05-23,1013820,6.68589,5.60998,1.0759
2025-05-24,1014050,6.62781,5.57406,1.05375
2025-05-25,1014260,6.73728,5.72823,1.00904
2025-05-26,1014325,6.77419,5.76135,1.01284
2025-05-27,1014463,7.4432,6.40909,1.03411
2025-05-28,1014686,7.44746,6.46671,0.98075
2025-05-29,1014832,7.05534,6.07708,0.97826
2025-05-30,1015118,6.96211,6.04388,0.91823
2025-05-31,1015252,6.99658,6.07964,0.91694
2025-06-01,1015363,7.02835,6.0949,0.93345
2025-06-02,1015461,7.12534,6.20716,0.91818
2025-06-03,1031462,9.78592,8.83194,0.95398
2025-06-04,1165329,9.0546,8.35352,0.70109
2025-06-05,1418088,9.26256,9.26256,0.0
