date,tvl,apy,apy_base,apy_reward
2024-06-18,1719060,0.02752,0.02752,0.0
2024-06-19,5216307,0.03991,0.03991,0.0
2024-06-20,5588904,0.07451,0.07451,0.0
2024-06-21,5722554,19.588,0.1329,19.4551
2024-06-22,7102345,15.55641,0.12796,15.42845
2024-06-23,7527929,15.46444,0.38025,15.08419
2024-06-24,7603463,15.15558,0.34068,14.81489
2024-06-25,7231709,16.21839,0.39802,15.82037
2024-06-26,6886928,16.61641,0.46304,16.15336
2024-06-27,7865347,0.34936,0.34936,0.0
2024-06-28,12080363,9.47995,0.20614,9.27381
2024-06-29,11736469,9.4751,0.25718,9.21792
2024-06-30,11493428,9.55397,0.32315,9.23082
2024-07-01,11536854,9.91774,0.37874,9.539
2024-07-02,11571288,9.91881,0.41262,9.50619
2024-07-03,10873591,10.1823,0.52045,9.66185
2024-07-04,10574906,10.0451,0.74985,9.29526
2024-07-05,10722646,9.5466,1.17588,8.37072
2024-07-06,11761843,9.35567,1.84803,7.50764
2024-07-07,11833550,7.90352,0.72484,7.17868
2024-07-08,11675033,7.96033,1.00438,6.95595
2024-07-09,12359996,7.5134,1.19769,6.31571
2024-07-10,12402753,7.75969,1.37525,6.38444
2024-07-11,15314312,5.74079,0.59879,5.142
2024-07-12,15750032,0.53348,0.53348,0.0
2024-07-13,15775839,5.39533,0.58886,4.80647
2024-07-14,17082162,5.43501,0.65974,4.77527
2024-07-15,17541862,5.21679,0.56666,4.65014
2024-07-16,17434113,5.58925,2.1946,3.39464
2024-07-17,17717817,5.80446,2.50746,3.29701
2024-07-18,18480900,6.00968,2.67421,3.33547
2024-07-19,17806747,2.81685,2.81685,0.0
2024-07-20,17849203,3.18615,3.18615,0.0
2024-07-21,18099746,3.98443,3.98443,0.0
2024-07-22,18380295,3.31279,3.31279,0.0
2024-07-23,18182990,3.71851,3.71851,0.0
2024-07-24,18795726,3.63995,3.63995,0.0
2024-07-25,16273513,4.12422,4.12422,0.0
2024-07-26,17641310,3.78665,3.78665,0.0
2024-07-27,18291627,3.47949,3.47949,0.0
2024-07-28,17584978,5.14689,5.14689,0.0
2024-07-29,17599745,4.74245,4.74245,0.0
2024-07-30,17558428,4.36014,4.36014,0.0
2024-07-31,17341520,4.56483,4.56483,0.0
2024-08-01,17599370,6.02704,6.02704,0.0
2024-08-02,18468770,4.3067,4.3067,0.0
2024-08-03,17630299,5.41466,5.41466,0.0
2024-08-04,17457404,3.50523,3.50523,0.0
2024-08-05,13715156,2.56684,2.56684,0.0
2024-08-06,16726075,1.44992,1.44992,0.0
2024-08-07,16893734,1.29919,1.29919,0.0
2024-08-08,16698252,1.24273,1.24273,0.0
2024-08-09,16195088,1.31414,1.31414,0.0
2024-08-10,17660771,1.01613,1.01613,0.0
2024-08-11,17627993,1.01409,1.01409,0.0
2024-08-12,18501549,0.92037,0.92037,0.0
2024-08-13,19077663,0.86024,0.86024,0.0
2024-08-14,19701284,0.78271,0.78271,0.0
2024-08-15,19860085,0.99626,0.99626,0.0
2024-08-16,19514742,1.04303,1.04303,0.0
2024-08-17,19799979,1.07373,1.07373,0.0
2024-08-18,20055676,0.95862,0.95862,0.0
2024-08-19,20269651,1.12938,1.12938,0.0
