date,tvl,apy,apy_base,apy_reward
2025-04-26,524546,0.0,0.0,0
2025-04-27,524612,0.0,0.0,0
2025-04-28,524627,0.0,0.0,0
2025-04-29,524771,0.0,0.0,0
2025-04-30,524778,0.0,0.0,0
2025-05-01,524830,0.0,0.0,0
2025-05-02,524934,0.0,0.0,0
2025-05-03,524942,0.0,0.0,0
2025-05-04,525032,0.0,0.0,0
2025-05-05,525024,0.0,0.0,0
2025-05-06,525181,0.0,0.0,0
2025-05-07,525265,0.0,0.0,0
2025-05-08,525277,0.0,0.0,0
2025-05-09,525405,0.0,0.0,0
2025-05-10,525411,1.84759,1.84759,0
2025-05-11,525455,1.84787,1.84787,0
2025-05-12,525576,1.85005,1.85005,0
2025-05-13,525714,1.85034,1.85034,0
2025-05-14,525816,1.85063,1.85063,0
2025-05-15,525786,1.85092,1.85092,0
2025-05-16,525939,1.85121,1.85121,0
2025-05-17,525908,1.85126,1.85126,0
2025-05-19,526163,1.85208,1.85208,0
2025-05-20,526290,1.84946,1.84946,0
2025-05-21,526375,1.84946,1.84946,0
2025-05-22,526537,1.84946,1.84946,0
2025-05-23,526585,1.84946,1.84946,0
2025-05-24,526627,1.85474,1.85474,0
2025-05-25,526706,1.85491,1.85491,0
2025-05-26,526741,1.85509,1.85509,0
2025-05-27,526679,1.85526,1.85526,0
2025-05-28,527021,1.85544,1.85544,0
2025-05-29,534730,1.82877,1.82877,0
2025-05-30,534839,1.82894,1.82894,0
2025-05-31,534961,1.82911,1.82911,0
2025-06-01,535036,1.82929,1.82929,0
2025-06-02,535121,1.82946,1.82946,0
2025-06-03,535138,1.80557,1.80557,0
2025-06-04,535328,1.80212,1.80212,0
