date,tvl,apy,apy_base,apy_reward
2025-04-25,80002,17.81058,1.32493,16.48565
2025-04-26,80003,20.4416,1.50074,18.94086
2025-04-27,150003,16.18291,1.0432,15.13971
2025-04-28,150025,17.38231,0.68113,16.70118
2025-04-29,150010,22.95194,1.45144,21.5005
2025-04-30,150014,24.23404,1.53107,22.70297
2025-05-01,202040,29.84095,2.72728,27.11368
2025-05-02,225803,25.14049,1.48316,23.65732
2025-05-03,225813,25.19005,1.46652,23.72353
2025-05-04,225820,24.56916,1.45007,23.11909
2025-05-05,231438,24.00278,1.41279,22.58999
2025-05-06,232623,26.59685,2.48225,24.1146
2025-05-07,265685,27.30451,1.54118,25.76333
2025-05-08,307625,25.59485,1.41735,24.1775
2025-05-09,307625,28.58266,1.4235,27.15917
2025-05-10,307623,28.33011,1.43672,26.89338
2025-05-11,307639,28.69197,1.44501,27.24696
2025-05-12,307667,27.44493,1.45379,25.99114
2025-05-13,307686,26.16986,1.48514,24.68472
2025-05-14,307676,28.78538,1.47903,27.30635
2025-05-15,307673,27.77509,1.48223,26.29286
2025-05-16,307672,27.41309,1.51207,25.90102
2025-05-17,307674,26.74242,1.5116,25.23082
2025-05-19,307808,25.0858,1.38847,23.69732
2025-05-20,307727,24.55051,1.36109,23.18942
2025-05-21,307720,23.71675,0.91362,22.80313
2025-05-22,307774,22.81745,0.89566,21.92179
2025-05-23,307779,21.56628,0.89008,20.6762
2025-05-24,307809,22.83946,0.89337,21.94609
2025-05-25,307758,25.28828,0.84562,24.44266
2025-05-26,307766,25.46328,0.82767,24.63562
2025-05-27,307747,26.37212,0.8364,25.53572
2025-05-28,307756,23.714,0.8136,22.9004
2025-05-29,307770,24.08732,0.79084,23.29648
2025-05-30,307780,23.53758,0.84648,22.6911
2025-05-31,307796,22.80968,0.8546,21.95508
2025-06-01,307817,22.68357,0.85631,21.82726
2025-06-02,307786,22.32271,0.61677,21.70594
2025-06-03,307803,22.55773,0.7212,21.83653
2025-06-04,307810,22.61506,0.71144,21.90362
