date,tvl,apy,apy_base,apy_reward
2024-11-06,1100165,0.00048,0.00048,0
2024-11-07,5051239,4.66851,4.66851,0
2024-11-08,6188599,0.0,0.0,0
2024-11-09,10485661,0.0,0.0,0
2024-11-10,11376084,0.0,0.0,0
2024-11-11,11395717,0.0,0.0,0
2024-11-12,11443520,0.0,0.0,0
2024-11-13,11531949,0.0,0.0,0
2024-11-14,13492904,0.0,0.0,0
2024-11-15,12932218,0.0,0.0,0
2024-11-16,13001534,0.0,0.0,0
2024-11-17,15310974,0.0,0.0,0
2024-11-18,17766072,0.0,0.0,0
2024-11-19,16707846,0.0,0.0,0
2024-11-20,15906469,0.0,0.0,0
2024-11-21,15524678,0.0,0.0,0
2024-11-22,15572841,0.0,0.0,0
2024-11-23,21140614,0.0,0.0,0
2024-11-24,22511466,0.0,0.0,0
2024-11-25,24209069,0.0,0.0,0
2024-11-26,24314664,0.0,0.0,0
2024-11-27,28063671,0.0,0.0,0
2024-11-28,31200015,0.0,0.0,0
2024-11-29,35309154,0.0,0.0,0
2024-11-30,36284872,0.0,0.0,0
2024-12-01,35926400,0.0,0.0,0
2024-12-02,35892801,0.0,0.0,0
2024-12-03,36735249,0.0,0.0,0
2024-12-04,35257316,0.0,0.0,0
2024-12-05,35159823,0.0,0.0,0
2024-12-06,31781143,0.0,0.0,0
2024-12-07,34481920,0.0,0.0,0
2024-12-08,35827748,0.0,0.0,0
2024-12-09,36185718,0.0,0.0,0
2024-12-10,36976527,0.0,0.0,0
2024-12-11,37369864,0.0,0.0,0
2024-12-12,37317234,0.0,0.0,0
2024-12-13,37851864,0.0,0.0,0
2024-12-14,39563460,0.0,0.0,0
2024-12-15,40132155,0.0,0.0,0
2024-12-16,43895643,0.0,0.0,0
2024-12-17,45493144,0.0,0.0,0
2024-12-18,46081858,0.0,0.0,0
2024-12-19,53905748,0.0,0.0,0
2024-12-20,46935682,0.0,0.0,0
2024-12-21,46857936,0.0,0.0,0
2024-12-22,46242342,0.0,0.0,0
2024-12-23,50338460,0.0,0.0,0
2024-12-24,51096610,0.0,0.0,0
2024-12-25,59735207,0.0,0.0,0
2024-12-26,64793120,0.0,0.0,0
2024-12-27,75846984,0.0,0.0,0
2024-12-28,77137920,0.0,0.0,0
2024-12-29,90025136,0.0,0.0,0
2024-12-30,91339792,0.0,0.0,0
2024-12-31,93255637,0.0,0.0,0
2025-01-01,90866821,0.0,0.0,0
2025-01-02,92888874,0.0,0.0,0
2025-01-03,75806788,0.0,0.0,0
2025-01-04,68268578,0.0,0.0,0
2025-01-05,79041430,0.0,0.0,0
2025-01-06,72815855,0.0,0.0,0
2025-01-07,74443360,0.0,0.0,0
2025-01-08,87999993,0.0,0.0,0
2025-01-09,100174463,0.0,0.0,0
2025-01-10,99595579,0.0,0.0,0
2025-01-11,89210001,0.0,0.0,0
2025-01-12,114165986,0.0,0.0,0
2025-01-13,103313604,0.0,0.0,0
2025-01-14,103113902,0.0,0.0,0
2025-01-15,98611038,0.0,0.0,0
2025-01-16,97427967,0.0,0.0,0
2025-01-17,99618056,0.0,0.0,0
2025-01-18,100096114,0.0,0.0,0
2025-01-19,96730630,0.0,0.0,0
2025-01-20,96704910,0.0,0.0,0
2025-01-21,90517906,0.0,0.0,0
2025-01-22,97638531,0.0,0.0,0
2025-01-23,98376608,0.0,0.0,0
2025-01-24,98101522,0.0,0.0,0
2025-01-25,98545241,0.0,0.0,0
2025-01-26,98244236,0.0,0.0,0
2025-01-27,95925886,0.0,0.0,0
2025-01-28,99402052,0.0,0.0,0
2025-01-29,97568877,0.0,0.0,0
2025-01-30,103961101,0.0,0.0,0
2025-01-31,107049679,0.0,0.0,0
2025-02-01,108421161,0.0,0.0,0
2025-02-02,108665377,0.0,0.0,0
2025-02-03,112734772,0.0,0.0,0
2025-02-04,118910825,0.0,0.0,0
2025-02-05,135000476,0.0,0.0,0
2025-02-06,124576674,0.0,0.0,0
2025-02-07,110940818,0.0,0.0,0
2025-02-08,108833211,0.0,0.0,0
2025-02-09,105370608,0.0,0.0,0
2025-02-10,115518208,0.0,0.0,0
2025-02-11,108240094,0.0,0.0,0
2025-02-12,108191284,0.0,0.0,0
2025-02-13,107393075,0.0,0.0,0
2025-02-14,111647352,0.0,0.0,0
2025-02-15,111563859,0.0,0.0,0
2025-02-16,108592037,0.0,0.0,0
2025-02-17,108421826,0.0,0.0,0
2025-02-18,110902778,0.0,0.0,0
2025-02-19,111146803,0.0,0.0,0
2025-02-20,120914139,0.0,0.0,0
2025-02-21,109511848,0.0,0.0,0
2025-02-22,126803803,0.0,0.0,0
2025-02-23,132268383,0.0,0.0,0
2025-02-24,133151682,0.0,0.0,0
2025-02-25,132838634,0.0,0.0,0
2025-02-26,109205791,0.0,0.0,0
2025-02-27,110558957,0.0,0.0,0
2025-02-28,132716132,0.0,0.0,0
2025-03-01,130749612,0.0,0.0,0
2025-03-02,127235187,0.0,0.0,0
2025-03-03,124887746,0.0,0.0,0
2025-03-04,125312372,0.0,0.0,0
2025-03-05,128166668,0.0,0.0,0
2025-03-06,128769794,0.0,0.0,0
2025-03-07,127945805,0.0,0.0,0
2025-03-08,128298665,0.0,0.0,0
2025-03-09,128138232,0.0,0.0,0
2025-03-10,130267531,0.0,0.0,0
2025-03-11,131503051,0.0,0.0,0
2025-03-12,131496271,0.0,0.0,0
2025-03-13,134465216,0.0,0.0,0
2025-03-14,161028726,0.0,0.0,0
2025-03-15,161028726,0.0,0.0,0
2025-03-16,161028726,0.0,0.0,0
2025-03-17,160811100,0.0,0.0,0
2025-03-18,164256938,0.0,0.0,0
2025-03-19,166869868,0.0,0.0,0
2025-03-20,155724962,0.0,0.0,0
2025-03-21,150039390,0.0,0.0,0
2025-03-22,150608207,0.0,0.0,0
2025-03-23,148646933,0.0,0.0,0
2025-03-24,137168564,0.0,0.0,0
2025-03-25,125918154,0.0,0.0,0
2025-03-26,114920351,0.0,0.0,0
2025-03-27,33859217,0.0,0.0,0
2025-03-28,11133426,0.0,0.0,0
2025-03-29,11133426,0.0,0.0,0
2025-03-30,6302143,0.0,0.0,0
2025-03-31,2933250,0.0,0.0,0
2025-04-01,2933250,0.0,0.0,0
2025-04-02,2740596,0.0,0.0,0
2025-04-03,2740596,0.0,0.0,0
2025-04-04,2019245,0.0,0.0,0
2025-04-05,1710572,0.0,0.0,0
2025-04-06,1710572,0.0,0.0,0
2025-04-07,504648,0.0,0.0,0
2025-04-08,504648,0.0,0.0,0
2025-04-09,504648,0.0,0.0,0
2025-04-10,504648,0.0,0.0,0
2025-04-11,504648,0.0,0.0,0
2025-04-12,504648,0.0,0.0,0
2025-04-13,504648,0.0,0.0,0
2025-04-14,504648,0.0,0.0,0
2025-04-15,504006,0.0,0.0,0
2025-04-16,504006,0.0,0.0,0
2025-04-17,504006,0.0,0.0,0
2025-04-18,504006,0.0,0.0,0
2025-04-19,504006,0.0,0.0,0
2025-04-20,504006,0.0,0.0,0
2025-04-21,504006,0.0,0.0,0
2025-04-22,504006,0.0,0.0,0
2025-04-23,504006,0.0,0.0,0
2025-04-24,504006,0.0,0.0,0
2025-04-25,504006,0.0,0.0,0
2025-04-26,504006,0.0,0.0,0
2025-04-27,504006,0.0,0.0,0
2025-04-28,504006,0.0,0.0,0
2025-04-29,504006,0.0,0.0,0
2025-04-30,504006,0.0,0.0,0
2025-05-01,504006,0.0,0.0,0
2025-05-02,504006,0.0,0.0,0
2025-05-03,504006,0.0,0.0,0
2025-05-04,504006,0.0,0.0,0
2025-05-05,504006,0.0,0.0,0
2025-05-06,504006,0.0,0.0,0
2025-05-07,504006,0.0,0.0,0
2025-05-08,504006,0.0,0.0,0
2025-05-09,504006,0.0,0.0,0
2025-05-10,504006,0.0,0.0,0
2025-05-11,504006,0.0,0.0,0
2025-05-12,504006,0.0,0.0,0
2025-05-13,504006,0.0,0.0,0
2025-05-14,504006,0.0,0.0,0
2025-05-15,504006,0.0,0.0,0
2025-05-16,504006,0.0,0.0,0
2025-05-17,504006,0.0,0.0,0
2025-05-19,504006,0.0,0.0,0
2025-05-20,504006,0.0,0.0,0
2025-05-21,504006,0.0,0.0,0
2025-05-22,504006,0.0,0.0,0
2025-05-23,504006,0.0,0.0,0
2025-05-24,504006,0.0,0.0,0
2025-05-25,504006,0.0,0.0,0
2025-05-26,504006,0.0,0.0,0
2025-05-27,504006,0.0,0.0,0
2025-05-28,504006,0.0,0.0,0
2025-05-29,504006,0.0,0.0,0
2025-05-30,504006,0.0,0.0,0
2025-05-31,504006,0.0,0.0,0
2025-06-01,504006,0.0,0.0,0
2025-06-02,504006,0.0,0.0,0
2025-06-03,504006,0.0,0.0,0
2025-06-04,504006,0.0,0.0,0
