date,tvl,apy,apy_base,apy_reward
2025-04-14,16247034,0,0,0
2025-04-15,12190388,0,0,0
2025-04-16,7639278,0,0,0
2025-04-17,7643605,0,0,0
2025-04-18,500616,0,0,0
2025-04-19,500616,0,0,0
2025-04-20,500616,0,0,0
2025-04-21,500765,0,0,0
2025-04-22,500939,0,0,0
2025-04-23,499642,0,0,0
2025-04-24,449687,0,0,0
2025-04-25,449687,0,0,0
2025-04-26,449687,0,0,0
2025-04-27,449687,0,0,0
2025-04-28,449687,0,0,0
2025-04-29,1538863,0,0,0
2025-04-30,1806297,0,0,0
2025-05-01,1797514,0,0,0
2025-05-02,708338,0,0,0
2025-05-03,54720822,0,0,0
2025-05-04,11002970,0,0,0
2025-05-05,2318404,0,0,0
2025-05-06,2423219,0,0,0
2025-05-07,2423219,0,0,0
2025-05-08,2420584,0,0,0
2025-05-09,1526951,0,0,0
2025-05-10,1526951,0,0,0
2025-05-11,671153,0,0,0
2025-05-12,671153,0,0,0
2025-05-13,671734,0,0,0
2025-05-14,671734,0,0,0
2025-05-15,671734,0,0,0
2025-05-16,670659,0,0,0
2025-05-17,670659,0,0,0
2025-05-19,6040276,0,0,0
2025-05-20,2989407,0,0,0
2025-05-21,3476372,0,0,0
2025-05-22,3521632,0,0,0
2025-05-23,769198,0,0,0
2025-05-24,769198,0,0,0
2025-05-25,769198,0,0,0
2025-05-26,1719442,0,0,0
2025-05-27,3196083,0,0,0
2025-05-28,3015799,0,0,0
2025-05-29,46064925,0,0,0
2025-05-30,55633210,0,0,0
2025-05-31,59071050,0,0,0
2025-06-01,58405468,0,0,0
2025-06-02,63010904,0,0,0
2025-06-03,47242979,0,0,0
2025-06-04,40846764,0,0,0
