date,tvl,apy,apy_base,apy_reward
2025-03-28,19968,0,0,0
2025-03-29,19968,0,0,0
2025-03-30,19968,0,0,0
2025-03-31,19968,0,0,0
2025-04-01,19968,0,0,0
2025-04-02,19968,0,0,0
2025-04-03,19968,0,0,0
2025-04-04,19968,0,0,0
2025-04-05,19968,0,0,0
2025-04-29,70919,0,0,0
2025-04-30,118624,0,0,0
2025-05-01,118624,0,0,0
2025-05-02,94111,0,0,0
2025-05-03,95240,0,0,0
2025-05-04,95240,0,0,0
2025-05-05,95240,0,0,0
2025-05-06,95240,0,0,0
2025-05-07,95240,0,0,0
2025-05-08,120003,0,0,0
2025-05-09,120003,0,0,0
2025-05-10,149864,0,0,0
2025-05-11,148804,0,0,0
2025-05-12,148804,0,0,0
2025-05-13,148804,0,0,0
2025-05-14,148804,0,0,0
2025-05-15,148804,0,0,0
2025-05-16,148804,0,0,0
2025-05-17,148804,0,0,0
2025-05-19,152814,0,0,0
2025-05-20,154344,0,0,0
2025-05-21,154344,0,0,0
2025-05-22,154344,0,0,0
2025-05-23,154344,0,0,0
2025-05-24,155769,0,0,0
2025-05-25,125698,0,0,0
2025-05-26,133961,0,0,0
2025-05-27,172693,0,0,0
2025-05-28,172693,0,0,0
2025-05-29,203134,0,0,0
2025-05-30,203127,0,0,0
2025-05-31,203663,0,0,0
2025-06-01,265986,0,0,0
2025-06-02,265986,0,0,0
2025-06-03,265986,0,0,0
2025-06-04,273812,0,0,0
