date,tvl,apy,apy_base,apy_reward
2024-06-18,160749,0.0,0.0,0.0
2024-06-19,156751,0.32241,0.32241,0.0
2024-06-20,156752,0.42338,0.42338,0.0
2024-06-21,206297,31.70803,0.10706,31.60096
2024-06-22,248354,16.98968,0.35618,16.63351
2024-06-23,377484,16.3289,0.07521,16.25368
2024-06-24,689889,16.85617,0.05944,16.79673
2024-06-25,877006,14.3026,0.04675,14.25584
2024-06-26,743062,15.51076,0.05094,15.45983
2024-06-27,764004,0.04541,0.04541,0.0
2024-06-28,751091,14.71115,0.04199,14.66916
2024-06-29,847769,13.38486,0.0372,13.34766
2024-06-30,1136806,10.56249,0.03606,10.52643
2024-07-01,1137091,10.55841,0.03328,10.52512
2024-07-02,1130297,15.24174,0.04465,15.19709
2024-07-03,975275,12.35478,0.02264,12.33214
2024-07-04,978783,13.48349,0.02578,13.45771
2024-07-05,849309,14.64537,0.00743,14.63794
2024-07-06,880177,13.717,0.09319,13.62381
2024-07-07,700520,2.78168,0.4512,2.33048
2024-07-08,592140,3.45749,0.59823,2.85926
2024-07-09,465163,3.93633,1.39272,2.54361
2024-07-10,471781,5.44935,2.57255,2.87681
2024-07-11,424545,3.52505,1.03792,2.48713
2024-07-12,425076,4.29642,0.89433,3.40208
2024-07-13,377972,3.45583,0.95573,2.5001
2024-07-14,363706,3.30322,0.98458,2.31864
2024-07-15,359380,3.28307,1.02315,2.25992
2024-07-16,359414,6.09946,4.42036,1.6791
2024-07-17,566491,12.43318,1.09708,11.3361
2024-07-18,621580,13.40768,1.54912,11.85857
2024-07-19,502743,0.93905,0.93905,0.0
2024-07-20,490495,1.47663,1.47663,0.0
2024-07-21,487085,1.65148,1.65148,0.0
2024-07-22,468626,1.61452,1.61452,0.0
2024-07-23,438180,1.28197,1.28197,0.0
2024-07-24,430873,1.2075,1.2075,0.0
2024-07-25,396884,1.15073,1.15073,0.0
2024-07-26,390599,1.30838,1.30838,0.0
2024-07-27,390618,1.47206,1.47206,0.0
2024-07-28,389066,1.71672,1.71672,0.0
2024-07-29,398917,1.93954,1.93954,0.0
2024-07-30,398951,2.22173,2.22173,0.0
2024-07-31,399000,2.55322,2.55322,0.0
2024-08-01,399064,2.93442,2.93442,0.0
2024-08-02,398413,3.00446,3.00446,0.0
2024-08-03,398694,3.88625,3.88625,0.0
2024-08-04,398947,4.44344,4.44344,0.0
2024-08-05,378044,5.0183,5.0183,0.0
2024-08-06,377077,3.67026,3.67026,0.0
2024-08-07,365976,1.12649,1.12649,0.0
2024-08-08,365018,1.20808,1.20808,0.0
2024-08-09,355258,1.6467,1.6467,0.0
2024-08-10,341889,1.65538,1.65538,0.0
2024-08-11,342021,1.4675,1.4675,0.0
2024-08-12,342149,1.46693,1.46693,0.0
2024-08-13,342152,1.39207,1.39207,0.0
2024-08-14,334421,1.41492,1.41492,0.0
2024-08-15,334945,1.65174,1.65174,0.0
2024-08-16,333934,1.68558,1.68558,0.0
2024-08-17,333881,1.31189,1.31189,0.0
2024-08-18,333938,1.2162,1.2162,0.0
2024-08-19,333946,1.22572,1.22572,0.0
2024-08-20,333919,1.5416,1.5416,0.0
2024-08-21,333925,2.5726,2.5726,0.0
2024-08-22,333940,1.63731,1.63731,0.0
2024-08-23,334157,1.95332,1.95332,0.0
2024-08-24,334169,2.64831,2.64831,0.0
2024-08-25,334197,4.16027,4.16027,0.0
2024-08-26,266000,6.93998,6.93998,0.0
2024-08-27,266210,7.48048,7.48048,0.0
2024-08-28,266293,8.15554,8.15554,0.0
2024-08-29,267205,8.3685,8.3685,0.0
2024-08-30,267175,6.20479,6.20479,0.0
2024-08-31,267389,5.50016,5.50016,0.0
2024-09-01,267398,2.79804,2.79804,0.0
