date,tvl,apy,apy_base,apy_reward
2024-06-06,3038239,12.1743,12.1743,0.0
2024-06-07,4406285,6.59038,6.59038,0.0
2024-06-08,3011517,22.03087,22.03087,0.0
2024-06-09,3588876,18.98643,18.98643,0.0
2024-06-10,3837348,13.23818,13.23818,0.0
2024-06-11,3843695,14.63947,14.63947,0.0
2024-06-12,3856000,18.21526,18.21526,0.0
2024-06-13,3849122,20.48023,20.48023,0.0
2024-06-14,3738222,20.7392,20.7392,0.0
2024-06-15,4365069,10.14624,10.14624,0.0
2024-06-16,3932850,12.56356,12.56356,0.0
2024-06-17,3904782,12.65808,12.65808,0.0
2024-06-18,3718904,12.83846,12.83846,0.0
2024-06-19,3802561,12.76894,12.76894,0.0
2024-06-20,4314598,10.3742,10.3742,0.0
2024-06-21,3841905,11.84294,11.84294,0.0
2024-06-22,3803596,11.33045,11.33045,0.0
2024-06-23,3617059,10.91389,10.91389,0.0
2024-06-24,3709971,8.59999,8.59999,0.0
2024-06-25,3008743,27.59604,27.59604,0.0
2024-06-26,2867193,11.25065,11.25065,0.0
2024-06-27,2832665,11.41695,11.41695,0.0
2024-06-28,2878859,10.60203,10.60203,0.0
2024-06-29,2899485,10.37938,10.37938,0.0
2024-06-30,2901736,9.70205,9.70205,0.0
2024-07-01,3399372,7.32103,7.32103,0.0
2024-07-02,3375643,7.56403,7.56403,0.0
2024-07-03,3359322,7.42489,7.42489,0.0
2024-07-04,3283309,7.47392,7.47392,0.0
2024-07-05,3281984,6.2202,6.2202,0.0
2024-07-06,3220356,5.04406,5.04406,0.0
2024-07-07,3237904,8.46432,8.46432,0.0
2024-07-08,3204017,8.20439,8.20439,0.0
2024-07-09,2773448,7.77634,7.77634,0.0
2024-07-10,2781607,9.82389,9.82389,0.0
2024-07-11,2813564,7.14253,7.14253,0.0
2024-07-12,2818597,6.82513,6.82513,0.0
2024-07-13,2818505,6.7498,6.7498,0.0
2024-07-14,2820072,6.5279,6.5279,0.0
2024-07-15,2819660,6.67397,6.67397,0.0
2024-07-16,2367693,10.60142,10.60142,0.0
2024-07-17,2405856,10.61188,10.61188,0.0
2024-07-18,2402363,11.09328,11.09328,0.0
2024-07-19,2402282,8.39574,8.39574,0.0
2024-07-20,2198718,9.65601,9.65601,0.0
2024-07-21,2204871,8.76213,8.76213,0.0
2024-07-22,2294076,8.14976,8.14976,0.0
2024-07-23,2288223,8.1316,8.1316,0.0
2024-07-24,2082329,25.17582,25.17582,0.0
2024-07-25,1988964,8.78661,8.78661,0.0
