date,tvl,apy,apy_base,apy_reward
2025-01-06,107617,0.0,0.0,0.0
2025-01-07,107715,0.0,0.0,0.0
2025-01-08,8986865,8.11243,8.11243,0.0
2025-01-09,24744340,26.80825,26.80825,0.0
2025-01-10,22315604,7.66034,7.66034,0.0
2025-01-11,16502213,8.64777,8.64777,0.0
2025-01-12,18798221,11.25371,11.25371,0.0
2025-01-13,18270079,15.18204,15.18204,0.0
2025-01-14,22721878,11.6032,11.6032,0.0
2025-01-15,20036694,11.4915,11.4915,0.0
2025-01-16,22157405,15.23252,15.23252,0.0
2025-01-17,33655796,14.37385,14.37385,0.0
2025-01-18,36367028,16.39411,16.39411,0.0
2025-01-19,38829702,21.55462,21.55462,0.0
2025-01-20,36859318,12.98191,12.98191,0.0
2025-01-21,44232663,9.42942,9.42942,0.0
2025-01-22,47785335,10.83255,10.83255,0.0
2025-01-23,44137797,13.07221,13.07221,0.0
2025-01-24,58000649,13.94612,9.67011,4.27601
2025-01-25,61465059,13.23901,9.73502,3.50399
2025-01-26,64085110,13.16044,9.47749,3.68295
2025-01-27,63761442,11.9914,8.25321,3.73819
2025-01-28,60113170,13.31367,9.54275,3.77092
2025-01-29,63138047,13.41536,9.40497,4.01039
2025-01-30,65876832,15.68902,11.77521,3.91381
2025-01-31,68806931,14.77489,12.12215,2.65275
2025-02-01,71595501,12.52742,10.11846,2.40897
2025-02-02,68625676,13.57305,11.56476,2.0083
2025-02-03,58440138,11.93388,9.82786,2.10602
2025-02-04,67777918,12.02035,10.22084,1.7995
2025-02-05,71047485,11.42625,9.59956,1.82669
2025-02-06,67492924,13.15621,11.37339,1.78282
2025-02-07,71367342,11.74306,9.98873,1.75432
2025-02-08,73120710,11.46542,9.49485,1.97057
2025-02-09,70980486,11.71577,9.81823,1.89754
2025-02-10,69182680,11.74504,9.79628,1.94876
2025-02-11,74510816,9.84085,8.06092,1.77993
2025-02-12,68172077,11.95891,10.16163,1.79727
2025-02-13,77656638,9.92364,8.05258,1.87106
2025-02-14,75990842,10.19892,8.25105,1.94787
2025-02-15,76105239,9.91926,7.987,1.93226
2025-02-16,75518423,9.66942,7.78708,1.88234
2025-02-17,70720579,9.99286,8.05622,1.93664
2025-02-18,68710552,10.00068,8.20005,1.80062
2025-02-19,67756331,9.97797,7.99687,1.9811
2025-02-20,67679959,9.99146,7.90983,2.08163
2025-02-21,49864933,10.50222,8.56783,1.93439
2025-02-22,55056993,9.51038,7.37724,2.13314
2025-02-23,54933851,9.51843,7.40673,2.1117
2025-02-24,41914807,14.78231,12.83306,1.94925
2025-02-25,47988059,14.91429,13.5243,1.38999
2025-02-26,41354758,13.46757,11.76485,1.70272
2025-02-27,50174447,16.12945,12.68278,3.44666
2025-02-28,66226324,9.34206,8.40715,0.93491
2025-03-01,58883433,9.43536,8.62702,0.80833
2025-03-02,60723768,10.0722,9.16357,0.90863
2025-03-03,57017442,9.10333,8.49351,0.60982
2025-03-04,51387196,8.85672,8.31697,0.53975
2025-03-05,51937128,8.73976,8.13365,0.60611
2025-03-06,49590988,7.96071,7.42059,0.54012
2025-03-07,53999859,8.00263,7.49183,0.51079
2025-03-08,53997401,7.41894,6.86858,0.55036
2025-03-09,52382093,6.73722,6.32281,0.4144
2025-03-10,43880926,6.76642,6.44472,0.32169
2025-03-11,36835287,6.72885,6.37023,0.35862
