date,tvl,apy,apy_base,apy_reward
2024-10-10,1000025,8.34595,8.34595,0.0
2024-10-11,999350,8.66209,8.66209,0.0
2024-10-12,1000436,8.82461,8.82461,0.0
2024-10-13,999909,9.72096,9.72096,0.0
2024-10-14,1000826,9.49401,9.49401,0.0
2024-10-15,1001570,9.8637,9.8637,0.0
2024-10-16,1379863,16.6929,16.6929,0.0
2024-10-17,2473110,16.56296,16.56296,0.0
2024-10-18,2472856,8.82586,8.82586,0.0
2024-10-19,2494530,8.6524,8.6524,0.0
2024-10-20,3314813,7.24311,7.24311,0.0
2024-10-21,3318458,7.21213,7.21213,0.0
2024-10-22,3318885,27.12349,27.12349,0.0
2024-10-23,4320279,8.95024,8.95024,0.0
2024-10-24,6119993,7.08866,7.08866,0.0
2024-10-25,6301386,13.03334,13.03334,0.0
2024-10-26,6286848,7.7825,7.7825,0.0
2024-10-27,6293230,7.99976,7.99976,0.0
2024-10-28,6294985,12.59646,12.59646,0.0
2024-10-29,6496927,9.53521,9.53521,0.0
2024-10-30,6702739,17.7499,17.7499,0.0
2024-10-31,6747128,8.75784,8.75784,0.0
2024-11-01,7299071,7.67616,7.67616,0.0
2024-11-02,7292003,7.82121,7.82121,0.0
2024-11-03,11183336,6.37012,6.37012,0.0
2024-11-04,11187628,6.47174,6.47174,0.0
2024-11-05,11143346,4.56741,4.56741,0.0
2024-11-06,11146135,5.43522,5.43522,0.0
2024-11-07,10905420,9.01229,9.01229,0.0
2024-11-08,11361373,10.8266,10.8266,0.0
2024-11-09,13060923,7.52522,7.52522,0.0
2024-11-10,13063874,10.89034,10.89034,0.0
2024-11-11,12868395,14.71857,14.71857,0.0
2024-11-12,12827011,15.50457,15.50457,0.0
2024-11-13,12294356,11.0338,11.0338,0.0
2024-11-14,12548338,17.92644,17.92644,0.0
2024-11-15,12290964,11.64996,11.64996,0.0
2024-11-16,14290990,8.32596,8.32596,0.0
2024-11-17,14296884,7.68616,7.68616,0.0
2024-11-18,13611412,7.99484,7.99484,0.0
2024-11-19,13613361,11.11119,11.11119,0.0
2024-11-20,13371886,11.05584,11.05584,0.0
2024-11-21,13354946,9.75082,9.75082,0.0
2024-11-22,13368773,10.88672,10.88672,0.0
2024-11-23,12620636,8.26023,8.26023,0.0
2024-11-24,12621970,11.43503,11.43503,0.0
2024-11-25,12029633,15.38528,15.38528,0.0
2024-11-26,12562702,10.62576,10.62576,0.0
2024-11-27,12061931,9.71309,9.71309,0.0
2024-11-28,12713217,15.62238,15.62238,0.0
2024-11-29,12718859,15.52079,15.52079,0.0
2024-11-30,12955455,21.2757,21.2757,0.0
2024-12-01,14078453,18.31602,18.31602,0.0
2024-12-02,13513911,17.3199,17.3199,0.0
2024-12-03,13504205,20.81909,20.81909,0.0
2024-12-04,13517759,14.71577,14.71577,0.0
2024-12-05,13517226,24.25678,24.25678,0.0
2024-12-06,10769182,12.21893,12.21893,0.0
2024-12-07,10903852,19.71062,19.71062,0.0
2024-12-08,10896821,17.92706,17.92706,0.0
2024-12-09,10918746,18.36397,18.36397,0.0
2024-12-10,11012428,26.19525,26.19525,0.0
2024-12-11,13018077,21.91205,21.91205,0.0
2024-12-12,13240272,16.52406,16.52406,0.0
2024-12-13,14358338,16.25582,16.25582,0.0
2024-12-14,15409787,14.73057,14.73057,0.0
2024-12-15,15780498,16.07063,16.07063,0.0
2024-12-16,16222229,21.19587,21.19587,0.0
2024-12-17,15993679,16.11306,16.11306,0.0
2024-12-18,15993798,29.43863,29.43863,0.0
2024-12-19,24130424,19.31609,19.31609,0.0
2024-12-20,17558983,18.14262,18.14262,0.0
2024-12-21,16592384,25.98413,25.98413,0.0
2024-12-22,18581810,11.89644,11.89644,0.0
2024-12-23,25520227,13.37683,13.37683,0.0
2024-12-24,25572093,17.82676,17.82676,0.0
2024-12-25,25050648,19.35709,19.35709,0.0
2024-12-26,25106203,14.33534,14.33534,0.0
2024-12-27,25115756,13.9959,13.9959,0.0
2024-12-28,25782394,14.24318,14.24318,0.0
2024-12-29,18326354,12.48229,12.48229,0.0
2024-12-30,16776579,16.60652,16.60652,0.0
2024-12-31,18278509,18.24194,18.24194,0.0
2025-01-01,19283679,17.36065,17.36065,0.0
