date,tvl,apy,apy_base,apy_reward
2025-05-22,25483,6.01073,4.66847,1.34226
2025-05-23,25485,6.15503,5.38715,0.76788
2025-05-24,87486,5.51293,4.70448,0.80845
2025-05-25,87557,5.52103,4.77358,0.74745
2025-05-26,85567,5.52891,4.77616,0.75275
2025-05-27,85573,5.3461,4.54906,0.79704
2025-05-28,96250,5.47233,4.7594,0.71293
2025-05-29,111703,5.24243,4.50489,0.73754
2025-05-30,112460,5.33265,4.68849,0.64416
2025-05-31,112477,5.63295,5.02524,0.6077
2025-06-01,112488,5.22388,4.54567,0.67821
2025-06-02,112488,5.94618,5.36946,0.57672
2025-06-03,125988,6.16682,5.56877,0.59805
2025-06-04,126005,5.46013,4.78526,0.67487
