date,tvl,apy,apy_base,apy_reward
2025-03-19,9059,0,0,0
2025-03-20,446689,0,0,0
2025-03-21,478335,0,0,0
2025-03-22,528195,0,0,0
2025-03-23,618932,0,0,0
2025-03-24,696274,0,0,0
2025-03-25,710454,0,0,0
2025-03-26,823206,0,0,0
2025-03-27,885995,0,0,0
2025-03-28,955019,0,0,0
2025-03-29,971804,0,0,0
2025-03-30,1276073,0,0,0
2025-03-31,1307646,0,0,0
2025-04-01,1321904,0,0,0
2025-04-02,1529340,0,0,0
2025-04-03,1578392,0,0,0
2025-04-04,1629449,0,0,0
2025-04-05,1697842,0,0,0
2025-04-06,1699633,0,0,0
2025-04-07,1732369,0,0,0
2025-04-08,1994682,0,0,0
2025-04-09,1729478,0,0,0
2025-04-10,1585145,0,0,0
2025-04-11,1582894,0,0,0
2025-04-12,1568426,0,0,0
2025-04-13,1589874,0,0,0
2025-04-14,1578778,0,0,0
2025-04-15,1448453,0,0,0
2025-04-16,1016643,0,0,0
2025-04-17,1020065,0,0,0
2025-04-18,1006262,0,0,0
2025-04-19,980524,0,0,0
2025-04-20,967848,0,0,0
2025-04-21,976360,0,0,0
2025-04-22,972706,0,0,0
2025-04-23,1059170,0,0,0
2025-04-24,1059182,0,0,0
2025-04-25,1044320,0,0,0
2025-04-26,1046770,0,0,0
2025-04-27,1048848,0,0,0
2025-04-28,851188,0,0,0
2025-04-29,778561,0,0,0
2025-04-30,780075,0,0,0
2025-05-01,701759,0,0,0
2025-05-02,530795,0,0,0
2025-05-03,525902,0,0,0
2025-05-04,518483,0,0,0
2025-05-05,614245,0,0,0
2025-05-06,543683,0,0,0
2025-05-07,545196,0,0,0
2025-05-08,534897,0,0,0
2025-05-09,444214,0,0,0
2025-05-10,444214,0,0,0
2025-05-11,444214,0,0,0
2025-05-12,444214,0,0,0
2025-05-13,444214,0,0,0
2025-05-14,387285,0,0,0
2025-05-15,387046,0,0,0
2025-05-16,385226,0,0,0
2025-05-17,384864,0,0,0
2025-05-19,381309,0,0,0
2025-05-20,383321,0,0,0
2025-05-21,383321,0,0,0
2025-05-22,395584,0,0,0
2025-05-23,395584,0,0,0
2025-05-24,395000,0,0,0
2025-05-25,395109,0,0,0
2025-05-26,376924,0,0,0
2025-05-27,231894,0,0,0
2025-05-28,226435,0,0,0
2025-05-29,219228,0,0,0
2025-05-30,216088,0,0,0
2025-05-31,203821,0,0,0
2025-06-01,202397,0,0,0
2025-06-02,188804,0,0,0
2025-06-03,184478,0,0,0
2025-06-04,184852,0,0,0
