date,tvl,apy,apy_base,apy_reward
2024-09-11,45980,3.48589,3.48589,0.0
2024-09-12,157536,3.52358,3.52358,0.0
2024-09-13,202905,5.06042,5.06042,0.0
2024-09-14,245993,3.58917,3.58917,0.0
2024-09-15,245958,6.32004,6.32004,0.0
2024-09-16,267996,4.90551,4.90551,0.0
2024-09-17,268036,5.11478,5.11478,0.0
2024-09-18,268202,9.27425,9.27425,0.0
2024-09-19,399074,4.02941,4.02941,0.0
2024-09-20,447189,5.58728,5.58728,0.0
2024-09-21,508058,4.34158,4.34158,0.0
2024-09-22,508319,4.0566,4.0566,0.0
2024-09-23,528379,5.53071,5.53071,0.0
2024-09-24,527575,17.22175,17.22175,0.0
2024-09-25,528617,5.45892,5.45892,0.0
2024-09-26,574553,8.47154,8.47154,0.0
2024-09-27,574568,4.26913,4.26913,0.0
2024-09-28,574712,4.46326,4.46326,0.0
2024-09-29,574929,4.38253,4.38253,0.0
2024-09-30,691979,3.60426,3.60426,0.0
2024-10-01,692058,3.92062,3.92062,0.0
2024-10-02,758125,3.41365,3.41365,0.0
2024-10-03,758205,4.06911,4.06911,0.0
2024-10-04,758285,3.71008,3.71008,0.0
2024-10-05,758847,3.85642,3.85642,0.0
2024-10-06,758727,3.76538,3.76538,0.0
2024-10-07,758519,4.17559,4.17559,0.0
2024-10-08,758582,4.87028,4.87028,0.0
2024-10-09,764345,4.29594,4.29594,0.0
2024-10-10,758789,0.0,0.0,0.0
2024-10-11,787873,3.73841,3.73841,0.0
2024-10-12,787938,3.77955,3.77955,0.0
2024-10-13,787400,3.64636,3.64636,0.0
2024-10-14,787730,6.30885,6.30885,0.0
2024-10-15,788180,3.92787,3.92787,0.0
2024-10-16,788367,9.06787,9.06787,0.0
2024-10-17,788443,2.73223,2.73223,0.0
2024-10-18,878991,3.57646,3.57646,0.0
2024-10-19,878554,3.66537,3.66537,0.0
2024-10-20,877841,3.5126,3.5126,0.0
2024-10-21,920714,3.1726,3.1726,0.0
2024-10-22,920492,3.45895,3.45895,0.0
2024-10-23,920920,3.32756,3.32756,0.0
2024-10-24,921372,3.60355,3.60355,0.0
2024-10-25,922721,5.76757,5.76757,0.0
2024-10-26,920423,3.42557,3.42557,0.0
2024-10-27,921254,3.6343,3.6343,0.0
2024-10-28,921395,5.965,5.965,0.0
2024-10-29,921183,8.22053,8.22053,0.0
2024-10-30,921881,3.97704,3.97704,0.0
2024-10-31,921554,3.45888,3.45888,0.0
2024-11-01,923065,4.05383,4.05383,0.0
2024-11-02,922087,5.41898,5.41898,0.0
2024-11-03,921948,3.80251,3.80251,0.0
2024-11-04,1007741,4.4016,4.4016,0.0
2024-11-05,1007825,4.92944,4.92944,0.0
2024-11-06,1008108,3.91013,3.91013,0.0
2024-11-07,1008157,3.89905,3.89905,0.0
2024-11-08,1008633,7.59895,7.59895,0.0
2024-11-09,1007671,3.98387,3.98387,0.0
2024-11-10,1006301,0.0,0.0,0.0
2024-11-11,1045247,19.66668,19.66668,0.0
2024-11-12,1196345,9.96855,9.96855,0.0
2024-11-13,1401811,5.50236,5.50236,0.0
2024-11-14,1401992,7.782,7.782,0.0
2024-11-15,1401100,4.99167,4.99167,0.0
2024-11-16,1401114,4.847,4.847,0.0
2024-11-17,1401555,6.58595,6.58595,0.0
2024-11-18,1663828,7.10178,7.10178,0.0
2024-11-19,1710396,9.33339,9.33339,0.0
2024-11-20,1920808,7.21555,7.21555,0.0
2024-11-21,2091563,5.60187,5.60187,0.0
2024-11-22,2116603,5.57134,5.57134,0.0
2024-11-23,2117020,5.21274,5.21274,0.0
2024-11-24,2117070,5.30886,5.30886,0.0
2024-11-25,2317647,5.81432,5.81432,0.0
2024-11-26,2318035,7.73121,7.73121,0.0
2024-11-27,2518621,7.38027,7.38027,0.0
2024-11-28,2584903,9.04952,9.04952,0.0
2024-11-29,2585698,5.05985,5.05985,0.0
2024-11-30,2908169,5.51634,5.51634,0.0
2024-12-01,2909371,7.19215,7.19215,0.0
2024-12-02,2996110,8.24844,8.24844,0.0
2024-12-03,3318151,11.53829,11.53829,0.0
2024-12-04,3570931,8.78086,8.78086,0.0
2024-12-05,4161037,8.80873,8.80873,0.0
2024-12-06,4450430,11.78399,11.78399,0.0
2024-12-07,4788524,6.56583,6.56583,0.0
2024-12-08,4784017,9.83345,9.83345,0.0
2024-12-09,5065868,9.71586,9.71586,0.0
2024-12-10,5230810,16.59193,16.59193,0.0
2024-12-11,5231268,9.75411,9.75411,0.0
2024-12-12,5765006,8.275,8.275,0.0
2024-12-13,6371129,7.21629,7.21629,0.0
2024-12-14,6543105,9.94351,9.94351,0.0
2024-12-15,6758277,9.35191,9.35191,0.0
2024-12-16,6902542,8.474,8.474,0.0
2024-12-17,7372214,6.24075,6.24075,0.0
2024-12-18,7590718,19.04618,19.04618,0.0
2024-12-19,7592609,8.25032,8.25032,0.0
2024-12-20,7593752,4.3201,4.3201,0.0
2024-12-21,7037543,3.41566,3.41566,0.0
2024-12-22,7025731,4.08235,4.08235,0.0
2024-12-23,7172360,8.10777,8.10777,0.0
2024-12-24,7174143,8.55238,8.55238,0.0
2024-12-25,7559621,4.70415,4.70415,0.0
2024-12-26,7560228,2.37015,2.37015,0.0
2024-12-27,7632374,3.24556,3.24556,0.0
2024-12-28,7620917,4.88284,4.88284,0.0
2024-12-29,7634469,8.5094,8.5094,0.0
2024-12-30,7611949,6.21583,6.21583,0.0
2024-12-31,7312975,5.31943,5.31943,0.0
2025-01-01,7314126,5.56728,5.56728,0.0
2025-01-02,7315796,10.41939,10.41939,0.0
2025-01-03,7316857,4.10874,4.10874,0.0
2025-01-04,7328164,7.88094,7.88094,0.0
2025-01-05,7311845,11.743,11.743,0.0
2025-01-06,7638134,10.35445,10.35445,0.0
2025-01-07,7632593,8.44687,8.44687,0.0
2025-01-08,7871557,9.38037,9.38037,0.0
2025-01-09,7902486,8.23084,8.23084,0.0
2025-01-10,7887813,5.37145,5.37145,0.0
2025-01-11,7888742,4.63505,4.63505,0.0
2025-01-12,7910457,6.22436,6.22436,0.0
2025-01-13,7696640,9.29993,9.29993,0.0
2025-01-14,7693227,8.06177,8.06177,0.0
2025-01-15,7698267,12.18253,12.18253,0.0
2025-01-16,7695528,6.91577,6.91577,0.0
2025-01-17,8266760,6.40102,6.40102,0.0
2025-01-18,8492229,9.23422,9.23422,0.0
2025-01-19,8492136,9.71373,9.71373,0.0
2025-01-20,9325696,8.52036,8.52036,0.0
2025-01-21,9562558,8.05313,8.05313,0.0
2025-01-22,9794474,6.89838,6.89838,0.0
2025-01-23,9872792,6.93815,6.93815,0.0
2025-01-24,9940063,11.63226,7.76102,3.87124
2025-01-25,9897530,9.78323,6.52046,3.26277
2025-01-26,9904280,9.76489,6.40205,3.36284
2025-01-27,9895123,9.51774,6.08384,3.4339
2025-01-28,9899407,10.32719,6.90129,3.42591
2025-01-29,9907359,11.053,7.4135,3.6395
2025-01-30,9912589,10.05963,6.46823,3.5914
2025-01-31,9922266,9.7598,7.48027,2.27953
2025-02-01,9904654,9.0114,6.94981,2.06159
2025-02-02,9904633,7.64229,5.92985,1.71245
2025-02-03,9927371,7.65173,5.83747,1.81426
2025-02-04,9816551,6.06832,4.49307,1.57525
2025-02-05,9864052,6.30546,4.71447,1.59099
2025-02-06,9856627,6.10282,4.54735,1.55547
2025-02-07,9981289,5.96118,4.42801,1.53318
2025-02-08,9982711,6.36628,4.62695,1.73933
2025-02-09,10025934,6.36218,4.69929,1.66289
2025-02-10,9979472,6.22214,4.49803,1.72411
2025-02-11,10152754,5.9936,4.43561,1.55799
2025-02-12,10150997,5.77614,4.18795,1.58819
2025-02-13,10151813,6.26636,4.62659,1.63977
