date,tvl,apy,apy_base,apy_reward
2024-08-20,452209,0.0,0.0,0
2024-08-21,486076,0.0,0.0,0
2024-08-22,560435,0.30737,0.30737,0
2024-08-23,586341,2.46661,2.46661,0
2024-08-24,810184,1.056,1.056,0
2024-08-25,824852,1.51843,1.51843,0
2024-08-26,799799,2.19305,2.19305,0
2024-08-27,784889,1.33695,1.33695,0
2024-08-28,794190,2.89829,2.89829,0
2024-08-29,799870,2.59966,2.59966,0
2024-08-30,816840,2.58546,2.58546,0
2024-08-31,789029,2.6523,2.6523,0
2024-09-01,839952,3.40505,3.40505,0
2024-09-02,841079,3.45241,3.45241,0
2024-09-03,842839,3.38371,3.38371,0
2024-09-04,797269,3.49583,3.49583,0
2024-09-05,800592,3.26377,3.26377,0
2024-09-06,907335,0.52825,0.52825,0
2024-09-07,702931,3.02585,3.02585,0
2024-09-10,702969,3.18104,3.18104,0
2024-09-11,703368,3.22696,3.22696,0
2024-09-12,703545,3.27379,3.27379,0
2024-09-13,675746,4.08123,4.08123,0
2024-09-14,675647,4.15653,4.15653,0
2024-09-15,675607,4.23364,4.23364,0
2024-09-16,560281,4.716,4.716,0
2024-09-17,560064,5.02161,5.02161,0
2024-09-18,561774,4.93166,4.93166,0
2024-09-19,562956,4.90499,4.90499,0
2024-09-20,564624,4.83043,4.83043,0
2024-09-21,564770,4.90539,4.90539,0
2024-09-22,564818,4.98183,4.98183,0
2024-09-23,564817,5.28476,5.28476,0
2024-09-24,566784,4.92317,4.92317,0
2024-09-25,566784,4.97906,4.97906,0
2024-09-26,359364,4.87449,4.87449,0
2024-09-27,356278,2.57445,2.57445,0
2024-09-28,305663,4.96572,4.96572,0
2024-09-29,301555,2.14117,2.14117,0
2024-09-30,298017,2.13668,2.13668,0
2024-10-01,298168,2.10459,2.10459,0
2024-10-02,234411,4.27383,4.27383,0
2024-10-03,234411,4.30911,4.30911,0
2024-10-04,234411,4.34365,4.34365,0
2024-10-05,234411,4.37862,4.37862,0
2024-10-06,234411,4.41401,4.41401,0
2024-10-07,235102,4.44981,4.44981,0
2024-10-08,234636,4.48601,4.48601,0
2024-10-09,235195,4.5226,4.5226,0
2024-10-10,235243,4.55844,4.55844,0
2024-10-11,235289,4.59595,4.59595,0
2024-10-12,235299,4.63392,4.63392,0
2024-10-13,235301,4.67238,4.67238,0
2024-10-14,235377,4.71113,4.71113,0
2024-10-15,236335,4.65064,4.65064,0
2024-10-16,236502,4.67254,4.67254,0
2024-10-17,236579,4.69458,4.69458,0
2024-10-18,236179,5.01468,5.01468,0
2024-10-19,236207,5.04452,5.04452,0
2024-10-20,236225,5.07463,5.07463,0
2024-10-21,236323,5.10501,5.10501,0
2024-10-22,236309,5.12991,5.12991,0
2024-10-23,236318,5.1656,5.1656,0
2024-10-24,216008,0.08717,0.08717,0
2024-10-25,214463,0.0,0.0,0
2024-10-26,214482,0.0,0.0,0
2024-10-27,214475,0.0,0.0,0
2024-10-28,214481,0.0,0.0,0
2024-10-29,214476,0.0,0.0,0
2024-10-30,214472,0.0,0.0,0
2024-10-31,214490,0.0,0.0,0
2024-11-01,214496,0.0,0.0,0
2024-11-02,214496,0.0,0.0,0
2025-04-05,32514,0.0,0.0,0
2025-04-06,32514,0.0,0.0,0
2025-04-07,32514,0.0,0.0,0
2025-04-08,32514,0.0,0.0,0
2025-04-09,32514,0.0,0.0,0
2025-04-10,32514,0.0,0.0,0
2025-04-11,32514,0.0,0.0,0
2025-04-12,32514,0.0,0.0,0
2025-04-13,32514,0.0,0.0,0
2025-04-14,15702,0.0,0.0,0
2025-04-15,15702,0.0,0.0,0
2025-04-16,15702,0.0,0.0,0
2025-04-17,15702,0.0,0.0,0
2025-04-18,15702,0.0,0.0,0
2025-04-19,15702,0.0,0.0,0
2025-04-20,15702,0.0,0.0,0
2025-04-21,15702,0.0,0.0,0
2025-04-22,15702,0.0,0.0,0
2025-04-23,15702,0.0,0.0,0
2025-04-24,15702,0.0,0.0,0
2025-04-25,15702,0.0,0.0,0
2025-04-26,14491,0.0,0.0,0
2025-04-27,14491,0.0,0.0,0
2025-04-28,14491,0.0,0.0,0
2025-04-29,14491,0.0,0.0,0
2025-04-30,14491,0.0,0.0,0
2025-05-01,14491,0.0,0.0,0
2025-05-02,14491,0.0,0.0,0
2025-05-03,16011,0.0,0.0,0
2025-05-04,16011,0.0,0.0,0
2025-05-05,16011,0.0,0.0,0
2025-05-06,16011,0.0,0.0,0
2025-05-07,16011,0.0,0.0,0
2025-05-08,16011,0.0,0.0,0
2025-05-09,16011,0.0,0.0,0
2025-05-10,16011,0.0,0.0,0
2025-05-11,16011,0.0,0.0,0
2025-05-12,16011,0.0,0.0,0
2025-05-13,16011,0.0,0.0,0
2025-05-14,16011,0.0,0.0,0
2025-05-15,16011,0.0,0.0,0
2025-05-16,16011,0.0,0.0,0
2025-05-17,16011,0.0,0.0,0
2025-05-19,16011,0.0,0.0,0
2025-05-20,17664,0.0,0.0,0
2025-05-21,17664,0.0,0.0,0
2025-05-22,17664,0.0,0.0,0
2025-05-23,17664,0.0,0.0,0
2025-05-24,17664,0.0,0.0,0
2025-05-25,17664,0.0,0.0,0
2025-05-26,17664,0.0,0.0,0
2025-05-27,17664,0.0,0.0,0
2025-05-28,17664,0.0,0.0,0
2025-05-29,17664,0.0,0.0,0
2025-05-30,17664,0.0,0.0,0
2025-05-31,17664,0.0,0.0,0
2025-06-01,17664,0.0,0.0,0
2025-06-02,17664,0.0,0.0,0
2025-06-03,17664,0.0,0.0,0
2025-06-04,17664,0.0,0.0,0
