date,tvl,apy,apy_base,apy_reward
2025-01-14,30056,11.0297,11.0297,0.0
2025-01-16,14943,12.53794,12.53794,0.0
2025-01-17,17375,9.27711,9.27711,0.0
2025-01-18,26671,7.4559,7.4559,0.0
2025-01-19,16541,9.67621,9.67621,0.0
2025-01-20,16581,10.1164,10.1164,0.0
2025-01-21,9701961,6.4537,6.4537,0.0
2025-01-22,13021788,4.9621,4.9621,0.0
2025-01-23,12820165,5.22982,5.22982,0.0
2025-01-24,13486117,16.71652,5.10083,11.61569
2025-01-25,12548229,16.64866,5.20939,11.43926
2025-01-26,15453271,15.07331,5.15055,9.92276
2025-01-27,16838480,17.39778,8.40765,8.99012
2025-01-28,16916201,14.38058,4.91508,9.4655
2025-01-29,17544144,14.16763,4.5105,9.65713
2025-01-30,16842405,14.69598,4.52004,10.17594
2025-01-31,16524404,13.59074,5.2126,8.37814
2025-02-01,18048328,12.51599,4.95115,7.56484
2025-02-02,17292715,11.75942,4.60875,7.15067
2025-02-03,15784853,13.05272,5.94209,7.11063
2025-02-04,16246576,11.62223,4.90191,6.72032
2025-02-05,15569885,12.43145,4.76296,7.66849
2025-02-06,15201617,11.95495,4.92736,7.02759
2025-02-07,15988368,11.0942,4.0304,7.0638
2025-02-08,14982401,11.57416,4.13293,7.44123
2025-02-09,15775739,11.32242,3.9217,7.40072
2025-02-10,17081064,11.23208,3.94413,7.28795
2025-02-11,17454245,11.30171,4.48626,6.81545
2025-02-12,17548539,14.48126,8.21543,6.26583
2025-02-13,17896047,12.82717,6.23312,6.59404
2025-02-14,20373854,11.69221,5.44317,6.24904
2025-02-15,21378182,10.93441,4.77325,6.16116
2025-02-16,22887697,11.20558,5.53719,5.66838
2025-02-17,24437955,10.48352,4.94473,5.53879
2025-02-18,22411641,13.58671,8.56778,5.01893
2025-02-19,23563484,12.7844,7.72116,5.06324
2025-02-20,25226109,11.99801,6.93661,5.06141
2025-02-21,27532553,10.94424,6.39378,4.55046
2025-02-22,25773164,12.51451,7.74592,4.76858
2025-02-23,27788173,11.38835,6.64903,4.73932
2025-02-24,28214470,11.16465,6.89614,4.2685
2025-02-25,23576256,9.53466,5.65609,3.87857
2025-02-26,18771954,10.49313,5.6265,4.86662
2025-02-27,18186467,11.91047,6.67682,5.23366
2025-02-28,20323785,10.3751,5.60812,4.76698
2025-03-01,25192263,9.61826,5.53694,4.08131
2025-03-02,23376164,10.1545,5.50932,4.64518
2025-03-03,25918964,9.13986,5.81006,3.32979
2025-03-04,26994817,9.26469,5.77324,3.49146
