date,tvl,apy,apy_base,apy_reward
2025-01-15,3000028,3.53838,3.53838,0.0
2025-01-16,5000106,2.97572,2.97572,0.0
2025-01-17,6500510,4.12932,4.12932,0.0
2025-01-18,9504102,5.02935,5.02935,0.0
2025-01-19,11804596,8.0007,8.0007,0.0
2025-01-20,11920875,7.01,7.01,0.0
2025-01-21,15629903,4.91396,4.91396,0.0
2025-01-22,18491201,5.67169,5.67169,0.0
2025-01-23,18531910,5.67807,5.67807,0.0
2025-01-24,20531316,10.13556,4.95171,5.18385
2025-01-25,20033338,9.2633,4.94342,4.31988
2025-01-26,20061573,9.15157,4.64933,4.50224
2025-01-27,20070604,13.80044,8.74518,5.05526
2025-01-28,20125466,9.68792,4.99182,4.6961
2025-01-29,25127849,9.4816,4.46076,5.02084
2025-01-30,24926416,9.51926,4.48534,5.03392
2025-01-31,24877244,8.0585,4.62584,3.43266
2025-02-01,24878350,7.36951,4.09078,3.27873
2025-02-02,24883962,7.09005,4.36664,2.72341
2025-02-03,34889684,7.39521,4.45492,2.94029
2025-02-04,34942321,7.02345,4.2722,2.75125
2025-02-05,34896069,7.05444,4.34407,2.71037
2025-02-06,34917645,7.17113,4.51397,2.65717
2025-02-07,50040078,5.85729,3.28376,2.57352
2025-02-08,50041665,6.38744,3.49269,2.89475
2025-02-09,50072818,6.23074,3.36752,2.86322
2025-02-10,50086129,6.49085,3.5992,2.89164
2025-02-11,50286743,6.34991,3.5333,2.81661
2025-02-12,50195836,10.3068,7.29896,3.00784
2025-02-13,50574355,8.61291,5.4984,3.11451
2025-02-14,50602475,8.4425,5.35239,3.09011
2025-02-15,50344331,7.79377,4.70554,3.08823
2025-02-16,50339485,8.48098,5.52819,2.95279
2025-02-17,50510410,7.77968,4.63398,3.1457
2025-02-18,51404410,10.11139,7.07153,3.03986
2025-02-19,51660593,10.29719,7.25046,3.04673
2025-02-20,53238091,9.94183,6.48729,3.45454
2025-02-21,54867068,9.18185,6.32576,2.85608
2025-02-22,53982664,10.96595,7.83281,3.13314
2025-02-23,55249886,9.76061,6.66145,3.09916
2025-02-24,56297434,9.60351,6.75826,2.84525
2025-02-25,71818542,6.83921,4.81315,2.02606
2025-02-26,70119712,7.74907,5.43153,2.31754
2025-02-27,70484924,9.25247,6.47115,2.78132
2025-02-28,71065667,7.94834,5.40054,2.54781
2025-03-01,71818460,7.54446,5.06077,2.48368
2025-03-02,71404403,8.01439,5.3089,2.70549
2025-03-03,71269078,7.50248,5.33559,2.16688
2025-03-04,71832870,7.33328,5.32363,2.00965
2025-03-05,72135621,7.54965,5.38932,2.16033
2025-03-06,73064295,7.25826,5.31963,1.93862
2025-03-07,72979683,8.50356,6.61882,1.88474
2025-03-08,73689742,7.32658,5.43746,1.88913
2025-03-09,74128459,7.03199,5.43821,1.59377
2025-03-10,73950275,6.84508,5.37728,1.4678
2025-03-11,97028937,5.4543,4.24867,1.20563
2025-03-12,97012795,5.59408,4.33307,1.26101
2025-03-13,96670564,5.77669,4.51723,1.25946
2025-03-14,96550331,5.80808,4.51706,1.29103
2025-03-15,96550331,5.80808,4.51706,1.29103
2025-03-16,96550331,5.80808,4.51706,1.29103
2025-03-17,96550356,5.80924,4.51721,1.29203
2025-03-18,96817321,5.2339,3.94999,1.28392
2025-03-19,95040194,5.71659,4.36549,1.3511
2025-03-20,94339435,5.8614,4.52421,1.33719
2025-03-21,93792203,5.92324,4.50638,1.41686
2025-03-22,93534545,5.99966,4.58762,1.41204
2025-03-23,93683295,5.83671,4.40435,1.43236
2025-03-24,95101367,5.64658,4.24352,1.40305
2025-03-25,93491968,5.73926,4.29536,1.4439
2025-03-26,93324801,5.88653,4.41897,1.46756
2025-03-27,103288112,5.65824,4.07703,1.58121
2025-03-28,102983711,5.85832,4.48164,1.37668
2025-03-29,103000345,5.69538,4.41025,1.28512
2025-03-30,102904832,3.60251,2.36742,1.23509
2025-03-31,102779940,4.31064,3.10034,1.2103
2025-04-01,73470455,5.87938,4.64441,1.23496
2025-04-02,72238733,5.32122,4.15536,1.16586
2025-04-03,71689175,6.10143,4.99262,1.10881
2025-04-04,70840258,6.48831,5.3421,1.14621
2025-04-05,70822004,6.2387,6.2387,0.0
2025-04-06,73499939,7.25204,7.25204,0.0
2025-04-07,71821834,4.22684,4.22684,0.0
2025-04-08,65669047,5.65794,4.71517,0.94277
2025-04-09,52257788,6.24765,5.17879,1.06886
2025-04-10,49715581,5.44987,4.45278,0.99708
2025-04-11,59340568,5.52618,4.52399,1.00219
2025-04-12,64005921,5.55268,4.51249,1.0402
2025-04-13,69845014,5.47069,4.51595,0.95474
2025-04-14,69172472,5.51215,4.54708,0.96507
2025-04-15,73320399,5.31654,4.49989,0.81665
2025-04-16,75858058,5.33344,4.47768,0.85576
2025-04-17,76601162,5.33869,4.49973,0.83896
2025-04-18,81034757,5.13207,4.49997,0.6321
2025-04-19,87287200,5.1903,4.5349,0.65539
