date,tvl,apy,apy_base,apy_reward
2025-05-16,93071,11.67337,11.63852,0.03485
2025-05-17,93075,9.45124,8.81858,0.63266
2025-05-19,1531243,10.094,9.43834,0.65566
2025-05-20,4742657,6.96143,6.14014,0.82129
2025-05-21,3868093,8.08381,7.33247,0.75135
2025-05-22,4231033,8.12446,7.32712,0.79734
2025-05-23,4255625,10.26245,9.67009,0.59236
2025-05-24,4019437,7.5373,6.82471,0.71259
2025-05-25,4036836,11.14673,10.09878,1.04795
2025-05-26,5937142,8.7964,8.19323,0.60317
2025-05-27,8229589,11.99969,11.5427,0.45699
2025-05-28,8708860,8.31498,7.72011,0.59488
2025-05-29,6453923,6.97173,6.30891,0.66282
2025-05-30,6415180,11.50174,11.14098,0.36076
2025-05-31,8138265,6.5466,5.9259,0.6207
2025-06-01,5226016,12.12826,11.78466,0.3436
2025-06-02,4022860,6.48313,5.85778,0.62536
2025-06-03,4004503,6.4491,5.78401,0.66509
2025-06-04,3476410,6.57512,6.18568,0.38944
2025-06-05,2558093,5.51682,5.51682,0.0
