date,tvl,apy,apy_base,apy_reward
2024-06-06,48579218,15.1565,15.1565,0.0
2024-06-07,50304431,8.25579,8.25579,0.0
2024-06-08,50309857,8.90976,8.90976,0.0
2024-06-09,47030614,10.3381,10.3381,0.0
2024-06-10,45134333,7.80178,7.80178,0.0
2024-06-11,47085884,7.72897,7.72897,0.0
2024-06-12,45191229,8.08735,8.08735,0.0
2024-06-13,45212043,10.1883,10.1883,0.0
2024-06-14,45257565,8.15842,8.15842,0.0
2024-06-15,45283830,8.06381,8.06381,0.0
2024-06-16,47303451,7.37156,7.37156,0.0
2024-06-17,47726601,7.15455,7.15455,0.0
2024-06-18,46283236,7.32561,7.32561,0.0
2024-06-19,46301914,7.95116,7.95116,0.0
2024-06-20,46262036,8.02207,8.02207,0.0
2024-06-21,46292528,7.27845,7.27845,0.0
2024-06-22,46280264,7.33483,7.33483,0.0
2024-06-23,46589809,6.98871,6.98871,0.0
2024-06-24,46316203,7.14955,7.14955,0.0
2024-06-25,46269805,7.35676,7.35676,0.0
2024-06-26,48268568,6.90563,6.90563,0.0
2024-06-27,48728629,6.66142,6.66142,0.0
2024-06-28,48458848,6.57414,6.57414,0.0
2024-06-29,48605313,7.54195,7.54195,0.0
2024-06-30,51418015,6.97304,6.97304,0.0
2024-07-01,50308443,7.54129,7.54129,0.0
2024-07-02,49529641,7.32792,7.32792,0.0
2024-07-03,49869437,7.29896,7.29896,0.0
2024-07-04,45396781,7.57246,7.57246,0.0
2024-07-05,46245079,6.4006,6.4006,0.0
2024-07-06,46220798,6.33067,6.33067,0.0
2024-07-07,46338914,6.20641,6.20641,0.0
2024-07-08,46301574,6.19866,6.19866,0.0
2024-07-09,46224226,6.03372,6.03372,0.0
2024-07-10,46281506,5.67387,5.67387,0.0
2024-07-11,47754004,5.50863,5.50863,0.0
2024-07-12,51721688,4.97206,4.97206,0.0
2024-07-13,51692805,4.88086,4.88086,0.0
2024-07-14,51708150,4.89611,4.89611,0.0
2024-07-15,52057289,4.85496,4.85496,0.0
2024-07-16,49684906,5.21845,5.21845,0.0
2024-07-17,48818629,5.41462,5.41462,0.0
2024-07-18,47929196,5.68201,5.68201,0.0
2024-07-19,49909987,5.18651,5.18651,0.0
2024-07-20,50460893,5.01515,5.01515,0.0
2024-07-21,50482795,5.2764,5.2764,0.0
2024-07-22,50395055,5.68872,5.68872,0.0
2024-07-23,50385273,5.08024,5.08024,0.0
2024-07-24,45928183,5.40814,5.40814,0.0
2024-07-25,45388433,5.22324,5.22324,0.0
2024-07-26,44716954,5.15032,5.15032,0.0
2024-07-27,44740957,5.22822,5.22822,0.0
2024-07-28,44764238,5.40641,5.40641,0.0
2024-07-29,45150591,5.14357,5.14357,0.0
2024-07-30,45100263,5.38586,5.38586,0.0
2024-07-31,45103746,0.0,0.0,0.0
2024-08-01,45416468,4.94475,4.94475,0.0
2024-08-02,45518005,5.23257,5.23257,0.0
2024-08-03,47262943,4.91935,4.91935,0.0
2024-08-04,47439123,4.73871,4.73871,0.0
2024-08-05,38066586,2.58904,2.58904,0.0
2024-08-06,37090949,4.08448,4.08448,0.0
2024-08-07,37587188,3.82992,3.82992,0.0
2024-08-08,38484610,3.77367,3.77367,0.0
2024-08-09,38187988,4.04423,4.04423,0.0
2024-08-10,38178479,4.09191,4.09191,0.0
2024-08-11,38199352,3.7501,3.7501,0.0
2024-08-12,38168889,3.66376,3.66376,0.0
2024-08-13,38154032,3.91889,3.91889,0.0
2024-08-14,39096221,3.59756,3.59756,0.0
2024-08-15,38730840,3.58338,3.58338,0.0
2024-08-16,37924452,3.60521,3.60521,0.0
2024-08-17,38040184,3.93777,3.93777,0.0
2024-08-18,38169964,4.04524,4.04524,0.0
2024-08-19,37865858,3.59161,3.59161,0.0
2024-08-20,37704805,3.48659,3.48659,0.0
2024-08-21,37667816,3.8531,3.8531,0.0
2024-08-22,37669545,4.08967,4.08967,0.0
2024-08-23,37645498,4.169,4.169,0.0
2024-08-24,37667564,4.64701,4.64701,0.0
2024-08-25,37672163,4.27206,4.27206,0.0
2024-08-26,39019452,4.43936,4.43936,0.0
2024-08-27,38006571,4.1212,4.1212,0.0
2024-08-28,35680603,4.87363,4.87363,0.0
2024-08-29,34517015,4.23568,4.23568,0.0
2024-08-30,34494940,3.82924,3.82924,0.0
2024-08-31,34485806,4.0311,4.0311,0.0
2024-09-01,34472309,3.17011,3.17011,0.0
2024-09-02,35507049,3.47257,3.47257,0.0
2024-09-03,35482259,5.39463,5.39463,0.0
2024-09-04,34109552,4.93259,4.93259,0.0
2024-09-05,35231490,5.39788,5.39788,0.0
2024-09-06,35979962,3.83797,3.83797,0.0
2024-09-07,35585675,3.62874,3.62874,0.0
2024-09-10,35722546,3.56919,3.56919,0.0
2024-09-11,38719391,3.98483,3.98483,0.0
2024-09-12,38708279,3.94511,3.94511,0.0
2024-09-13,39170322,5.85289,5.85289,0.0
2024-09-14,39201025,4.98733,4.98733,0.0
2024-09-15,39192056,7.07734,7.07734,0.0
2024-09-16,39176402,5.46427,5.46427,0.0
2024-09-17,39087149,5.69694,5.69694,0.0
2024-09-18,39502615,10.37779,10.37779,0.0
2024-09-19,42833511,4.56167,4.56167,0.0
2024-09-20,42886738,6.21112,6.21112,0.0
2024-09-21,42877431,4.83834,4.83834,0.0
2024-09-22,45324559,4.61146,4.61146,0.0
2024-09-23,44768365,6.2168,6.2168,0.0
2024-09-24,44401034,20.07847,20.07847,0.0
2024-09-25,44513722,6.10666,6.10666,0.0
2024-09-26,44514842,9.64658,9.64658,0.0
2024-09-27,48473893,4.79404,4.79404,0.0
2024-09-28,48458476,4.70875,4.70875,0.0
2024-09-29,48451395,4.76619,4.76619,0.0
2024-09-30,50746852,4.71246,4.71246,0.0
2024-10-01,49618738,4.15338,4.15338,0.0
2024-10-02,48280667,4.03004,4.03004,0.0
2024-10-03,47049049,4.5426,4.5426,0.0
2024-10-04,52342104,3.75085,3.75085,0.0
2024-10-05,51566074,3.89073,3.89073,0.0
2024-10-06,51589462,3.81987,3.81987,0.0
2024-10-07,51544438,4.2511,4.2511,0.0
2024-10-08,52252390,5.42908,5.42908,0.0
2024-10-09,52282801,4.73384,4.73384,0.0
2024-10-10,51262602,4.53153,4.53153,0.0
2024-10-11,53802041,3.97133,3.97133,0.0
2024-10-12,53237548,3.96164,3.96164,0.0
2024-10-13,53189982,3.86101,3.86101,0.0
2024-10-14,53263026,5.49996,5.49996,0.0
2024-10-15,52031945,4.00647,4.00647,0.0
2024-10-16,49095397,10.01941,10.01941,0.0
2024-10-17,50085422,3.06032,3.06032,0.0
2024-10-18,49461299,4.33287,4.33287,0.0
2024-10-19,51957509,4.39675,4.39675,0.0
2024-10-20,52319530,3.82872,3.82872,0.0
2024-10-21,55808411,3.81838,3.81838,0.0
2024-10-22,55616737,4.07761,4.07761,0.0
2024-10-23,55575382,3.70523,3.70523,0.0
2024-10-24,55208041,4.02158,4.02158,0.0
2024-10-25,54286919,6.44965,6.44965,0.0
2024-10-26,54376396,3.82439,3.82439,0.0
2024-10-27,54093053,4.06557,4.06557,0.0
2024-10-28,52724230,6.64625,6.64625,0.0
2024-10-29,52713159,9.14101,9.14101,0.0
2024-10-30,52737825,4.41595,4.41595,0.0
2024-10-31,52617261,3.79778,3.79778,0.0
2024-11-01,51313256,4.51283,4.51283,0.0
2024-11-02,51720427,5.72269,5.72269,0.0
2024-11-03,51740876,4.26172,4.26172,0.0
2024-11-04,49981532,4.79888,4.79888,0.0
2024-11-05,49808750,5.7829,5.7829,0.0
2024-11-06,49408195,4.40061,4.40061,0.0
2024-11-07,50423663,4.3395,4.3395,0.0
2024-11-08,53834622,7.93985,7.93985,0.0
2024-11-09,64027478,4.42575,4.42575,0.0
2024-11-10,65409582,7.66542,7.66542,0.0
2024-11-11,59978186,2.63915,2.63915,0.0
2024-11-12,59737026,9.47771,9.47771,0.0
2024-11-13,59440210,6.049,6.049,0.0
2024-11-14,60319117,8.38062,8.38062,0.0
2024-11-15,60778530,5.55189,5.55189,0.0
2024-11-16,60778997,5.37533,5.37533,0.0
2024-11-17,60799095,7.13201,7.13201,0.0
2024-11-18,59610220,8.02102,8.02102,0.0
2024-11-19,55626592,10.21149,10.21149,0.0
2024-11-20,54500431,8.01987,8.01987,0.0
2024-11-21,56193985,6.28275,6.28275,0.0
2024-11-22,59848373,6.24141,6.24141,0.0
2024-11-23,73562517,5.73641,5.73641,0.0
2024-11-24,71292028,6.19686,6.19686,0.0
2024-11-25,70298923,6.40594,6.40594,0.0
2024-11-26,71047825,8.41644,8.41644,0.0
2024-11-27,71923700,8.06109,8.06109,0.0
2024-11-28,72107451,10.06364,10.06364,0.0
2024-11-29,77966489,5.81813,5.81813,0.0
2024-11-30,73578990,6.28792,6.28792,0.0
2024-12-01,73340141,8.00967,8.00967,0.0
2024-12-02,75541840,10.29016,10.29016,0.0
2024-12-03,72313694,14.16306,14.16306,0.0
2024-12-04,72354312,9.72119,9.72119,0.0
2024-12-05,73835749,9.53251,9.53251,0.0
2024-12-06,74012122,13.22746,13.22746,0.0
2024-12-07,77147060,7.32933,7.32933,0.0
2024-12-08,75367981,10.92323,10.92323,0.0
2024-12-09,75228668,11.59012,11.59012,0.0
2024-12-10,74746624,19.33672,19.33672,0.0
2024-12-11,74927431,11.00936,11.00936,0.0
2024-12-12,73273083,9.35128,9.35128,0.0
2024-12-13,73594105,8.02104,8.02104,0.0
2024-12-14,74428455,11.94035,11.94035,0.0
2024-12-15,73754246,10.02127,10.02127,0.0
2024-12-16,73866371,8.7276,8.7276,0.0
2024-12-17,75043247,7.31265,7.31265,0.0
2024-12-18,74825894,20.83312,20.83312,0.0
