date,tvl,apy,apy_base,apy_reward
2025-02-04,15002,11.38771,10.0933,1.29441
2025-02-05,15056,12.90341,11.6321,1.2713
2025-02-06,346250,9.37207,7.98867,1.38341
2025-02-07,345396,9.02729,7.6557,1.37159
2025-02-08,345365,8.41982,6.78836,1.63145
2025-02-09,347186,7.11683,5.49347,1.62335
2025-02-10,345101,6.93937,5.25329,1.68608
2025-02-11,345088,6.85483,5.23258,1.62225
2025-02-12,345173,6.32266,4.76304,1.55962
2025-02-13,345448,6.83342,5.22328,1.61013
2025-02-14,345752,7.15882,5.48555,1.67327
2025-02-15,346575,5.78152,4.05202,1.7295
2025-02-16,346297,7.77956,6.20745,1.57211
2025-02-17,343094,7.57331,5.93348,1.63983
2025-02-18,345686,6.81045,5.27335,1.53711
2025-02-19,344683,6.39236,4.64317,1.74919
2025-02-20,345450,6.39067,4.53583,1.85484
2025-02-21,346579,6.84092,5.16471,1.67621
2025-02-22,345710,6.7745,4.88577,1.88873
2025-02-23,346876,6.29644,4.41067,1.88577
2025-02-24,344882,6.28645,4.56413,1.72232
2025-02-25,346565,6.26559,4.98201,1.28358
2025-02-26,347652,6.17604,4.7086,1.46744
2025-02-27,347627,5.82715,4.13543,1.69172
2025-02-28,346025,6.9919,5.49082,1.50108
2025-03-01,341031,6.43115,5.01064,1.42051
2025-03-02,340602,6.86593,5.30628,1.55965
2025-03-03,338769,5.55724,4.31381,1.24344
2025-03-04,339743,4.92846,3.74452,1.18394
2025-03-05,340881,4.76296,3.51945,1.24351
2025-03-06,340753,4.95426,3.86535,1.08891
2025-03-07,340590,5.05316,3.9931,1.06007
2025-03-08,339779,4.90939,3.86544,1.04395
2025-03-09,340506,4.62315,3.7647,0.85845
2025-03-10,339992,4.41887,3.63444,0.78443
2025-03-11,339926,4.00187,3.16463,0.83724
2025-03-12,340861,3.9549,3.0664,0.8885
2025-03-13,339932,4.07416,3.19549,0.87867
2025-03-14,340568,4.03023,3.11888,0.91134
2025-03-15,340568,4.03023,3.11888,0.91134
2025-03-16,340568,4.03046,3.11904,0.91142
2025-03-17,340568,4.03023,3.11888,0.91134
2025-03-18,341093,6.29142,5.5091,0.78232
2025-03-19,340433,5.47862,4.59419,0.88443
2025-03-20,340365,5.44556,4.57146,0.8741
2025-03-21,340575,5.55335,4.68425,0.86909
2025-03-22,340347,4.61049,3.67467,0.93582
2025-03-23,340817,4.85414,3.95264,0.9015
2025-03-24,340478,4.47547,3.49458,0.98089
2025-03-25,340349,4.40672,3.38373,1.02298
2025-03-26,341811,4.3502,3.30541,1.04479
2025-03-27,341888,3.86381,2.69608,1.16773
2025-03-28,341377,3.77449,2.77756,0.99693
2025-03-29,340848,3.63944,2.71611,0.92333
2025-03-30,340663,3.42972,2.53703,0.89269
2025-03-31,341638,3.71968,2.86388,0.8558
2025-04-01,341227,4.73806,3.91786,0.8202
2025-04-02,340923,4.1109,3.31862,0.79228
2025-04-03,340750,4.10394,3.35768,0.74626
2025-04-04,340608,3.809,3.01462,0.79438
2025-04-05,341943,3.69927,2.91386,0.78541
2025-04-06,340342,3.58498,2.9979,0.58708
2025-04-07,341646,2.39257,2.39257,0.0
2025-04-08,341326,3.61281,2.98617,0.62664
2025-04-09,341265,3.18986,2.43265,0.75721
2025-04-10,341391,2.62166,1.89631,0.72535
2025-04-11,341305,3.26269,2.56426,0.69844
2025-04-12,341396,3.45245,2.72987,0.72258
2025-04-13,341515,3.38248,2.7324,0.65008
2025-04-14,341511,3.61133,2.96382,0.64751
2025-04-15,341567,3.66027,3.0956,0.56467
2025-04-16,341624,4.02412,3.49377,0.53035
2025-04-17,341683,3.33003,2.71146,0.61856
2025-04-18,437192,3.06098,2.67382,0.38716
2025-04-19,437197,3.05198,2.64344,0.40854
2025-04-20,437259,3.01318,2.61708,0.3961
2025-04-21,437310,3.30582,2.923,0.38282
2025-04-22,437324,3.47017,3.05026,0.41991
2025-04-23,437443,3.08069,2.56827,0.51242
2025-04-24,437448,3.0809,2.55353,0.52737
2025-04-25,437508,3.21968,2.6733,0.54637
2025-04-26,437620,3.36759,2.77232,0.59527
2025-04-27,437570,3.32175,2.75906,0.56268
2025-04-28,437661,3.29399,2.74734,0.54665
2025-04-29,437672,4.42549,3.92849,0.497
2025-04-30,437657,3.18498,2.63032,0.55466
2025-05-01,437659,3.47177,2.78674,0.68502
2025-05-02,437762,3.28584,2.59714,0.6887
2025-05-03,437781,3.26603,2.61497,0.65106
2025-05-04,437765,3.26699,2.60613,0.66086
2025-05-05,437762,2.9977,2.31367,0.68403
2025-05-06,437728,3.18542,2.41691,0.76851
2025-05-07,437773,3.48647,2.75834,0.72813
2025-05-08,437863,3.31782,2.39494,0.92289
2025-05-09,437859,3.45247,2.53847,0.91399
2025-05-10,437949,3.54174,2.5074,1.03434
2025-05-11,437963,3.45154,2.46575,0.9858
2025-05-12,437955,4.85697,3.96201,0.89496
2025-05-13,437994,4.51251,3.48757,1.02494
2025-05-14,438043,4.38139,3.40464,0.97675
2025-05-15,438170,4.24155,3.2619,0.97965
2025-05-16,438198,4.32168,3.357,0.96468
2025-05-17,438205,4.26659,3.36106,0.90553
2025-05-19,438320,3.85652,2.87244,0.98407
2025-05-20,453756,4.06257,3.06472,0.99785
2025-05-21,453850,3.92056,2.95009,0.97047
2025-05-22,470175,4.05747,3.04612,1.01135
2025-05-23,525084,4.23459,3.32494,0.90966
2025-05-24,525325,4.27993,3.39601,0.88393
2025-05-25,525351,4.02501,3.17465,0.85036
2025-05-26,525513,3.77298,2.9054,0.86758
2025-05-27,525431,4.34365,3.48375,0.8599
2025-05-28,577664,5.29244,4.53864,0.7538
2025-05-29,577673,3.89079,3.06581,0.82498
2025-05-30,577751,3.9106,3.1498,0.7608
2025-05-31,577917,4.99593,4.26018,0.73574
2025-06-01,577904,4.534,3.79004,0.74396
2025-06-02,560224,4.50461,3.77516,0.72945
2025-06-03,560384,4.41472,3.64258,0.77215
2025-06-04,542132,4.38798,3.88095,0.50703
