date,tvl,apy,apy_base,apy_reward
2024-06-06,5003929,16.12974,16.12974,0.0
2024-06-07,5146540,9.01531,9.01531,0.0
2024-06-08,5151858,7.51661,7.51661,0.0
2024-06-09,5154306,6.75272,6.75272,0.0
2024-06-10,5190553,6.48192,6.48192,0.0
2024-06-11,5106567,6.49605,6.49605,0.0
2024-06-12,5298229,6.38328,6.38328,0.0
2024-06-13,5464121,15.88241,15.88241,0.0
2024-06-14,5298663,15.95935,15.95935,0.0
2024-06-15,5369571,12.54047,12.54047,0.0
2024-06-16,5401050,7.77684,7.77684,0.0
2024-06-17,5370562,7.81937,7.81937,0.0
2024-06-18,5509616,17.81354,17.81354,0.0
2024-06-19,5459026,10.21006,10.21006,0.0
2024-06-20,5455003,9.32642,9.32642,0.0
2024-06-21,5463729,17.57748,17.57748,0.0
2024-06-22,5397636,7.82917,7.82917,0.0
2024-06-23,5411355,8.26651,8.26651,0.0
2024-06-24,5094316,6.12339,6.12339,0.0
2024-06-25,4784683,6.49287,6.49287,0.0
2024-06-26,4786934,6.24304,6.24304,0.0
2024-06-27,4780554,6.15107,6.15107,0.0
2024-06-28,4783570,6.19967,6.19967,0.0
2024-06-29,4779379,6.62518,6.62518,0.0
2024-06-30,4782649,6.44729,6.44729,0.0
2024-07-01,4745320,6.03888,6.03888,0.0
2024-07-02,4752466,7.32824,7.32824,0.0
2024-07-03,4764642,6.74667,6.74667,0.0
2024-07-04,4928788,5.92272,5.92272,0.0
2024-07-05,4736768,6.48629,6.48629,0.0
2024-07-06,4726157,6.60006,6.60006,0.0
2024-07-07,4751792,6.53221,6.53221,0.0
2024-07-08,4738853,6.38727,6.38727,0.0
2024-07-09,4736554,0.0,0.0,0.0
2024-07-10,4766418,8.68392,8.68392,0.0
2024-07-11,4747631,7.49119,7.49119,0.0
2024-07-12,5257103,7.41551,7.41551,0.0
2024-07-13,6364675,6.2542,6.2542,0.0
2024-07-14,6152011,6.30686,6.30686,0.0
2024-07-15,6152639,6.18051,6.18051,0.0
2024-07-16,6112321,6.53068,6.53068,0.0
2024-07-17,6118968,6.45089,6.45089,0.0
2024-07-18,6109398,6.70831,6.70831,0.0
2024-07-19,6554915,6.38871,6.38871,0.0
2024-07-20,6559677,6.3523,6.3523,0.0
2024-07-21,6577587,6.68716,6.68716,0.0
2024-07-22,4959674,11.88244,11.88244,0.0
