date,tvl,apy,apy_base,apy_reward
2024-06-06,676602,3.75943,0.0134,3.74603
2024-06-07,424316,13.44355,0.02311,13.42044
2024-06-08,304177,13.00333,0.03923,12.9641
2024-06-09,302840,13.45007,0.03943,13.41063
2024-06-10,302840,12.67721,0.03943,12.63777
2024-06-11,306121,11.53698,0.03895,11.49803
2024-06-12,305662,11.67881,0.03895,11.63986
2024-06-13,181825,11.4377,0.05482,11.38289
2024-06-14,180335,10.96395,0.05482,10.90913
2024-06-15,161170,12.38252,0.0596,12.32292
2024-06-16,161229,13.13894,0.0596,13.07934
2024-06-17,33251,16.58555,0.15428,16.43127
2024-06-18,33222,17.2481,0.15663,17.09147
2024-06-19,33218,17.01415,0.15903,16.85512
2024-06-20,33229,17.89725,0.16148,17.73577
2024-06-21,33286,17.07714,0.16399,16.91315
2024-06-22,33285,17.40204,0.16654,17.2355
2024-06-23,33294,17.26292,0.16914,17.09378
2024-06-24,355482,9.7012,0.04463,9.65657
2024-06-25,365731,9.62245,0.04059,9.58186
2024-06-26,295591,8.78124,0.0507,8.73055
2024-06-27,265825,8.69379,0.05365,8.64014
2024-06-28,265849,8.19416,0.05262,8.14154
2024-06-29,264705,8.23262,0.05086,8.18176
2024-06-30,264825,8.29572,0.05086,8.24486
2024-07-01,264831,8.34099,0.05086,8.29013
2024-07-02,220090,8.33051,0.05908,8.27144
2024-07-03,183083,7.97354,0.06632,7.90723
2024-07-04,183731,7.48515,0.06626,7.41889
2024-07-05,227551,6.94369,0.05792,6.88577
2024-07-06,170871,7.73724,0.06893,7.66831
2024-07-07,76292,0.10437,0.10437,0.0
2024-07-08,86343,0.08918,0.08918,0.0
2024-07-09,86251,0.08905,0.08905,0.0
2024-07-10,86188,0.08903,0.08903,0.0
2024-07-13,79447,0.15069,0.15069,0.0
2024-07-14,80666,0.16617,0.16617,0.0
2024-07-22,1512423,1.71708,1.71708,0.0
2024-07-23,1506824,2.19123,2.19123,0.0
2024-07-24,1495529,2.35473,2.35473,0.0
2024-07-25,1477382,2.54381,2.54381,0.0
2024-07-26,1507035,3.5099,3.5099,0.0
2024-07-27,1387874,3.92494,3.92494,0.0
2024-07-28,1296229,4.54206,4.54206,0.0
2024-07-29,1317696,3.77597,3.77597,0.0
2024-07-30,1315897,3.46873,3.46873,0.0
2024-07-31,1311216,3.66353,3.66353,0.0
2024-08-01,1288043,3.79141,3.79141,0.0
2024-08-02,1331432,4.25486,4.25486,0.0
2024-08-03,1323768,5.20019,5.20019,0.0
2024-08-04,1295068,8.44921,8.44921,0.0
2024-08-05,1330263,5.1591,5.1591,0.0
2024-08-06,1295068,9.92432,9.92432,0.0
2024-08-07,1295068,11.91595,11.91595,0.0
2024-08-08,1253427,5.60733,5.60733,0.0
2024-08-09,1239737,8.40542,8.40542,0.0
2024-08-10,1262435,5.37251,5.37251,0.0
2024-08-11,1262376,5.58137,5.58137,0.0
2024-08-12,1262376,5.66138,5.66138,0.0
2024-08-13,1270251,4.77781,4.77781,0.0
2024-08-14,1270251,4.81075,4.81075,0.0
2024-08-15,1241784,4.84622,4.84622,0.0
2024-08-16,1363520,3.04124,3.04124,0.0
2024-08-17,1363520,3.01852,3.01852,0.0
2024-08-18,1364110,2.94227,2.94227,0.0
2024-08-19,1376106,2.81038,2.81038,0.0
2024-08-20,1365087,2.63155,2.63155,0.0
2024-08-21,1281529,3.09531,3.09531,0.0
2024-08-22,1296683,3.08302,3.08302,0.0
2024-08-23,1281928,3.40013,3.40013,0.0
2024-08-24,1281927,3.40391,3.40391,0.0
2024-08-25,1210812,2.69185,2.69185,0.0
2024-08-26,1208235,2.65913,2.65913,0.0
2024-08-27,1248168,2.3753,2.3753,0.0
2024-08-28,1248196,2.33596,2.33596,0.0
2024-08-29,1119274,2.8243,2.8243,0.0
2024-08-30,1084942,3.04838,3.04838,0.0
2024-08-31,1089174,3.00197,3.00197,0.0
2024-09-01,1089174,2.99823,2.99823,0.0
2024-09-02,1089174,2.99437,2.99437,0.0
2024-09-03,1084293,3.02043,3.02043,0.0
2024-09-04,1084479,3.02594,3.02594,0.0
2024-09-05,1050867,3.02363,3.02363,0.0
2024-09-06,1002569,2.59274,2.59274,0.0
2024-09-07,1002569,2.58031,2.58031,0.0
2024-09-10,951754,2.95292,2.95292,0.0
2024-09-11,951754,2.95069,2.95069,0.0
2024-09-12,951754,2.94846,2.94846,0.0
2024-09-13,951597,2.93627,2.93627,0.0
2024-09-14,951597,2.93418,2.93418,0.0
2024-09-15,927378,5.96399,5.96399,0.0
2024-09-16,939406,3.97925,3.97925,0.0
2024-09-17,939406,4.00757,4.00757,0.0
2024-09-18,939406,4.03614,4.03614,0.0
2024-09-19,939406,4.06407,4.06407,0.0
2024-09-20,939406,4.09322,4.09322,0.0
2024-09-21,939406,4.12269,4.12269,0.0
2024-09-22,939406,4.15239,4.15239,0.0
2024-09-23,939406,4.18241,4.18241,0.0
2024-09-24,939406,4.21267,4.21267,0.0
2024-09-25,939406,4.2433,4.2433,0.0
2024-09-26,939406,4.27321,4.27321,0.0
2024-09-27,939406,4.30436,4.30436,0.0
2024-09-28,939406,4.33585,4.33585,0.0
2024-09-29,939406,4.36764,4.36764,0.0
2024-09-30,939406,4.39967,4.39967,0.0
2024-10-01,939406,4.43205,4.43205,0.0
2024-10-02,939406,4.46265,4.46265,0.0
2024-10-03,939406,4.49667,4.49667,0.0
2024-10-04,939406,4.52986,4.52986,0.0
2024-10-05,939406,4.5634,4.5634,0.0
2024-10-06,939406,4.59724,4.59724,0.0
2024-10-07,1023460,4.66119,4.66119,0.0
2024-10-08,1027603,3.93775,3.93775,0.0
2024-10-09,1015345,3.93432,3.93432,0.0
2024-10-10,1062431,3.24929,3.24929,0.0
2024-10-11,1089236,3.22433,3.22433,0.0
2024-10-12,1091298,3.2004,3.2004,0.0
2024-10-13,968095,18.99781,18.99781,0.0
2024-10-14,1046049,4.48101,4.48101,0.0
2024-10-15,1024915,13.82949,13.82949,0.0
2024-10-16,1135850,4.08812,4.08812,0.0
2024-10-17,1104714,4.41812,4.41812,0.0
2024-10-18,1089272,4.64342,4.64342,0.0
2024-10-19,1089969,4.63291,4.63291,0.0
2024-10-20,1101124,4.62243,4.62243,0.0
2024-10-21,1024030,24.53531,24.53531,0.0
2024-10-22,1056712,9.1148,9.1148,0.0
2024-10-23,1004640,19.82357,19.82357,0.0
2024-10-24,987281,5.77033,5.77033,0.0
2024-10-25,911009,32.88462,32.88462,0.0
2024-10-26,981084,6.9465,6.9465,0.0
2024-10-27,917102,40.34388,40.34388,0.0
2024-10-28,533533,6.06654,6.06654,0.0
2024-10-29,105578,3.25717,3.25717,0.0
2024-10-30,101428,3.53099,3.53099,0.0
2024-10-31,99621,3.32105,3.32105,0.0
2024-11-01,98960,3.24345,3.24345,0.0
2024-11-02,98862,3.16869,3.16869,0.0
2024-11-03,98058,2.86875,2.86875,0.0
2024-11-04,97162,2.80173,2.80173,0.0
2024-11-05,98241,2.73721,2.73721,0.0
2024-11-06,102087,2.67514,2.67514,0.0
2024-11-07,104542,2.61555,2.61555,0.0
2024-11-08,84201,0.0,0.0,0.0
2024-11-09,84985,0.0,0.0,0.0
2024-11-10,86686,0.0,0.0,0.0
2024-11-11,90988,0.0,0.0,0.0
2024-11-12,91375,0.0,0.0,0.0
2024-11-13,90790,0.0,0.0,0.0
2024-11-14,90123,0.0,0.0,0.0
2024-11-15,90046,0.0,0.0,0.0
2024-11-16,91166,0.0,0.0,0.0
2024-11-17,92011,0.0,0.0,0.0
2024-11-18,92685,0.0,0.0,0.0
2024-11-19,93325,0.0,0.0,0.0
2024-11-20,93328,0.0,0.0,0.0
2024-11-21,99100,0.0,0.0,0.0
2024-11-22,99222,0.0,0.0,0.0
2024-11-23,100454,0.0,0.0,0.0
2024-11-24,98843,0.0,0.0,0.0
2024-11-25,99922,0.0,0.0,0.0
2024-11-26,97350,0.0,0.0,0.0
2024-11-27,101540,0.0,0.0,0.0
2024-11-28,100707,0.0,0.0,0.0
2024-11-29,101751,0.0,0.0,0.0
2024-11-30,102525,0.0,0.0,0.0
2024-12-01,102447,0.0,0.0,0.0
2024-12-02,101549,0.0,0.0,0.0
2024-12-03,101266,0.0,0.0,0.0
2024-12-04,103525,0.0,0.0,0.0
2024-12-05,104639,0.0,0.0,0.0
2024-12-06,106571,0.0,0.0,0.0
2024-12-07,106417,0.0,0.0,0.0
2024-12-08,111436,0.0,0.0,0.0
2024-12-09,107264,0.0,0.0,0.0
2024-12-10,103996,0.0,0.0,0.0
2024-12-11,106370,0.0,0.0,0.0
2024-12-12,108059,0.0,0.0,0.0
2024-12-13,107589,0.0,0.0,0.0
2024-12-14,107366,0.0,0.0,0.0
2024-12-15,107941,0.0,0.0,0.0
2024-12-16,110888,0.0,0.0,0.0
2024-12-17,114811,0.0,0.0,0.0
2024-12-18,111518,0.0,0.0,0.0
2024-12-19,107166,0.0,0.0,0.0
2024-12-20,106807,0.0,0.0,0.0
2024-12-21,106474,0.0,0.0,0.0
2024-12-22,103899,0.0,0.0,0.0
2024-12-23,104745,0.0,0.0,0.0
2024-12-24,107483,0.0,0.0,0.0
2024-12-25,107385,0.0,0.0,0.0
2024-12-26,105135,0.0,0.0,0.0
2024-12-27,104618,0.0,0.0,0.0
2024-12-28,105060,0.0,0.0,0.0
2024-12-29,104627,0.0,0.0,0.0
2024-12-30,104477,0.0,0.0,0.0
2024-12-31,104542,0.0,0.0,0.0
2025-01-01,104552,0.0,0.0,0.0
2025-01-02,106462,0.0,0.0,0.0
2025-01-03,108471,0.0,0.0,0.0
2025-01-04,108741,0.0,0.0,0.0
2025-01-05,108740,0.0,0.0,0.0
2025-01-06,110402,0.0,0.0,0.0
2025-01-07,106642,0.0,0.0,0.0
2025-01-08,104109,0.0,0.0,0.0
2025-01-09,103015,0.0,0.0,0.0
2025-01-10,104160,0.0,0.0,0.0
2025-01-11,104142,0.0,0.0,0.0
2025-01-12,104385,0.0,0.0,0.0
2025-01-13,101528,0.0,0.0,0.0
2025-01-14,103699,0.0,0.0,0.0
2025-01-15,107173,0.0,0.0,0.0
2025-01-16,106432,0.0,0.0,0.0
2025-01-17,109593,0.0,0.0,0.0
2025-01-18,107596,0.0,0.0,0.0
2025-01-19,108194,0.0,0.0,0.0
2025-01-20,107847,0.0,0.0,0.0
2025-01-21,108758,0.0,0.0,0.0
2025-01-22,107683,0.0,0.0,0.0
2025-01-23,108592,0.0,0.0,0.0
2025-01-24,109869,0.0,0.0,0.0
2025-01-25,109448,0.0,0.0,0.0
2025-01-26,109372,0.0,0.0,0.0
2025-01-27,106835,0.0,0.0,0.0
2025-01-28,105850,0.0,0.0,0.0
2025-01-29,107006,0.0,0.0,0.0
2025-01-30,108705,0.0,0.0,0.0
2025-01-31,108846,0.0,0.0,0.0
2025-02-01,106793,0.0,0.0,0.0
2025-02-02,102325,0.0,0.0,0.0
2025-02-03,101972,0.0,0.0,0.0
2025-02-04,99562,0.0,0.0,0.0
2025-02-05,100643,0.0,0.0,0.0
2025-02-06,99679,0.0,0.0,0.0
2025-02-07,98343,0.0,0.0,0.0
2025-02-08,98370,0.0,0.0,0.0
2025-02-09,98085,0.0,0.0,0.0
2025-02-10,99447,0.0,0.0,0.0
2025-02-11,98135,0.0,0.0,0.0
2025-02-12,99303,0.0,0.0,0.0
2025-02-13,98975,0.0,0.0,0.0
2025-02-14,100236,0.0,0.0,0.0
2025-02-15,99818,0.0,0.0,0.0
2025-02-16,99475,0.0,0.0,0.0
2025-02-17,100135,0.0,0.0,0.0
2025-02-18,98080,0.0,0.0,0.0
2025-02-19,99729,0.0,0.0,0.0
