date,tvl,apy,apy_base,apy_reward
2024-06-06,295609,18.97794,0.00658,18.97137
2024-06-07,284188,19.59412,0.00688,19.58725
2024-06-08,21180,217.41161,0.07791,217.3337
2024-06-09,194675,71.56906,0.01208,71.55699
2024-06-10,207639,64.17485,0.01009,64.16476
2024-06-11,148038,75.21493,0.01413,75.2008
2024-06-12,222617,55.97721,0.00904,55.96817
2024-06-13,180409,52.84707,0.01152,52.83555
2024-06-14,203906,45.85333,0.00998,45.84335
2024-06-15,228481,47.3153,0.00878,47.30652
2024-06-16,253527,46.21898,0.00782,46.21116
2024-06-17,253407,44.6436,0.00782,44.63578
2024-06-18,253192,46.43723,0.00782,46.42942
2024-06-19,253159,45.79539,0.00782,45.78757
2024-06-20,337953,37.92498,0.00564,37.91934
2024-06-21,383445,32.50172,0.0049,32.49682
2024-06-22,383442,33.12124,0.0049,33.11634
2024-06-23,441456,29.05456,0.00418,29.05038
2024-06-24,642411,20.5652,0.00273,20.56246
2024-06-25,645598,20.32809,0.00272,20.32536
2024-06-26,644963,18.52228,0.00272,18.51956
2024-06-27,753883,15.86245,0.00229,15.86016
2024-06-28,753950,14.94722,0.00229,14.94493
2024-06-29,752963,15.02107,0.00229,15.01878
2024-06-30,753305,15.13692,0.00229,15.13464
2024-07-01,753321,15.22004,0.00229,15.21775
2024-07-02,713648,15.18776,0.00431,15.18346
2024-07-03,712927,14.51922,0.00431,14.51492
2024-07-04,714286,13.62284,0.00431,13.61853
2024-07-05,677901,14.40447,0.00165,14.40281
2024-07-06,675508,16.04132,0.00165,16.03967
2024-07-07,675295,0.00165,0.00165,0.0
2024-07-08,552626,0.00206,0.00206,0.0
2024-07-09,440080,0.00265,0.00265,0.0
2024-07-10,227809,0.00557,0.00557,0.0
2024-07-13,3662,0.42021,0.42021,0.0
2024-07-14,3570,0.46095,0.46095,0.0
2024-07-15,3570,0.46341,0.46341,0.0
2024-07-22,168796,1.73468,1.73468,0.0
2024-07-23,167546,2.24472,2.24472,0.0
2024-07-24,164700,2.41225,2.41225,0.0
2024-07-25,162188,2.60601,2.60601,0.0
2024-07-26,165559,3.59613,3.59613,0.0
2024-07-27,166606,4.02584,4.02584,0.0
2024-07-28,165498,4.66233,4.66233,0.0
2024-07-29,173478,2.13811,2.13811,0.0
2024-07-30,169018,3.21838,3.21838,0.0
2024-07-31,166008,4.09977,4.09977,0.0
2024-08-01,164554,4.75464,4.75464,0.0
2024-08-02,160926,4.19946,4.19946,0.0
2024-08-03,157098,5.13036,5.13036,0.0
2024-08-04,148631,8.35963,8.35963,0.0
2024-08-05,139645,8.99143,8.99143,0.0
2024-08-06,142323,10.66376,10.66376,0.0
2024-08-07,138875,12.81221,12.81221,0.0
2024-08-08,154574,6.02184,6.02184,0.0
2024-08-09,151971,9.03205,9.03205,0.0
2024-08-10,156307,5.79287,5.79287,0.0
2024-08-11,153713,5.99324,5.99324,0.0
2024-08-12,155991,6.0792,6.0792,0.0
2024-08-13,159346,5.11939,5.11939,0.0
2024-08-14,156961,5.15441,5.15441,0.0
2024-08-15,153139,5.19212,5.19212,0.0
2024-08-16,169275,3.26752,3.26752,0.0
2024-08-17,169396,3.24243,3.24243,0.0
2024-08-18,170594,3.21769,3.21769,0.0
2024-08-19,169625,3.1932,3.1932,0.0
2024-08-20,168982,3.169,3.169,0.0
2024-08-21,165007,3.36053,3.36053,0.0
2024-08-22,164264,3.34725,3.34725,0.0
2024-08-23,164071,3.68865,3.68865,0.0
2024-08-24,163637,3.71819,3.71819,0.0
2024-08-25,164363,3.7182,3.7182,0.0
2024-08-26,151355,17.96789,17.96789,0.0
2024-08-27,176494,2.84112,2.84112,0.0
2024-08-28,175888,2.87629,2.87629,0.0
2024-08-29,161678,3.47883,3.47883,0.0
2024-08-30,156213,3.7568,3.7568,0.0
2024-08-31,156295,3.75389,3.75389,0.0
2024-09-01,154887,3.75107,3.75107,0.0
2024-09-02,156890,3.74816,3.74816,0.0
2024-09-03,154240,3.73619,3.73619,0.0
2024-09-04,154232,3.74195,3.74195,0.0
2024-09-05,150966,3.73905,3.73905,0.0
2024-09-06,145547,3.77311,3.77311,0.0
2024-09-07,127009,1.35352,1.35352,0.0
2024-09-10,84027,3.4397,3.4397,0.0
2024-09-11,83122,3.43701,3.43701,0.0
2024-09-12,83122,3.43432,3.43432,0.0
