date,tvl,apy,apy_base,apy_reward
2024-06-06,297043,22.95503,0.0,22.95503
2024-06-07,179923,0.0,0.0,0.0
2024-06-08,348327,0.0,0.0,0.0
2024-06-09,314965,0.0,0.0,0.0
2024-06-10,86799,0.0,0.0,0.0
2024-06-11,191424,81.70097,0.0,81.70097
2024-06-12,236134,66.94816,0.0,66.94816
2024-06-13,155511,81.82981,0.0,81.82981
2024-06-14,245870,49.19609,0.0,49.19609
2024-06-15,270473,50.42829,0.0,50.42829
2024-06-16,300576,48.18103,0.0,48.18103
2024-06-17,249680,55.99872,0.0,55.99872
2024-06-18,249966,58.13289,0.0,58.13289
2024-06-19,249933,57.32926,0.0,57.32926
2024-06-20,852710,17.6876,0.0,17.6876
2024-06-21,1234314,11.67226,0.0,11.67226
2024-06-22,1238257,11.8568,0.0,11.8568
2024-06-23,1338525,10.88135,0.0,10.88135
2024-06-24,597648,24.16154,0.0,24.16154
2024-06-25,598106,23.97463,0.0,23.97463
2024-06-26,551413,23.67109,0.0,23.67108
2024-06-27,1818699,7.0955,0.0,7.0955
2024-06-28,1829669,6.64654,0.0,6.64654
2024-06-29,1827274,6.67939,0.0,6.67939
2024-06-30,1699354,7.24089,0.0,7.24089
2024-07-01,1860897,6.64876,0.0,6.64876
2024-07-02,1861242,6.63378,0.0,6.63378
2024-07-03,2207269,5.34211,0.0,5.34211
2024-07-04,2207453,5.02133,0.0,5.02133
2024-07-05,1704301,6.06734,0.0,6.06734
2024-07-06,1798064,6.38192,0.0,6.38192
2024-07-07,2092202,0.0,0.0,0.0
2024-07-08,303204,0.0,0.0,0.0
2024-07-13,21854,0.39497,0.39497,0.0
2024-07-14,22113,0.48313,0.48313,0.0
2024-07-15,22866,0.56577,0.56577,0.0
2024-07-16,23176,0.60726,0.60726,0.0
2024-07-17,22986,0.65243,0.65243,0.0
2024-07-18,22945,0.8484,0.8484,0.0
2024-07-19,23482,0.9085,0.9085,0.0
2024-07-20,23568,1.1064,1.1064,0.0
2024-07-21,23602,1.1852,1.1852,0.0
2024-07-22,23583,1.27426,1.27426,0.0
2024-07-23,23369,1.64783,1.64783,0.0
2024-07-24,23068,1.77043,1.77043,0.0
2024-07-25,22546,1.91216,1.91216,0.0
2024-07-26,23049,2.63529,2.63529,0.0
2024-07-27,23105,2.94855,2.94855,0.0
2024-07-28,23139,3.41195,3.41195,0.0
2024-07-29,23583,2.64383,2.64383,0.0
2024-07-30,23417,2.43219,2.43219,0.0
2024-07-31,23248,2.66367,2.66367,0.0
2024-08-01,22489,4.92364,4.92364,0.0
2024-08-02,22227,3.75316,3.75316,0.0
2024-08-03,21597,4.88991,4.88991,0.0
2024-08-04,20804,6.42343,6.42343,0.0
2024-08-05,19534,6.90428,6.90428,0.0
2024-08-06,19989,8.17403,8.17403,0.0
2024-08-07,19989,9.799,9.799,0.0
2024-08-08,20516,6.29614,6.29614,0.0
2024-08-09,20516,6.97106,6.97106,0.0
2024-08-10,20859,4.4859,4.4859,0.0
2024-08-11,20860,4.64337,4.64337,0.0
2024-08-12,21549,4.70975,4.70975,0.0
2024-08-13,21989,3.97381,3.97381,0.0
2024-08-14,21989,4.00107,4.00107,0.0
2024-08-15,21990,4.03041,4.03041,0.0
2024-08-16,23502,2.5363,2.5363,0.0
2024-08-17,23502,2.51749,2.51749,0.0
2024-08-18,23502,2.49833,2.49833,0.0
2024-08-19,23044,2.47937,2.47937,0.0
2024-08-20,22936,2.46063,2.46063,0.0
2024-08-21,22199,2.60885,2.60885,0.0
2024-08-22,22199,2.59857,2.59857,0.0
2024-08-23,21548,2.86423,2.86423,0.0
2024-08-24,21548,2.94912,2.94912,0.0
