date,tvl,apy,apy_base,apy_reward
2024-06-06,4683985,16.31272,16.31272,0
2024-06-07,4686463,18.27738,18.27738,0
2024-06-08,4580906,6.98956,6.98956,0
2024-06-09,4292458,13.44487,13.44487,0
2024-06-10,4266465,20.964,20.964,0
2024-06-11,82639,19.74623,19.74623,0
2024-06-12,2772916,16.23067,16.23067,0
2024-06-13,2597695,8.51558,8.51558,0
2024-06-14,2593541,8.45632,8.45632,0
2024-06-15,2341956,16.66031,16.66031,0
2024-06-16,2333697,16.8757,16.8757,0
2024-06-17,2267681,61.21743,61.21743,0
2024-06-18,2200798,8.74956,8.74956,0
2024-06-19,2374159,4.89915,4.89915,0
2024-06-20,1999154,37.41607,37.41607,0
2024-06-21,2023079,20.56086,20.56086,0
2024-06-22,1834180,21.17871,21.17871,0
2024-06-23,1885123,27.83547,27.83547,0
2024-06-24,1847876,81.24636,81.24636,0
2024-06-25,1365478,71.59382,71.59382,0
2024-06-26,1367926,76.777,76.777,0
2024-06-27,1364683,82.51066,82.51066,0
2024-06-28,1331429,108.86596,108.86596,0
2024-06-29,1319600,173.43179,173.43179,0
2024-06-30,1050109,204.96087,204.96087,0
2024-07-01,1085791,44.9316,44.9316,0
2024-07-02,1188000,22.27964,22.27964,0
2024-07-03,1063569,21.87784,21.87784,0
2024-07-04,1061964,21.57355,21.57355,0
2024-07-05,1010489,24.99075,24.99075,0
2024-07-06,1293468,24.79598,24.79598,0
2024-07-07,1288203,25.64253,25.64253,0
2024-07-08,1284547,25.49911,25.49911,0
2024-07-09,1580344,0.48352,0.48352,0
2024-07-10,1584814,0.45408,0.45408,0
2024-07-11,1582424,0.42762,0.42762,0
2024-07-12,1345866,0.33742,0.33742,0
2024-07-13,1299657,0.29144,0.29144,0
2024-07-14,1300169,0.27369,0.27369,0
2024-07-15,1301140,0.2584,0.2584,0
2024-07-16,1301554,0.24307,0.24307,0
2024-07-17,1304526,0.27707,0.27707,0
2024-07-18,1305287,0.26117,0.26117,0
2024-07-19,1304756,0.24708,0.24708,0
2024-07-20,1305030,0.23361,0.23361,0
2024-07-21,1308627,0.22171,0.22171,0
2024-07-22,1334809,0.88403,0.88403,0
2024-07-23,1333869,0.84598,0.84598,0
2024-07-24,1075439,7.97799,7.97799,0
2024-07-25,1063808,2.19201,2.19201,0
2024-07-26,1068586,3.04466,3.04466,0
2024-07-27,1069083,3.01598,3.01598,0
2024-07-28,1070559,2.98686,2.98686,0
2024-07-29,1069887,2.95819,2.95819,0
2024-07-30,1070009,2.92984,2.92984,0
2024-07-31,1051701,7.17745,7.17745,0
2024-08-01,1048839,7.33379,7.33379,0
2024-08-02,1050194,7.49032,7.49032,0
2024-08-03,1050156,7.65657,7.65657,0
2024-08-04,1048908,7.82765,7.82765,0
2024-08-05,1047590,8.00397,8.00397,0
2024-08-06,1052734,8.18549,8.18549,0
2024-08-07,1052380,8.37202,8.37202,0
2024-08-08,1059877,8.56354,8.56354,0
2024-08-09,1037141,1.63271,1.63271,0
2024-08-10,1033656,1.57861,1.57861,0
2024-08-11,1035717,1.52725,1.52725,0
2024-08-12,1020091,1.63804,1.63804,0
2024-08-13,1020013,1.59095,1.59095,0
2024-08-14,1020380,1.54876,1.54876,0
2024-08-15,1016934,1.11362,1.11362,0
2024-08-16,1016004,1.08262,1.08262,0
2024-08-17,1016577,1.04753,1.04753,0
2024-08-18,1012679,1.01442,1.01442,0
2024-08-19,1016553,0.98314,0.98314,0
2024-08-20,1016841,0.95376,0.95376,0
2024-08-21,1016927,0.9248,0.9248,0
2024-08-22,1019335,0.89723,0.89723,0
2024-08-23,1016919,0.87176,0.87176,0
2024-08-24,1016937,0.84756,0.84756,0
2024-08-25,1017487,0.82531,0.82531,0
2024-08-26,1019643,0.79778,0.79778,0
2024-08-27,965992,0.5141,0.5141,0
2024-08-28,962488,0.49742,0.49742,0
2024-08-29,933645,0.44558,0.44558,0
2024-08-30,934332,0.43104,0.43104,0
2024-08-31,934909,0.4177,0.4177,0
2024-09-01,939913,0.474,0.474,0
2024-09-02,947335,0.75891,0.75891,0
2024-09-03,955206,0.92692,0.92692,0
2024-09-04,959175,0.9227,0.9227,0
2024-09-05,958546,0.91851,0.91851,0
2024-09-06,957954,0.92938,0.92938,0
2024-09-07,955493,0.92699,0.92699,0
2024-09-10,956470,0.91323,0.91323,0
2024-09-11,954855,0.91009,0.91009,0
2024-09-12,956525,0.90696,0.90696,0
2024-09-13,958850,2.71661,2.71661,0
2024-09-14,963201,2.82045,2.82045,0
2024-09-15,958616,1.8757,1.8757,0
2024-09-16,961360,1.90225,1.90225,0
2024-09-17,957595,1.92938,1.92938,0
2024-09-18,958763,1.95615,1.95615,0
2024-09-19,958832,1.98429,1.98429,0
