date,tvl,apy,apy_base,apy_reward
2024-11-29,1143099,0,0,0
2024-11-30,1143081,0,0,0
2024-12-01,1143331,0,0,0
2024-12-02,1143597,0,0,0
2024-12-03,1143597,0,0,0
2025-01-09,6344630,0,0,0
2025-01-10,6348186,0,0,0
2025-01-11,6348149,0,0,0
2025-01-12,6353072,0,0,0
2025-01-13,6351556,0,0,0
2025-01-14,6355852,0,0,0
2025-01-15,6356148,0,0,0
2025-01-16,6359688,0,0,0
2025-01-17,11088415,0,0,0
2025-01-18,10061429,0,0,0
2025-01-19,10066542,0,0,0
2025-01-20,12566177,0,0,0
2025-01-21,17494872,0,0,0
2025-01-22,17499851,0,0,0
2025-01-23,17504051,0,0,0
2025-01-24,19516685,0,0,0
2025-01-25,19519889,0,0,0
2025-01-26,19519831,0,0,0
2025-01-27,19528258,0,0,0
2025-01-28,19536108,0,0,0
2025-01-29,19542744,0,0,0
2025-01-30,19548243,0,0,0
2025-01-31,20898618,0,0,0
2025-02-01,20909113,0,0,0
2025-02-02,20760805,0,0,0
2025-02-03,20766008,0,0,0
2025-02-04,18372348,0,0,0
2025-02-05,18378923,0,0,0
2025-02-06,18383504,0,0,0
2025-02-07,18393280,0,0,0
2025-02-08,18394267,0,0,0
2025-02-09,18406267,0,0,0
2025-02-10,18408243,0,0,0
2025-02-11,17216555,0,0,0
2025-02-12,17218958,0,0,0
2025-02-13,20590922,0,0,0
2025-02-14,20595857,0,0,0
2025-02-15,20599996,0,0,0
2025-02-16,21019825,0,0,0
2025-02-17,21018412,0,0,0
2025-02-18,21023671,0,0,0
2025-02-19,21026102,0,0,0
2025-02-20,21073892,0,0,0
2025-02-21,21638096,0,0,0
2025-02-22,21640509,0,0,0
2025-02-23,21644944,0,0,0
2025-02-24,21727170,0,0,0
2025-02-25,21732380,0,0,0
2025-02-26,18299232,0,0,0
2025-02-27,18301385,0,0,0
2025-02-28,18305324,0,0,0
2025-03-01,17713796,0,0,0
2025-03-02,17715375,0,0,0
2025-03-03,17721823,0,0,0
2025-03-04,17725027,0,0,0
2025-03-05,17900445,0,0,0
2025-03-06,17902904,0,0,0
2025-03-07,18499802,0,0,0
2025-03-08,18504157,0,0,0
2025-03-09,18507428,0,0,0
2025-03-10,18511160,0,0,0
2025-03-11,18512684,0,0,0
2025-03-12,18512194,0,0,0
2025-03-13,18705713,0,0,0
2025-03-14,18705713,0,0,0
2025-03-15,18705713,0,0,0
2025-03-16,18705713,0,0,0
2025-03-17,18705713,0,0,0
2025-03-18,18041408,0,0,0
2025-03-19,18041408,0,0,0
2025-03-20,18041408,0,0,0
2025-03-21,18041408,0,0,0
2025-03-22,17672117,0,0,0
2025-03-23,20209994,0,0,0
2025-03-24,20896254,0,0,0
2025-03-25,20896254,0,0,0
2025-03-26,21098493,0,0,0
2025-03-27,20414282,0,0,0
2025-03-28,20144289,0,0,0
2025-03-29,19404726,0,0,0
2025-03-30,19404726,0,0,0
2025-03-31,19404726,0,0,0
2025-04-01,19404726,0,0,0
2025-04-02,17735593,0,0,0
2025-04-03,17549217,0,0,0
2025-04-04,17549217,0,0,0
2025-04-05,17549217,0,0,0
2025-04-06,17549217,0,0,0
2025-04-07,17549217,0,0,0
2025-04-08,17549217,0,0,0
2025-04-09,17549217,0,0,0
2025-04-10,17549217,0,0,0
2025-04-11,17549217,0,0,0
2025-04-12,17549217,0,0,0
2025-04-13,17549217,0,0,0
2025-04-14,17549217,0,0,0
2025-04-15,17624664,0,0,0
2025-04-16,17701525,0,0,0
2025-04-17,17704767,0,0,0
2025-04-18,17704767,0,0,0
2025-04-19,17704767,0,0,0
2025-04-20,17704767,0,0,0
2025-04-21,17704767,0,0,0
2025-04-22,17704767,0,0,0
2025-04-23,17704767,0,0,0
2025-04-24,17704767,0,0,0
2025-04-25,18317275,0,0,0
2025-04-26,18250073,0,0,0
2025-04-27,18250073,0,0,0
2025-04-28,18250073,0,0,0
2025-04-29,18273696,0,0,0
2025-04-30,18696151,0,0,0
2025-05-01,18825377,0,0,0
2025-05-02,18825377,0,0,0
2025-05-03,19355578,0,0,0
2025-05-04,19774569,0,0,0
2025-05-05,19903734,0,0,0
2025-05-06,20026893,0,0,0
2025-05-07,20026893,0,0,0
2025-05-08,20026893,0,0,0
2025-05-09,20026893,0,0,0
2025-05-10,20026893,0,0,0
2025-05-11,20026893,0,0,0
2025-05-12,4621848,0,0,0
2025-05-13,4578586,0,0,0
2025-05-14,4578586,0,0,0
2025-05-15,4002260,0,0,0
2025-05-16,4002260,0,0,0
2025-05-17,4002260,0,0,0
2025-05-19,2793534,0,0,0
2025-05-20,2937366,0,0,0
2025-05-21,2937366,0,0,0
2025-05-22,2937366,0,0,0
2025-05-23,2944002,0,0,0
2025-05-24,2944002,0,0,0
2025-05-25,2944002,0,0,0
2025-05-26,2944002,0,0,0
2025-05-27,3155429,0,0,0
2025-05-28,3155429,0,0,0
2025-05-29,2884380,0,0,0
2025-05-30,2884380,0,0,0
2025-05-31,2884380,0,0,0
2025-06-01,2884380,0,0,0
2025-06-02,2884380,0,0,0
2025-06-03,1160299,0,0,0
2025-06-04,1160266,0,0,0
2025-06-05,1160266,0,0,0
