date,tvl,apy,apy_base,apy_reward
2024-06-06,1514674,13.03721,0.33575,12.70147
2024-06-07,1264434,0.42987,0.42987,0.0
2024-06-08,1264585,15.63677,0.42235,15.21441
2024-06-09,1264539,15.62947,0.41483,15.21464
2024-06-10,1209802,0.4179,0.4179,0.0
2024-06-11,2209881,12.24455,3.46477,8.77977
2024-06-12,3960539,11.52699,6.99587,4.53112
2024-06-13,4482966,12.53297,8.63409,3.89888
2024-06-14,4683731,11.30689,7.56072,3.74618
2024-06-15,4043122,11.85194,7.44806,4.40389
2024-06-16,4041868,11.47575,7.05743,4.41832
2024-06-17,5348614,10.65085,7.41823,3.23262
2024-06-18,4549780,11.04723,7.17074,3.87649
2024-06-19,4851150,11.63715,8.06759,3.56956
2024-06-20,4453141,12.19647,8.28299,3.91349
2024-06-21,4351961,12.53092,8.5244,4.00653
2024-06-22,4298085,12.98432,8.93831,4.04601
2024-06-23,4706029,11.66937,7.94464,3.72473
2024-06-24,4029768,13.18643,8.78049,4.40594
2024-06-25,4889144,12.6268,9.07752,3.54928
2024-06-26,5958217,9.04767,6.10534,2.94233
2024-06-27,5957777,8.94933,6.0033,2.94602
2024-06-28,5958843,8.34099,5.3671,2.97389
2024-06-29,5885458,10.75405,7.85164,2.90241
2024-06-30,6036630,10.74444,7.9291,2.81534
2024-07-01,6154976,10.74439,7.98759,2.7568
2024-07-02,6949339,9.909,7.48931,2.41968
2024-07-03,6953393,9.63871,7.20496,2.43375
2024-07-04,6919507,7.87506,7.87506,0.0
2024-07-05,5223386,7.06064,7.06064,0.0
2024-07-06,5230655,7.00149,7.00149,0.0
2024-07-07,5009240,6.69865,6.69865,0.0
2024-07-08,4957942,6.45378,6.45378,0.0
2024-07-09,4958987,6.50399,6.50399,0.0
2024-07-10,4962114,6.3195,6.3195,0.0
2024-07-11,4960772,6.14093,6.14093,0.0
2024-07-12,5465129,5.88906,5.88906,0.0
2024-07-13,5457797,5.50494,5.50494,0.0
2024-07-14,5350392,5.4414,5.4414,0.0
2024-07-15,5350984,5.39648,5.39648,0.0
2024-07-16,4849602,5.78364,5.78364,0.0
2024-07-17,4742058,5.84836,5.84836,0.0
2024-07-18,3343803,6.6793,6.6793,0.0
2024-07-19,3342350,6.50317,6.50317,0.0
2024-07-20,3232979,6.34875,6.34875,0.0
2024-07-21,3234467,6.72267,6.72267,0.0
2024-07-22,3235201,6.93801,6.93801,0.0
2024-07-23,3234983,6.64527,6.64527,0.0
2024-07-24,3034602,6.46587,6.46587,0.0
2024-07-25,1970425,7.08924,7.08924,0.0
2024-07-26,1970963,6.9663,6.9663,0.0
2024-07-27,1971651,6.95642,6.95642,0.0
2024-07-28,1971496,7.10306,7.10306,0.0
2024-07-29,1254908,7.86588,7.86588,0.0
2024-07-30,1290399,11.79358,11.79358,0.0
2024-07-31,1306334,12.22149,12.22149,0.0
2024-08-01,1307373,17.57994,17.57994,0.0
2024-08-02,1326810,15.26164,15.26164,0.0
2024-08-03,1413296,11.21887,11.21887,0.0
2024-08-04,1412827,13.64565,13.64565,0.0
2024-08-05,1453324,44.67632,44.67632,0.0
2024-08-06,1788691,11.60851,11.60851,0.0
2024-08-07,1772926,9.08948,9.08948,0.0
2024-08-08,2955585,15.52488,15.52488,0.0
2024-08-09,2942959,8.86628,8.86628,0.0
2024-08-10,2988989,8.83294,8.83294,0.0
2024-08-11,3072615,8.68106,8.68106,0.0
2024-08-12,3069484,14.69498,14.69498,0.0
2024-08-13,3077225,8.98126,8.98126,0.0
2024-08-14,3082209,9.0718,9.0718,0.0
2024-08-15,3193410,9.08337,9.08337,0.0
2024-08-16,3164917,8.82755,8.82755,0.0
2024-08-17,3233810,8.87261,8.87261,0.0
2024-08-18,3236090,12.94406,12.94406,0.0
2024-08-19,3259463,12.64554,12.64554,0.0
2024-08-20,3414410,8.79545,8.79545,0.0
2024-08-21,3411656,10.23842,10.23842,0.0
2024-08-22,4029100,5.79895,5.79895,0.0
2024-08-23,3949409,0.48672,0.48672,0.0
2024-08-24,3836180,8.70014,8.70014,0.0
2024-08-25,3839566,8.83026,8.83026,0.0
2024-08-26,3836615,7.29893,7.29893,0.0
2024-08-27,3842116,7.53162,7.53162,0.0
2024-08-28,3845362,8.07792,8.07792,0.0
