date,tvl,apy,apy_base,apy_reward
2024-07-02,1985,0.25725,0.25725,0
2024-07-03,1934,0.23253,0.23253,0
2024-07-04,1900,0.2305,0.2305,0
2024-07-05,3651,2.99016,2.99016,0
2024-07-06,4190,3.03406,3.03406,0
2024-07-07,4177,3.05923,3.05923,0
2024-07-08,4181,3.06994,3.06994,0
2024-07-09,4232,3.10252,3.10252,0
2024-07-10,4235,3.11338,3.11338,0
2024-07-11,4245,3.12428,3.12428,0
2024-07-12,4246,3.16993,3.16993,0
2024-07-13,4249,3.18864,3.18864,0
2024-07-14,4245,3.20771,3.20771,0
2024-07-15,4257,2.73363,2.73363,0
2024-07-16,4258,2.73005,2.73005,0
2024-07-17,4306,2.72807,2.72807,0
2024-07-18,4257,2.72323,2.72323,0
2024-07-19,4285,3.20744,3.20744,0
2024-07-20,4285,3.21854,3.21854,0
2024-07-21,3224,0.34782,0.34782,0
2024-07-22,1327,3.03535,3.03535,0
2024-07-23,1357,3.04596,3.04596,0
2024-07-24,1368,2.63283,2.63283,0
2024-07-25,1286,5.31129,5.31129,0
2024-07-26,1287,5.36468,5.36468,0
2024-07-27,1304,3.37917,3.37917,0
2024-07-28,1338,3.40429,3.40429,0
2024-07-29,1335,2.8801,2.8801,0
2024-07-30,1076,0.86182,0.86182,0
2024-07-31,1170,0.83212,0.83212,0
2024-08-01,1170,0.75755,0.75755,0
2024-08-02,1205,0.89457,0.89457,0
2024-08-03,9666,0.03665,0.03665,0
2024-08-04,9201,0.04172,0.04172,0
2024-08-05,8035,0.02124,0.02124,0
2024-08-06,27136,1.74373,1.74373,0
2024-08-07,16451,0.00775,0.00775,0
2024-08-08,18275,0.00691,0.00691,0
2024-08-09,18026,0.00565,0.00565,0
2024-08-10,18258,0.00733,0.00733,0
2024-08-11,18066,0.00628,0.00628,0
2024-08-12,18726,0.0055,0.0055,0
2024-08-13,19020,0.00473,0.00473,0
2024-08-14,18594,0.00423,0.00423,0
2024-08-15,18654,0.00383,0.00383,0
2024-08-16,18654,0.00383,0.00383,0
2024-08-17,18704,0.00383,0.00383,0
2024-08-18,1919,0.08354,0.08354,0
2024-08-19,1123,0.53638,0.53638,0
2024-08-20,1130,0.61903,0.61903,0
2024-08-21,21088,1.64127,1.64127,0
2024-08-22,148484,0.53101,0.53101,0
2024-08-23,142196,2.01231,2.01231,0
2024-08-24,76724,0.00824,0.00824,0
2024-08-25,77785,0.00725,0.00725,0
2024-08-26,75354,0.0063,0.0063,0
2024-08-27,70427,0.00547,0.00547,0
2024-08-28,71403,0.00498,0.00498,0
2024-08-29,71435,0.00441,0.00441,0
2024-08-30,68893,0.00066,0.00066,0
2024-08-31,69025,0.00062,0.00062,0
2024-09-01,68026,0.00049,0.00049,0
2024-09-02,69833,0.00046,0.00046,0
2024-09-03,67375,0.00036,0.00036,0
2024-09-04,67348,0.00035,0.00035,0
2024-09-05,64703,0.0003,0.0003,0
2024-09-06,28647,0.00067,0.00067,0
2024-09-07,29734,0.00064,0.00064,0
2024-09-10,53369,0.00207,0.00207,0
2024-09-11,8675,0.02983,0.02983,0
2024-09-12,8998,0.04328,0.04328,0
2024-09-13,3452457,0.44053,0.44053,0
2024-09-14,3455127,0.50749,0.50749,0
2024-09-15,3501487,0.48317,0.48317,0
2024-09-16,3500081,0.52398,0.52398,0
2024-09-17,3458312,0.73123,0.73123,0
2024-09-18,3492677,0.84308,0.84308,0
2024-09-19,3498081,0.95819,0.95819,0
2024-09-20,3743678,1.11026,1.11026,0
2024-09-21,3762134,1.26777,1.26777,0
2024-09-22,3676632,0.4208,0.4208,0
2024-09-23,609721,0.00321,0.00321,0
2024-09-24,607184,0.00281,0.00281,0
2024-09-25,592361,0.00229,0.00229,0
2024-09-26,605137,0.00208,0.00208,0
2024-09-27,618273,0.00193,0.00193,0
2024-09-28,612840,0.00169,0.00169,0
2024-09-29,611097,0.00138,0.00138,0
2024-09-30,76525,0.01844,0.01844,0
