date,tvl,apy,apy_base,apy_reward
2025-04-18,53664,0.00038,0.00038,0.0
2025-04-23,938646,1.19089,1.19089,0.0
2025-04-24,938746,1.82677,1.82677,0.0
2025-04-25,938699,1.91477,1.91477,0.0
2025-04-26,938826,4.13322,4.13322,0.0
2025-04-27,938898,4.15991,4.15991,0.0
2025-04-28,939165,11.85832,11.85832,0.0
2025-04-29,939236,4.904,4.904,0.0
2025-04-30,939342,4.89329,4.89329,0.0
2025-05-01,939511,5.23287,5.23287,0.0
2025-05-02,939672,9.33183,9.33183,0.0
2025-05-03,1058447,4.83459,4.83459,0.0
2025-05-04,941824,17.26318,17.26318,0.0
2025-05-05,976668,4.81867,4.81867,0.0
2025-05-06,973866,5.50745,5.50745,0.0
2025-05-07,974075,12.54656,12.54656,0.0
2025-05-08,974302,9.52948,9.52948,0.0
2025-05-09,1080362,9.34474,9.34474,0.0
2025-05-10,1142862,32.2722,32.2722,0.0
2025-05-11,1399338,5.63615,5.63615,0.0
2025-05-12,1417150,5.98814,5.98814,0.0
2025-05-13,1293921,14.46601,14.46601,0.0
2025-05-14,1444001,6.38448,6.38448,0.0
2025-05-15,1436663,6.44327,6.44327,0.0
2025-05-16,4318332,1.06439,1.06439,0.0
2025-05-17,4318353,2.0169,1.04799,0.96891
2025-05-19,1989957,4.02197,3.21568,0.80629
2025-05-20,1490186,5.18103,5.18103,0.0
2025-05-21,1618861,2.9307,2.9307,0.0
2025-05-22,1618848,2.90566,2.90566,0.0
2025-05-23,1615737,2.86289,2.86289,0.0
2025-05-24,1287193,4.10933,4.10933,0.0
2025-05-25,1287406,4.03285,4.03285,0.0
2025-05-26,1287428,3.96013,3.96013,0.0
2025-05-27,1287528,4.22069,4.22069,0.0
2025-05-28,1287738,4.25884,4.25884,0.0
2025-05-29,1167913,11.4128,11.4128,0.0
2025-05-30,1168291,5.7592,5.7592,0.0
2025-05-31,1168433,5.75021,5.75021,0.0
2025-06-01,1168543,4.97633,4.97633,0.0
2025-06-02,1168623,4.86069,4.86069,0.0
2025-06-03,1168800,4.85013,4.85013,0.0
2025-06-04,1168902,4.84416,4.84416,0.0
