date,tvl,apy,apy_base,apy_reward
2024-07-04,4224,2e-05,2e-05,0
2024-07-05,4220,2e-05,2e-05,0
2024-07-06,14175,0.0,0.0,0
2024-07-07,14200,0.0,0.0,0
2024-07-08,14193,0.0,0.0,0
2024-07-09,14190,0.0,0.0,0
2024-07-10,14192,0.0,0.0,0
2024-07-11,12505,0.0,0.0,0
2024-07-12,12519,0.0,0.0,0
2024-07-13,12512,0.0,0.0,0
2024-07-14,30443,0.0,0.0,0
2024-07-15,37016,0.0,0.0,0
2024-07-16,187868,0.0,0.0,0
2024-07-17,665210,0.0,0.0,0
2024-07-18,665223,0.0,0.0,0
2024-07-19,697172,0.43349,0.43349,0
2024-07-20,699172,0.4665,0.4665,0
2024-07-21,725949,0.57076,0.57076,0
2024-07-22,725955,0.6127,0.6127,0
2024-07-23,745634,0.55071,0.55071,0
2024-07-24,755238,0.81803,0.81803,0
2024-07-25,753719,0.87871,0.87871,0
2024-07-26,752624,0.94876,0.94876,0
2024-07-27,753030,1.02004,1.02004,0
2024-07-28,753355,1.10265,1.10265,0
2024-07-29,752931,1.20214,1.20214,0
2024-07-30,752808,1.305,1.305,0
2024-07-31,752816,1.42641,1.42641,0
2024-08-01,753376,1.55466,1.55466,0
2024-08-02,751864,1.69699,1.69699,0
2024-08-03,752798,3.29358,3.29358,0
2024-08-04,750820,3.77944,3.77944,0
2024-08-05,753846,4.06304,4.06304,0
2024-08-06,753111,4.39212,4.39212,0
2024-08-07,753620,4.73614,4.73614,0
2024-08-08,754906,5.12502,5.12502,0
2024-08-09,735781,7.19877,7.19877,0
2024-08-10,726176,8.9207,8.9207,0
2024-08-11,734655,9.28565,9.28565,0
2024-08-12,424049,0.0,0.0,0
2024-08-13,373473,6.70494,6.70494,0
2024-08-14,373455,6.98411,6.98411,0
2024-08-15,376182,7.21149,7.21149,0
2024-08-16,372295,8.61726,8.61726,0
2024-08-17,358828,14.55137,14.55137,0
2024-08-18,366749,3.09185,3.09185,0
2024-08-19,358109,4.6212,4.6212,0
2024-08-20,401109,2.66377,2.66377,0
2024-08-21,401139,2.64656,2.64656,0
2024-08-22,365676,3.09397,3.09397,0
2024-08-23,366235,3.09248,3.09248,0
2024-08-24,365642,3.09098,3.09098,0
2024-08-25,365838,3.08949,3.08949,0
2024-08-26,333471,13.064,13.064,0
2024-08-27,331818,3.51393,3.51393,0
2024-08-28,331714,3.51891,3.51891,0
2024-08-29,331728,3.52391,3.52391,0
2024-08-30,331801,3.52892,3.52892,0
2024-08-31,331853,3.53377,3.53377,0
2024-09-01,332411,3.53879,3.53879,0
2024-09-02,331642,3.54382,3.54382,0
2024-09-03,331699,3.54886,3.54886,0
2024-09-04,333537,3.37437,3.37437,0
2024-09-05,332426,3.37439,3.37439,0
2024-09-06,299708,3.47251,3.47251,0
2024-09-07,269415,3.52419,3.52419,0
2024-09-10,253501,10.78991,10.78991,0
2024-09-11,252749,3.59302,3.59302,0
2024-09-12,253030,3.59035,3.59035,0
2024-09-13,253277,3.59012,3.59012,0
2024-09-14,253844,3.58987,3.58987,0
2024-09-15,253336,3.58963,3.58963,0
