date,tvl,apy,apy_base,apy_reward
2025-03-25,1104,11.27428,11.27428,0.0
2025-03-26,1304,7.60733,6.82195,0.78538
2025-03-27,1305,7.37744,6.43932,0.93812
2025-03-28,1305,13.50524,13.47616,0.02908
2025-03-29,1306,68.37,68.37,0.0
2025-03-30,1306,5.33102,4.55102,0.78
2025-03-31,1306,6.461,5.83962,0.62138
2025-04-01,1306,13.60299,13.60299,0.0
2025-04-02,1306,5.41315,4.71921,0.69394
2025-04-03,1307,7.30036,6.87895,0.42141
2025-04-04,1307,6.33842,5.76917,0.56925
2025-04-05,1307,7.79064,7.79064,0.0
2025-04-06,1308,8.14089,8.14089,0.0
2025-04-07,1308,24.98774,24.98774,0.0
2025-04-08,1308,6.94205,6.66672,0.27533
2025-04-09,1308,7.29838,6.92093,0.37745
2025-04-10,1309,7.01244,6.84055,0.17188
2025-04-11,1309,5.7487,5.27326,0.47544
2025-04-12,1309,5.72269,5.20173,0.52096
2025-04-13,1309,5.30195,4.83022,0.47173
2025-04-14,1310,5.47148,5.00717,0.4643
2025-04-15,1310,4.89341,4.46792,0.42549
2025-04-16,1310,4.72115,4.29485,0.42629
2025-04-17,1310,4.89093,4.41989,0.47104
2025-04-18,1310,4.70849,4.52933,0.17916
2025-04-19,1310,5.1212,4.46581,0.6554
2025-04-20,1311,5.11134,4.47264,0.63871
2025-04-21,1311,5.13951,4.49938,0.64013
2025-04-22,1311,5.68227,5.17784,0.50443
2025-05-05,3484,5.60331,4.63382,0.96949
2025-05-06,58283,5.57828,4.49909,1.07919
2025-05-07,3953,5.67717,4.62371,1.05346
2025-05-08,81736,5.86655,4.60338,1.26316
2025-05-09,214284,5.89574,4.63673,1.259
2025-05-10,194240,6.00112,4.59668,1.40443
2025-05-11,125793,5.99009,4.64373,1.34636
2025-05-12,126314,7.14704,5.8226,1.32445
2025-05-13,134786,6.06444,4.61172,1.45273
2025-05-14,113370,6.03732,4.64571,1.39161
2025-05-15,120907,9.22895,7.84333,1.38563
2025-05-16,126473,8.08025,6.70954,1.3707
2025-05-17,124756,5.80106,4.50187,1.29919
2025-05-19,111593,6.24631,4.87878,1.36753
2025-05-20,111618,6.17875,4.78386,1.39488
2025-05-21,111636,6.14409,4.78974,1.35434
2025-05-22,111638,6.26185,4.45696,1.80488
2025-05-23,112650,6.29833,4.99173,1.30659
2025-05-24,112773,5.91988,4.64098,1.2789
2025-05-25,113793,5.96238,4.73757,1.22481
2025-05-26,111617,6.04141,4.81106,1.23035
2025-05-27,110622,5.97305,4.74011,1.23293
2025-05-28,110637,6.05619,4.86732,1.18887
2025-05-29,110654,6.40855,5.22054,1.18801
2025-05-30,124598,6.55391,5.44258,1.11133
2025-05-31,147574,6.444,5.33387,1.11013
2025-06-01,164069,6.2769,5.14426,1.13264
2025-06-02,164002,6.28738,5.17355,1.11383
2025-06-03,161151,6.86106,5.7061,1.15496
2025-06-04,161173,6.19782,5.04442,1.1534
