,ethena-usde_SUSDE_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_USDT_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,morpho-blue_SPDAI_Ethereum,aave-v3_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,aave-v3_USDE_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,aave-v3_USDS_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,fluid-lending_SUSDE_Ethereum,aave-v3_PT-EUSDE-29MAY2025_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_PT-USDE-31JUL2025_Ethereum,morpho-blue_HYUSDC_Ethereum,euler-v2_USDC_Base,euler-v2_USDC_Ethereum,morpho-blue_IMF-USDS_Ethereum,morpho-blue_BBQDAI_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_USDE_Ethereum,morpho-blue_USDC_Ethereum,aave-v2_USDT_Polygon,aave-v2_USDT.E_Avalanche,morpho-aave_USDC_Ethereum,morpho-blue_GTAUSDC_Ethereum,morpho-blue_OHMSUSDS_Ethereum,morpho-blue_SAFE-STEAKUSDC_Ethereum,morpho-blue_SUSDS_Ethereum,morpho-blue_APRUSDC_Base,euler-v2_SUSDS_Ethereum,euler-v2_USDE_Ethereum,morpho-blue_STKCVXCRVUSDCWBTCWETH-MORPHO_Ethereum,morpho-blue_STKCVXCRVUSDETHCRV-MORPHO_Ethereum,morpho-blue_PT-SUSDE-27FEB2025_Ethereum,morpho-blue_RE7USDCP_Ethereum,morpho-blue_INDEUSDC_Base,euler-v2_SDAI_Ethereum,morpho-blue_PYTHUSDC_Base,morpho-aave_USDT_Ethereum,morpho-compound_USDT_Ethereum,morpho-blue_MJUSDC_Base,morpho-blue_USDC_Base,morpho-blue_AUSDC_Base,morpho-blue_STKCVXCRVUSDTWBTCWETH-MORPHO_Ethereum,morpho-compound_DAI_Ethereum,morpho-blue_LUMENUSDC_Base
2024-06-06,26.00189,0.0,7.39565,0.0,0.0,11.91186,14.26367,0.0,0.0,0.0,0.00526,14.31714,15.1565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54667,16.12974,7.54431,0.0,15.17502,0.0,0.0,0.0,0.0,16.31272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36697,2.45089,16.77433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.97794,7.45021,0.0,0.0,0.0,0.0,0.0,11.73083,9.36145,0.0,0.0,0.0,22.95503,10.90879,0.0
2024-06-07,25.36063,0.0,6.53898,0.0,0.0,11.98452,11.51851,0.0,0.0,0.0,2.35105,14.48306,8.25579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.11397,9.01531,8.51464,0.0,8.18875,0.0,0.0,0.0,0.0,18.27738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89622,2.14531,5.81028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59412,228.44383,0.0,0.0,0.0,0.0,0.0,5.90578,15.05773,0.0,0.0,0.0,0.0,16.3556,0.0
2024-06-08,24.68142,0.0,6.67133,0.0,0.0,7.4014,12.03498,0.0,0.0,0.0,0.9942,14.05493,8.90976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33373,7.51661,7.46461,0.0,8.83538,0.0,0.0,0.0,0.0,6.98956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05979,2.07599,5.84167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.41161,196.15664,0.0,0.0,0.0,0.0,0.0,7.08278,7.24733,0.0,0.0,0.0,0.0,16.32202,0.0
2024-06-09,23.89971,0.0,6.66965,0.0,0.0,7.31854,14.98221,0.0,0.0,0.0,1.18013,14.14491,10.3381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.35642,6.75272,5.4719,0.0,10.6325,0.0,0.0,0.0,0.0,13.44487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99823,2.09589,5.94472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56906,60.51618,0.0,0.0,0.0,0.0,0.0,8.18893,6.81068,0.0,0.0,0.0,0.0,11.36323,0.0
2024-06-10,23.4354,0.0,6.80228,0.0,0.0,7.44194,10.79973,0.0,0.0,0.0,1.47043,14.24906,7.80178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18035,6.48192,5.5139,0.0,7.79035,0.0,0.0,0.0,0.0,20.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03411,2.0531,5.91852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.17485,62.40535,0.0,0.0,0.0,0.0,0.0,11.63102,8.7073,0.0,0.0,0.0,0.0,10.76292,0.0
2024-06-11,23.00921,0.0,7.14781,0.0,0.0,7.36741,11.02591,0.0,0.0,0.0,1.72535,13.66761,7.72897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99839,6.49605,6.39248,0.0,7.73278,0.0,0.0,0.0,0.0,19.74623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67317,1.4489,13.10878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21493,66.4099,0.0,0.0,0.0,0.0,0.0,8.59134,9.04737,0.0,0.0,0.0,81.70097,10.08735,0.0
2024-06-12,22.62092,0.0,7.10526,0.0,0.0,7.27602,11.3053,0.0,0.0,0.0,2.09637,14.22366,8.08735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39695,6.38328,8.97514,0.0,8.08606,0.0,0.0,0.0,0.0,16.23067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2399,1.72646,12.07225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.97721,57.1048,0.0,0.0,0.0,0.0,0.0,8.28055,13.33325,0.0,0.0,0.0,66.94816,9.87295,0.0
2024-06-13,17.16282,0.0,6.92413,0.0,0.0,11.77067,11.57652,0.0,0.0,0.0,2.14865,13.80179,10.1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.94758,15.88241,4.74786,0.0,10.18637,0.0,0.0,0.0,0.0,8.51558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23846,1.78905,15.08668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.84707,45.5126,0.0,0.0,0.0,0.0,0.0,9.03374,11.90585,0.0,0.0,0.0,81.82981,10.00409,0.0
2024-06-14,16.99833,0.0,6.96671,0.0,0.0,7.36127,11.0467,0.0,0.0,0.0,2.493,13.437,8.15842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55313,15.95935,5.37876,0.0,8.16342,0.0,0.0,0.0,0.0,8.45632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87836,1.78167,5.91169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.85333,40.68712,0.0,0.0,0.0,0.0,0.0,7.24621,11.17134,0.0,0.0,0.0,49.19609,9.89581,0.0
2024-06-15,16.96518,0.0,6.87093,0.0,0.0,7.24692,10.95656,0.0,0.0,0.0,3.36694,13.05818,8.06381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15704,12.54047,5.45913,0.0,8.06482,0.0,0.0,0.0,0.0,16.66031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90576,1.68975,10.43428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3153,45.96009,0.0,0.0,0.0,0.0,0.0,7.4168,4.52513,0.0,0.0,0.0,50.42829,4.12538,0.0
