date,tvl,apy,apy_base,apy_reward
2025-01-09,121087,0.2847,0.2847,0
2025-02-07,986296,0.7812,0.7812,0
2025-02-08,994948,0.78142,0.78142,0
2025-02-09,953442,0.84032,0.84032,0
2025-02-10,1002215,0.77223,0.77223,0
2025-02-11,893119,0.92502,0.92502,0
2025-02-12,900953,0.9251,0.9251,0
2025-02-13,773508,0.0347,0.0347,0
2025-02-14,1201271,0.01472,0.01472,0
2025-02-15,1211808,0.01472,0.01472,0
2025-02-16,1096238,0.44442,0.44442,0
2025-02-17,1096238,0.44452,0.44452,0
2025-02-18,1194271,0.04167,0.04167,0
2025-02-19,1191197,0.04779,0.04779,0
2025-02-20,1189036,0.05236,0.05236,0
2025-02-21,1564578,0.09532,0.09532,0
2025-02-22,1478844,0.6591,0.6591,0
2025-02-23,1479511,0.65558,0.65558,0
2025-02-24,1078828,0.92789,0.92789,0
2025-02-25,873740,1.33282,1.33282,0
2025-02-26,873740,1.33329,1.33329,0
2025-02-27,477330,3.39453,3.39453,0
2025-02-28,368146,8.39197,8.39197,0
2025-03-01,599385,1.64702,1.64702,0
2025-03-02,415624,2.86503,2.86503,0
2025-03-03,420046,2.85838,2.85838,0
2025-03-04,544657,1.91475,1.91475,0
2025-03-05,544657,1.91551,1.91551,0
2025-03-06,605418,1.62483,1.62483,0
2025-03-07,842549,0.94922,0.94922,0
2025-03-08,1092560,0.60929,0.60929,0
2025-03-09,1092511,0.60949,0.60949,0
2025-03-10,1013141,0.69459,0.69459,0
2025-03-11,994713,0.71704,0.71704,0
2025-03-12,985696,0.72852,0.72852,0
2025-03-13,1124794,0.58881,0.58881,0
2025-03-14,1141471,0.56541,0.56541,0
2025-03-15,1263855,0.47283,0.47283,0
2025-03-16,1281545,0.46144,0.46144,0
2025-03-17,1052896,0.65111,0.65111,0
2025-03-18,1554143,0.32691,0.32691,0
2025-03-19,1416510,0.92826,0.92826,0
2025-03-20,1871606,0.17637,0.17637,0
2025-03-21,1197037,0.96154,0.96154,0
2025-03-22,1091527,1.12103,1.12103,0
2025-03-23,1237466,0.22458,0.22458,0
2025-03-24,1269001,0.21444,0.21444,0
2025-03-25,1330189,0.19661,0.19661,0
2025-03-26,2399918,0.06468,0.06468,0
2025-03-27,1567955,0.07203,0.07203,0
2025-03-28,1507823,0.2215,0.2215,0
2025-03-29,1507823,0.22153,0.22153,0
2025-03-30,1507823,0.22157,0.22157,0
2025-03-31,1502821,0.22297,0.22297,0
2025-04-01,1521161,0.21808,0.21808,0
2025-04-02,1510887,0.22085,0.22085,0
2025-04-03,1456810,0.23619,0.23619,0
2025-04-04,1561949,0.22619,0.22619,0
2025-04-05,2545230,0.08454,0.08454,0
2025-04-06,2427087,0.09103,0.09103,0
2025-04-07,2234513,0.03839,0.03839,0
2025-04-08,1053060,0.12797,0.12797,0
2025-04-09,405524,1.59619,1.59619,0
2025-04-10,204696,0.12667,0.12667,0
2025-04-11,73704,0.79803,0.79803,0
2025-04-12,53371,1.36318,1.36318,0
2025-04-13,53836,1.36366,1.36366,0
2025-04-14,53371,1.36414,1.36414,0
2025-04-15,53371,1.36462,1.36462,0
2025-04-16,53836,1.3651,1.3651,0
2025-04-17,53371,1.41064,1.41064,0
2025-04-18,53836,1.41089,1.41089,0
2025-04-19,53836,1.41113,1.41113,0
2025-04-20,53836,1.41138,1.41138,0
2025-04-21,53836,1.41162,1.41162,0
2025-04-22,53836,1.41188,1.41188,0
2025-04-23,53836,1.41212,1.41212,0
2025-04-24,53836,1.41237,1.41237,0
2025-04-25,53836,1.4126,1.4126,0
2025-04-26,53836,1.41286,1.41286,0
2025-04-27,53836,1.41311,1.41311,0
2025-04-28,53836,1.41335,1.41335,0
2025-04-29,53836,1.41359,1.41359,0
2025-04-30,53836,1.41385,1.41385,0
2025-05-01,53836,1.41409,1.41409,0
2025-05-02,53836,1.41435,1.41435,0
2025-05-03,53836,1.41459,1.41459,0
2025-05-04,53836,1.41484,1.41484,0
2025-05-05,53836,1.41508,1.41508,0
2025-05-06,53836,1.41525,1.41525,0
2025-05-07,53836,1.41558,1.41558,0
2025-05-08,53836,1.41583,1.41583,0
2025-05-09,53836,1.41607,1.41607,0
2025-05-10,53836,1.41632,1.41632,0
2025-05-11,53836,1.41657,1.41657,0
2025-05-12,53836,1.41682,1.41682,0
2025-05-13,53836,1.41706,1.41706,0
2025-05-14,53836,1.41731,1.41731,0
2025-05-15,53836,1.41756,1.41756,0
2025-05-16,53836,1.41781,1.41781,0
2025-05-17,53819,1.42785,1.42785,0
2025-05-18,53819,1.42811,1.42811,0
2025-05-19,53819,1.42836,1.42836,0
2025-05-20,53819,1.4286,1.4286,0
2025-05-21,45901,1.84611,1.84611,0
2025-05-22,45901,1.84646,1.84646,0
2025-05-23,45901,1.84681,1.84681,0
2025-05-24,45901,1.84717,1.84717,0
2025-05-25,45901,1.84752,1.84752,0
2025-05-26,45901,1.84788,1.84788,0
2025-05-27,45901,1.84824,1.84824,0
2025-05-28,45901,1.84859,1.84859,0
2025-05-29,45901,1.84895,1.84895,0
2025-05-30,45901,1.8493,1.8493,0
2025-05-31,45901,1.84966,1.84966,0
2025-06-01,45901,1.85002,1.85002,0
2025-06-02,45901,1.85038,1.85038,0
2025-06-03,45901,1.85073,1.85073,0
2025-06-04,45901,1.85108,1.85108,0
