date,tvl,apy,apy_base,apy_reward
2025-01-08,583211,0.31132,0.31132,0
2025-01-09,606065,0.29043,0.29043,0
2025-01-10,1423184,0.05866,0.05866,0
2025-01-11,1425228,0.05874,0.05874,0
2025-01-12,1777096,0.03839,0.03839,0
2025-01-13,1782232,0.03839,0.03839,0
2025-01-14,1778363,0.03839,0.03839,0
2025-01-15,1794373,0.03779,0.03779,0
2025-01-16,1885592,0.03442,0.03442,0
2025-01-17,3186672,0.01234,0.01234,0
2025-01-18,3191217,0.01229,0.01229,0
2025-01-19,3174425,0.01229,0.01229,0
2025-01-20,3142586,0.01262,0.01262,0
2025-01-21,3150210,0.01262,0.01262,0
2025-01-22,2983880,0.17182,0.17182,0
2025-01-23,2636490,0.21691,0.21691,0
2025-01-24,2751713,0.05351,0.05351,0
2025-01-25,2954332,0.04667,0.04667,0
2025-01-26,2954332,0.04668,0.04668,0
2025-01-27,2850955,0.17054,0.17054,0
2025-01-28,2850955,0.17057,0.17057,0
2025-01-29,5110589,0.0161,0.0161,0
2025-01-30,5095894,0.01619,0.01619,0
2025-01-31,5095894,0.01619,0.01619,0
2025-02-01,4686286,0.34371,0.34371,0
2025-02-02,4686286,0.34378,0.34378,0
2025-02-03,701046,20.30746,20.30746,0
2025-02-04,961953,8.28952,8.28952,0
2025-02-05,1069351,2.65308,2.65308,0
2025-02-06,952248,3.23666,3.23666,0
2025-02-07,1202067,2.23187,2.23187,0
2025-02-08,1172906,2.31674,2.31674,0
2025-02-09,1172906,2.31773,2.31773,0
2025-02-10,1172906,2.31871,2.31871,0
2025-02-11,1235395,2.14513,2.14513,0
2025-02-12,1373244,1.82444,1.82444,0
2025-02-13,1919630,1.06582,1.06582,0
2025-02-14,1919630,1.06616,1.06616,0
2025-02-15,1878855,1.10503,1.10503,0
2025-02-16,1878855,1.10539,1.10539,0
2025-02-17,1873095,1.11136,1.11136,0
2025-02-18,1873095,1.11172,1.11172,0
2025-02-19,1873095,1.11208,1.11208,0
2025-02-20,2212553,0.84214,0.84214,0
2025-02-21,2224132,0.83497,0.83497,0
2025-02-22,2262227,0.81149,0.81149,0
2025-02-23,2513952,0.67762,0.67762,0
2025-02-24,2513952,0.6778,0.6778,0
2025-02-25,2513952,0.67798,0.67798,0
2025-02-26,2513952,0.67816,0.67816,0
2025-02-27,2483710,0.69263,0.69263,0
2025-02-28,2505307,0.69282,0.69282,0
2025-03-01,2470811,0.70972,0.70972,0
2025-03-02,2218626,0.85291,0.85291,0
2025-03-03,2218626,0.85316,0.85316,0
2025-03-04,2220724,0.85205,0.85205,0
2025-03-05,1978216,1.03461,1.03461,0
2025-03-06,2808370,0.56938,0.56938,0
2025-03-07,2704062,0.60835,0.60835,0
2025-03-08,2704062,0.6085,0.6085,0
2025-03-09,2703982,0.60869,0.60869,0
2025-03-10,2703982,0.60884,0.60884,0
2025-03-11,2601334,0.65126,0.65126,0
2025-03-12,2601334,0.65143,0.65143,0
2025-03-13,2601334,0.6516,0.6516,0
2025-03-14,2601336,0.65178,0.65178,0
2025-03-15,2578550,0.66194,0.66194,0
2025-03-16,2578412,0.66235,0.66235,0
2025-03-17,2588299,0.65816,0.65816,0
2025-03-18,2585065,0.65976,0.65976,0
2025-03-19,2462250,1.39744,1.39744,0
2025-03-20,6093018,0.23502,0.23502,0
2025-03-21,5412850,0.49854,0.49854,0
2025-03-22,5321711,0.51661,0.51661,0
2025-03-23,5418369,0.38834,0.38834,0
2025-03-24,5513584,0.28237,0.28237,0
2025-03-25,5517574,0.28213,0.28213,0
2025-03-26,5516696,0.28226,0.28226,0
2025-03-27,5883329,0.15981,0.15981,0
2025-03-28,7008093,0.10782,0.10782,0
2025-03-29,7273476,0.10112,0.10112,0
2025-03-30,7916606,0.08612,0.08612,0
2025-03-31,7876365,0.0884,0.0884,0
2025-04-01,8863760,0.0,0.0,0
2025-04-02,9277836,0.0,0.0,0
2025-04-03,9277934,0.0,0.0,0
2025-04-04,7746075,0.0,0.0,0
2025-04-05,7254726,0.00273,0.00273,0
2025-04-06,7125503,0.00278,0.00278,0
2025-04-07,6734299,0.04031,0.04031,0
2025-04-08,5054354,0.06996,0.06996,0
2025-04-09,4611432,0.08334,0.08334,0
2025-04-10,4611425,0.08334,0.08334,0
2025-04-11,4498160,0.08739,0.08739,0
2025-04-12,4496664,0.08745,0.08745,0
2025-04-13,4372765,0.09222,0.09222,0
2025-04-14,4409456,0.09227,0.09227,0
2025-04-15,4406831,0.09239,0.09239,0
2025-04-16,4396092,0.09283,0.09283,0
