date,tvl,apy,apy_base,apy_reward
2025-02-07,1163640,0.0004,0.0004,0
2025-02-08,1164762,0.0004,0.0004,0
2025-02-09,1161395,0.0004,0.0004,0
2025-02-10,1126182,0.15268,0.15268,0
2025-02-11,987111,0.19511,0.19511,0
2025-02-12,986156,0.19514,0.19514,0
2025-02-13,1210181,0.13351,0.13351,0
2025-02-14,1189396,0.13818,0.13818,0
2025-02-15,1198004,0.12489,0.12489,0
2025-02-16,1122361,0.46944,0.46944,0
2025-02-17,1124538,0.46954,0.46954,0
2025-02-18,1195724,0.12495,0.12495,0
2025-02-19,1196877,0.12497,0.12497,0
2025-02-20,1196877,0.12499,0.12499,0
2025-02-21,1196052,0.12539,0.12539,0
2025-02-22,1142395,0.13694,0.13694,0
2025-02-23,1143493,0.13696,0.13696,0
2025-02-24,1127046,0.15467,0.15467,0
2025-02-25,1131394,0.15469,0.15469,0
2025-02-26,844089,0.44334,0.44334,0
2025-02-27,844089,0.44344,0.44344,0
2025-02-28,872625,0.25614,0.25614,0
2025-03-01,870109,0.25618,0.25618,0
2025-03-02,870945,0.25623,0.25623,0
2025-03-03,873800,0.23042,0.23042,0
2025-03-04,953705,0.0,0.0,0
2025-03-05,1145933,0.10125,0.10125,0
2025-03-06,1257073,0.08511,0.08511,0
2025-03-07,1255866,0.08512,0.08512,0
2025-03-08,1569007,0.05574,0.05574,0
2025-03-09,1569001,0.05574,0.05574,0
2025-03-10,1570096,0.05567,0.05567,0
2025-03-11,1818227,0.12996,0.12996,0
2025-03-12,1818227,0.12998,0.12998,0
2025-03-13,1770828,0.25338,0.25338,0
2025-03-14,1818028,0.13045,0.13045,0
2025-03-15,1818028,0.13047,0.13047,0
2025-03-16,1818028,0.13049,0.13049,0
2025-03-17,1739693,0.396,0.396,0
2025-03-18,1827962,0.12933,0.12933,0
2025-03-19,1719931,0.47423,0.47423,0
2025-03-20,2118342,0.38606,0.38606,0
2025-03-21,2006106,0.42471,0.42471,0
2025-03-22,2006106,0.4248,0.4248,0
2025-03-23,4125122,0.11311,0.11311,0
2025-03-24,4125036,0.11312,0.11312,0
2025-03-25,4107820,0.1329,0.1329,0
2025-03-26,4107820,0.13292,0.13292,0
2025-03-27,4103893,0.13293,0.13293,0
2025-03-28,4157271,0.05177,0.05177,0
2025-03-29,4153296,0.05177,0.05177,0
2025-03-30,4136360,0.05219,0.05219,0
2025-03-31,3286117,0.06287,0.06287,0
2025-04-01,3279818,0.06288,0.06288,0
2025-04-02,3286102,0.06288,0.06288,0
2025-04-03,3286175,0.06283,0.06283,0
2025-04-04,3302585,0.04964,0.04964,0
2025-04-05,3305742,0.04964,0.04964,0
2025-04-06,3305742,0.04964,0.04964,0
2025-04-07,3305742,0.04965,0.04965,0
2025-04-08,3292560,0.04994,0.04994,0
2025-04-09,3295708,0.04995,0.04995,0
2025-04-10,3206975,0.13642,0.13642,0
2025-04-11,3206975,0.13644,0.13644,0
2025-04-12,3210041,0.13646,0.13646,0
2025-04-13,3210041,0.13648,0.13648,0
2025-04-14,3210291,0.13647,0.13647,0
2025-04-15,3221085,0.12326,0.12326,0
2025-04-16,3224317,0.12309,0.12309,0
2025-04-17,3221240,0.12451,0.12451,0
2025-04-18,2525780,0.19697,0.19697,0
2025-04-19,2528190,0.19698,0.19698,0
2025-04-20,2525780,0.197,0.197,0
2025-04-21,2525780,0.19701,0.19701,0
2025-04-22,2528190,0.19703,0.19703,0
2025-04-23,2528190,0.19704,0.19704,0
2025-04-24,2528190,0.19706,0.19706,0
2025-04-25,2528190,0.19707,0.19707,0
2025-04-26,2528190,0.19709,0.19709,0
2025-04-27,2510259,0.23325,0.23325,0
2025-04-28,2528191,0.19727,0.19727,0
2025-04-29,2530588,0.19731,0.19731,0
2025-04-30,2530588,0.19732,0.19732,0
2025-05-01,2530588,0.19734,0.19734,0
2025-05-02,2493945,0.2742,0.2742,0
2025-05-03,2493945,0.27423,0.27423,0
2025-05-04,2530595,0.19747,0.19747,0
2025-05-05,2530595,0.19748,0.19748,0
2025-05-06,2530595,0.19749,0.19749,0
2025-05-07,2533005,0.19751,0.19751,0
2025-05-08,2533005,0.19753,0.19753,0
2025-05-09,2533005,0.19754,0.19754,0
2025-05-10,2533005,0.19756,0.19756,0
2025-05-11,2533005,0.19757,0.19757,0
2025-05-12,1938063,0.32393,0.32393,0
2025-05-13,1938063,0.32396,0.32396,0
2025-05-14,1938063,0.32399,0.32399,0
2025-05-15,1938063,0.32402,0.32402,0
2025-05-16,1939907,0.32405,0.32405,0
2025-05-17,1939809,0.32428,0.32428,0
2025-05-18,1939809,0.32431,0.32431,0
2025-05-19,1939809,0.32434,0.32434,0
2025-05-20,1939809,0.32437,0.32437,0
2025-05-21,1939809,0.3244,0.3244,0
2025-05-22,1939809,0.32444,0.32444,0
2025-05-23,1939809,0.32447,0.32447,0
2025-05-24,1939809,0.3245,0.3245,0
2025-05-25,1941653,0.32453,0.32453,0
2025-05-26,1941653,0.32456,0.32456,0
2025-05-27,281705,3.41326,3.41326,0
2025-05-28,281892,3.37345,3.37345,0
2025-05-29,442549,1.65077,1.65077,0
2025-05-30,398736,1.94823,1.94823,0
2025-05-31,335779,2.53848,2.53848,0
2025-06-01,336009,2.54075,2.54075,0
2025-06-02,336009,2.5413,2.5413,0
2025-06-03,218603,10.5047,10.5047,0
2025-06-04,265446,4.78619,4.78619,0
