date,tvl,apy,apy_base,apy_reward
2025-04-21,5039872,7.17996,7.17996,0.0
2025-04-22,5031995,7.57132,7.57132,0.0
2025-04-23,5145683,7.29713,7.29713,0.0
2025-04-24,5331388,6.52092,6.52092,0.0
2025-04-25,5403872,7.19134,7.19134,0.0
2025-04-26,5542036,7.97798,7.97798,0.0
2025-04-27,5617604,7.15595,7.15595,0.0
2025-04-28,5674228,7.75233,7.75233,0.0
2025-04-29,5928370,6.92595,6.92595,0.0
2025-04-30,5829687,7.71833,7.71833,0.0
2025-05-01,5674182,11.78003,11.78003,0.0
2025-05-02,6078723,8.7459,8.7459,0.0
2025-05-03,6573892,4.59831,4.59831,0.0
2025-05-04,6025590,6.81515,6.81515,0.0
2025-05-05,6281424,8.40506,8.40506,0.0
2025-05-06,6182409,7.45392,7.45392,0.0
2025-05-07,6222549,7.77367,7.77367,0.0
2025-05-08,5080362,15.6239,15.6239,0.0
2025-05-09,5729700,11.55511,11.55511,0.0
2025-05-10,6508871,8.58208,8.58208,0.0
2025-05-11,6411183,9.55118,9.55118,0.0
2025-05-12,6577354,9.09138,9.09138,0.0
2025-05-13,6837316,8.75624,8.75624,0.0
2025-05-14,6922100,10.06643,10.06643,0.0
2025-05-15,7589753,8.4189,6.87671,1.54219
2025-05-16,7454296,9.57203,8.07004,1.50199
2025-05-17,8622123,4.9818,3.57499,1.40681
2025-05-18,7546144,8.84563,7.36572,1.47991
2025-05-19,6544226,15.74895,14.23824,1.51071
2025-05-20,6956449,10.96153,9.42737,1.53416
2025-05-21,7099944,11.34814,9.84006,1.50808
2025-05-22,6697207,10.25992,8.46203,1.79789
2025-05-23,5577731,15.72232,13.90287,1.81944
2025-05-24,6672569,8.59186,6.88503,1.70682
2025-05-25,6550178,9.80387,8.13006,1.67381
2025-05-26,6641869,9.91641,8.18731,1.7291
2025-05-27,6921601,9.16718,7.51383,1.65334
2025-05-28,6714855,8.3681,6.64421,1.72389
2025-05-29,6843711,6.571,4.85112,1.71989
2025-05-30,6120132,12.38735,10.81487,1.57248
2025-05-31,6612484,8.41367,6.83504,1.57863
2025-06-01,6405866,9.31306,7.71991,1.59315
2025-06-02,6378064,8.78066,7.1339,1.64675
2025-06-03,6697565,7.98183,6.38705,1.59478
2025-06-04,6324242,8.95697,7.37859,1.57838
