date,tvl,apy,apy_base,apy_reward
2025-05-07,255016,5.9583,5.9583,0
2025-05-08,184758,7.38846,7.38846,0
2025-05-09,185913,7.27726,7.27726,0
2025-05-10,313836,4.62093,4.62093,0
2025-05-11,294995,4.76669,4.76669,0
2025-05-12,271599,5.08749,5.08749,0
2025-05-13,315188,3.58705,3.58705,0
2025-05-14,296757,3.78047,3.78047,0
2025-05-15,240570,3.40787,3.40787,0
2025-05-16,223167,3.64138,3.64138,0
2025-05-17,222843,3.64575,3.64575,0
2025-05-18,222787,3.64728,3.64728,0
2025-05-19,188981,4.13861,4.13861,0
2025-05-20,73183,8.10823,8.10823,0
2025-05-21,79913,7.67516,7.67516,0
2025-05-22,86388,7.31967,7.31967,0
2025-05-23,69937,7.93983,7.93983,0
2025-05-24,68019,8.06725,8.06725,0
2025-05-25,68094,8.03951,8.03951,0
2025-05-26,83974,7.04971,7.04971,0
2025-05-27,77887,7.39144,7.39144,0
2025-05-28,94160,6.25313,6.25313,0
2025-05-29,94381,6.23339,6.23339,0
2025-05-30,94722,6.21627,6.21627,0
2025-05-31,94026,6.24974,6.24974,0
2025-06-01,99582,6.00408,6.00408,0
2025-06-02,87878,6.54868,6.54868,0
2025-06-03,91222,6.34097,6.34097,0
2025-06-04,90760,6.36448,6.36448,0
