date,tvl,apy,apy_base,apy_reward
2024-09-25,92391,3.22071,3.22071,0
2024-09-26,92320,3.22094,3.22094,0
2024-09-27,92492,3.22112,3.22112,0
2024-09-28,48717,4.42116,4.42116,0
2024-09-29,49247,4.40754,4.40754,0
2024-09-30,49237,4.40773,4.40773,0
2024-10-01,49264,4.40792,4.40792,0
2024-10-02,49314,4.40811,4.40811,0
2024-10-03,49264,4.4083,4.4083,0
2024-10-04,49257,4.4085,4.4085,0
2024-10-05,49264,4.40868,4.40868,0
2024-10-06,10798,49.14284,49.14284,0
2024-10-07,125730,1.83217,1.83217,0
2024-10-08,126030,1.83233,1.83233,0
2024-10-09,108347,2.08575,2.08575,0
2024-10-10,183801,0.57246,0.57246,0
2024-10-11,183836,0.5725,0.5725,0
2024-10-12,183881,0.57255,0.57255,0
2024-10-13,183891,0.57259,0.57259,0
2024-10-14,183891,0.57263,0.57263,0
2024-10-15,183814,0.57268,0.57268,0
2024-10-16,981159,0.09781,0.09781,0
2024-10-17,531466,1.64146,1.64146,0
2024-10-18,298928,2.61829,2.61829,0
2024-10-19,298979,2.6185,2.6185,0
2024-10-20,298720,2.61871,2.61871,0
2024-10-21,361277,2.09495,2.09495,0
2024-10-22,361277,2.09513,2.09513,0
2024-10-23,363460,2.08448,2.08448,0
2024-10-24,357888,2.12141,2.12141,0
2024-10-25,313813,2.47898,2.47898,0
2024-10-26,314950,2.47918,2.47918,0
2024-10-27,314902,2.47938,2.47938,0
2024-10-28,312600,2.50005,2.50005,0
2024-10-29,312138,2.50026,2.50026,0
2024-10-30,312650,2.50046,2.50046,0
2024-10-31,312650,2.50066,2.50066,0
2024-11-01,89549,4.87198,4.87198,0
2024-11-02,89546,4.87995,4.87995,0
2024-11-03,89549,4.88774,4.88774,0
2024-11-04,89638,4.89562,4.89562,0
2024-11-05,78055,16.51881,16.51881,0
2024-11-06,105920,9.19997,9.19997,0
2024-11-07,105829,9.2031,9.2031,0
2024-11-08,111094,9.07514,9.07514,0
2024-11-09,111111,9.07585,9.07585,0
2024-11-10,111222,9.07657,9.07657,0
2024-11-11,111333,9.07728,9.07728,0
2024-11-12,111111,9.07799,9.07799,0
2024-11-13,111111,9.0787,9.0787,0
2024-11-14,110965,9.07941,9.07941,0
2024-11-15,84575,10.75485,10.75485,0
2024-11-16,75270,16.72093,16.72093,0
2024-11-17,81933,12.46665,12.46665,0
2024-11-18,141568,9.52437,9.52437,0
2024-11-19,133916,15.22995,15.22995,0
2024-11-20,111540,24.55645,24.55645,0
2024-11-21,196744,9.09331,9.09331,0
2024-11-22,196696,9.09402,9.09402,0
2024-11-23,163521,9.55262,9.55262,0
2024-11-24,151967,12.15897,12.15897,0
2024-11-25,152422,12.17704,12.17704,0
2024-11-26,161234,9.58048,9.58048,0
2024-11-27,149003,11.83509,11.83509,0
2024-11-28,170832,9.3227,9.3227,0
2024-11-29,144084,9.87551,9.87551,0
2024-11-30,140276,16.05054,16.05054,0
2024-12-01,140276,16.07336,16.07336,0
2024-12-02,158776,9.7104,9.7104,0
2024-12-03,159093,9.72522,9.72522,0
2024-12-04,158776,9.74005,9.74005,0
2024-12-05,158935,9.75489,9.75489,0
2024-12-06,158725,9.76972,9.76972,0
2024-12-07,158568,9.78455,9.78455,0
2024-12-08,158776,9.79947,9.79947,0
2024-12-09,158935,9.81439,9.81439,0
2024-12-10,158776,9.82931,9.82931,0
2024-12-11,158776,9.84423,9.84423,0
2024-12-12,153930,11.36912,11.36912,0
2024-12-13,158095,9.60889,9.60889,0
2024-12-14,158101,9.60952,9.60952,0
