date,tvl,apy,apy_base,apy_reward
2025-05-07,431899,4.4886,4.4886,0
2025-05-08,233311,5.259,5.259,0
2025-05-09,230966,5.4582,5.4582,0
2025-05-10,273798,5.07637,5.07637,0
2025-05-11,214960,7.18228,7.18228,0
2025-05-12,208978,8.09117,8.09117,0
2025-05-13,223568,5.30628,5.30628,0
2025-05-14,62215,29.69764,29.69764,0
2025-05-15,119249,4.63826,4.63826,0
2025-05-16,110744,5.09731,5.09731,0
2025-05-17,109344,5.6369,5.6369,0
2025-05-18,117874,3.95742,3.95742,0
2025-05-19,129481,3.85271,3.85271,0
2025-05-20,135075,3.79115,3.79115,0
2025-05-21,69798,17.13231,17.13231,0
2025-05-22,92410,5.87694,5.87694,0
2025-05-23,96872,5.6275,5.6275,0
2025-05-24,95285,5.94856,5.94856,0
2025-05-25,87671,5.62421,5.62421,0
2025-05-26,103076,3.94484,3.94484,0
2025-05-27,102251,3.95633,3.95633,0
2025-05-28,66158,4.04649,4.04649,0
2025-05-29,62184,5.30368,5.30368,0
2025-05-30,62370,4.04455,4.04455,0
2025-05-31,62249,4.03925,4.03925,0
2025-06-01,61242,4.04824,4.04824,0
2025-06-02,57697,4.04021,4.04021,0
2025-06-03,56983,4.04292,4.04292,0
2025-06-04,54219,4.03953,4.03953,0
