date,tvl,apy,apy_base,apy_reward
2024-12-30,21267366,0,0,0
2024-12-31,17822155,0,0,0
2025-01-01,17807635,0,0,0
2025-01-02,17710748,0,0,0
2025-01-03,17327384,0,0,0
2025-01-04,17321449,0,0,0
2025-01-05,17127657,0,0,0
2025-01-06,16772819,0,0,0
2025-01-07,16728699,0,0,0
2025-01-08,16711732,0,0,0
2025-01-09,16743699,0,0,0
2025-01-10,16700927,0,0,0
2025-01-11,15835495,0,0,0
2025-01-12,15830572,0,0,0
2025-01-13,15876319,0,0,0
2025-01-14,14981804,0,0,0
2025-01-15,15316831,0,0,0
2025-01-16,15336558,0,0,0
2025-01-17,15233184,0,0,0
2025-01-18,15227482,0,0,0
2025-01-19,15147356,0,0,0
2025-01-20,15194963,0,0,0
2025-01-21,14931578,0,0,0
2025-01-22,14907858,0,0,0
2025-01-23,14563017,0,0,0
2025-01-24,14563017,0,0,0
2025-01-25,14563017,0,0,0
2025-01-26,17416182,0,0,0
2025-01-27,17301182,0,0,0
2025-01-28,20383344,0,0,0
2025-01-29,20384477,0,0,0
2025-01-30,14718367,0,0,0
2025-01-31,14723744,0,0,0
2025-02-01,12462104,0,0,0
2025-02-02,12219828,0,0,0
2025-02-03,13657687,0,0,0
2025-02-04,13420162,0,0,0
2025-02-05,13913881,0,0,0
2025-02-06,13913881,0,0,0
2025-02-07,13913881,0,0,0
2025-02-08,13913881,0,0,0
2025-02-09,13913881,0,0,0
2025-02-10,13913881,0,0,0
2025-02-11,13915031,0,0,0
2025-02-12,13300924,0,0,0
2025-02-13,13300924,0,0,0
2025-02-14,13297470,0,0,0
2025-02-15,12633839,0,0,0
2025-02-16,12633839,0,0,0
2025-02-17,12633839,0,0,0
2025-02-18,12633839,0,0,0
2025-02-19,11887148,0,0,0
2025-02-20,10249877,0,0,0
2025-02-21,10746728,0,0,0
2025-02-22,10747878,0,0,0
2025-02-23,10747878,0,0,0
2025-02-24,10747878,0,0,0
2025-02-25,13563446,0,0,0
2025-02-26,14232925,0,0,0
2025-02-27,14391053,0,0,0
2025-02-28,14030083,0,0,0
2025-03-01,13624083,0,0,0
2025-03-02,13274923,0,0,0
2025-03-03,13274923,0,0,0
2025-03-04,13276916,0,0,0
2025-03-05,14281567,0,0,0
2025-03-06,14281567,0,0,0
2025-03-07,13769842,0,0,0
2025-03-08,13558936,0,0,0
2025-03-09,10623602,0,0,0
2025-03-10,10623602,0,0,0
2025-03-11,10623602,0,0,0
2025-03-12,10623602,0,0,0
2025-03-13,10623602,0,0,0
2025-03-14,9618153,0,0,0
2025-03-15,9618153,0,0,0
2025-03-16,9618153,0,0,0
2025-03-17,9348432,0,0,0
2025-03-18,9348432,0,0,0
2025-03-19,8708430,0,0,0
2025-03-20,8708430,0,0,0
2025-03-21,6155210,0,0,0
2025-03-22,5609326,0,0,0
2025-03-23,5609326,0,0,0
2025-03-24,5609326,0,0,0
2025-03-25,5609326,0,0,0
2025-03-26,5107664,0,0,0
2025-03-27,5107664,0,0,0
2025-03-28,5853127,0,0,0
2025-03-29,7259837,0,0,0
2025-03-30,7072244,0,0,0
2025-03-31,11810186,0,0,0
2025-04-01,10724713,0,0,0
2025-04-02,10902779,0,0,0
2025-04-03,11303453,0,0,0
2025-04-04,5220456,0,0,0
2025-04-05,5085700,0,0,0
2025-04-06,5085700,0,0,0
2025-04-07,5056712,0,0,0
2025-04-08,5038979,0,0,0
2025-04-09,5038979,0,0,0
2025-04-10,5038979,0,0,0
2025-04-11,3627694,0,0,0
2025-04-12,3627694,0,0,0
2025-04-13,3627694,0,0,0
2025-04-14,3657814,0,0,0
2025-04-15,3657814,0,0,0
2025-04-16,3657814,0,0,0
2025-04-17,3522827,0,0,0
2025-04-18,3684081,0,0,0
2025-04-19,3684081,0,0,0
2025-04-20,3364931,0,0,0
2025-04-21,3203677,0,0,0
2025-04-22,3203677,0,0,0
2025-04-23,3187414,0,0,0
2025-04-24,3187414,0,0,0
2025-04-25,3187414,0,0,0
2025-04-26,3187414,0,0,0
2025-04-27,3176464,0,0,0
2025-04-28,3175001,0,0,0
2025-04-29,3175001,0,0,0
2025-04-30,3175001,0,0,0
2025-05-01,4138852,0,0,0
2025-05-02,4138852,0,0,0
2025-05-03,4138852,0,0,0
2025-05-04,3786682,0,0,0
2025-05-05,3786682,0,0,0
2025-05-06,3786911,0,0,0
2025-05-07,2322853,0,0,0
2025-05-08,2322853,0,0,0
2025-05-09,2322853,0,0,0
2025-05-10,2322853,0,0,0
2025-05-11,2322853,0,0,0
2025-05-12,2322853,0,0,0
2025-05-13,2322853,0,0,0
2025-05-14,2325892,0,0,0
2025-05-15,6717918,0,0,0
2025-05-16,8036051,0,0,0
2025-05-17,8037903,0,0,0
2025-05-18,10280358,0,0,0
2025-05-19,10483052,0,0,0
2025-05-20,10663825,0,0,0
2025-05-21,10663825,0,0,0
2025-05-22,10663825,0,0,0
2025-05-23,10663596,0,0,0
2025-05-24,10663596,0,0,0
2025-05-25,8241058,0,0,0
2025-05-26,8241058,0,0,0
2025-05-27,8419113,0,0,0
2025-05-28,8311494,0,0,0
2025-05-29,8241058,0,0,0
2025-05-30,8239245,0,0,0
2025-05-31,7194194,0,0,0
2025-06-01,7192327,0,0,0
2025-06-02,3265893,0,0,0
2025-06-03,3265893,0,0,0
2025-06-04,3265893,0,0,0
