date,tvl,apy,apy_base,apy_reward
2025-02-10,113764,0,0,0
2025-02-11,996800,0,0,0
2025-02-12,1005237,0,0,0
2025-02-13,11348072,0,0,0
2025-02-14,11552079,0,0,0
2025-02-15,11696855,0,0,0
2025-02-16,11568284,0,0,0
2025-02-17,11598522,0,0,0
2025-02-18,11575166,0,0,0
2025-02-19,11588716,0,0,0
2025-02-20,11588331,0,0,0
2025-02-21,11399257,0,0,0
2025-02-22,11410351,0,0,0
2025-02-23,11421323,0,0,0
2025-02-24,11379027,0,0,0
2025-02-25,11423818,0,0,0
2025-02-26,11423777,0,0,0
2025-02-27,11424512,0,0,0
2025-02-28,11424456,0,0,0
2025-03-01,11423600,0,0,0
2025-03-02,11434575,0,0,0
2025-03-03,11423632,0,0,0
2025-03-04,11434605,0,0,0
2025-03-05,11421252,0,0,0
2025-03-06,11432223,0,0,0
2025-03-07,11421252,0,0,0
2025-03-08,11432223,0,0,0
2025-03-09,11429654,0,0,0
2025-03-10,11427151,0,0,0
2025-03-11,11438118,0,0,0
2025-03-12,11461664,0,0,0
2025-03-13,11459354,0,0,0
2025-03-14,11530486,0,0,0
2025-03-15,11530486,0,0,0
2025-03-16,11530486,0,0,0
2025-03-17,11540278,0,0,0
2025-03-18,11529234,0,0,0
2025-03-19,11540288,0,0,0
2025-03-20,11551413,0,0,0
2025-03-21,11540369,0,0,0
2025-03-22,11540369,0,0,0
2025-03-23,11551423,0,0,0
2025-03-24,11551423,0,0,0
2025-03-25,11562477,0,0,0
2025-03-26,11536100,0,0,0
2025-03-27,11525072,0,0,0
2025-03-28,11536100,0,0,0
2025-03-29,11525072,0,0,0
2025-03-30,11524072,0,0,0
2025-03-31,11535100,0,0,0
2025-04-01,11513044,0,0,0
2025-04-02,11535100,0,0,0
2025-04-03,11535100,0,0,0
2025-04-04,11535100,0,0,0
2025-04-05,11546127,0,0,0
2025-04-06,11546382,0,0,0
2025-04-07,11546382,0,0,0
2025-04-08,11535293,0,0,0
2025-04-09,11546321,0,0,0
2025-04-10,11535293,0,0,0
2025-04-11,8188093,0,0,0
2025-04-12,971621,0,0,0
2025-04-13,971621,0,0,0
2025-04-14,971621,0,0,0
2025-04-15,971621,0,0,0
2025-04-16,972559,0,0,0
2025-04-17,971631,0,0,0
2025-04-18,972457,0,0,0
2025-04-19,973385,0,0,0
2025-04-20,972457,0,0,0
2025-04-21,972457,0,0,0
2025-04-22,973385,0,0,0
2025-04-23,973385,0,0,0
2025-04-24,973385,0,0,0
2025-04-25,973385,0,0,0
2025-04-26,973385,0,0,0
2025-04-27,973385,0,0,0
2025-04-28,973385,0,0,0
2025-04-29,974302,0,0,0
2025-04-30,975016,0,0,0
2025-05-01,974916,0,0,0
2025-05-02,974916,0,0,0
2025-05-03,976783,0,0,0
2025-05-04,976784,0,0,0
2025-05-05,976915,0,0,0
2025-05-06,1002304,0,0,0
2025-05-07,1003259,0,0,0
2025-05-08,1027904,0,0,0
2025-05-09,1027904,0,0,0
2025-05-10,1037191,0,0,0
2025-05-11,1037190,0,0,0
2025-05-12,1001776,0,0,0
2025-05-13,1001776,0,0,0
2025-05-14,1002253,0,0,0
2025-05-15,1002253,0,0,0
2025-05-16,936609,0,0,0
2025-05-17,910080,0,0,0
2025-05-18,910080,0,0,0
2025-05-19,909949,0,0,0
2025-05-20,909949,0,0,0
2025-05-21,909949,0,0,0
2025-05-22,909471,0,0,0
2025-05-23,909471,0,0,0
2025-05-24,909471,0,0,0
2025-05-25,910336,0,0,0
2025-05-26,910336,0,0,0
2025-05-27,910344,0,0,0
2025-05-28,910344,0,0,0
2025-05-29,910344,0,0,0
2025-05-30,910344,0,0,0
2025-05-31,910344,0,0,0
2025-06-01,911228,0,0,0
2025-06-02,911218,0,0,0
2025-06-03,911281,0,0,0
2025-06-04,910416,0,0,0
