date,tvl,apy,apy_base,apy_reward
2024-06-06,12751258,11.73083,11.73083,0
2024-06-07,12801188,5.90578,5.90578,0
2024-06-08,12771551,7.08278,7.08278,0
2024-06-09,12775687,8.18893,8.18893,0
2024-06-10,12981371,11.63102,11.63102,0
2024-06-11,13732478,8.59134,8.59134,0
2024-06-12,13582522,8.28055,8.28055,0
2024-06-13,13077844,9.03374,9.03374,0
2024-06-14,13559015,7.24621,7.24621,0
2024-06-15,13535896,7.4168,7.4168,0
2024-06-16,13574801,6.8087,6.8087,0
2024-06-17,13602181,6.53117,6.53117,0
2024-06-18,13573814,6.10532,6.10532,0
2024-06-19,13567037,8.19848,8.19848,0
2024-06-20,13550251,7.87649,7.87649,0
2024-06-21,13200836,8.95569,8.95569,0
2024-06-22,13201318,5.72383,5.72383,0
2024-06-23,13009037,4.73745,4.73745,0
2024-06-24,12980620,17.43763,17.43763,0
2024-06-25,12976821,13.76349,13.76349,0
2024-06-26,10899923,8.61838,8.61838,0
2024-06-27,10782148,4.3244,4.3244,0
2024-06-28,9341046,4.45409,4.45409,0
2024-06-29,9384356,6.67117,6.67117,0
2024-06-30,9361475,9.37569,9.37569,0
2024-07-01,9361604,3.30451,3.30451,0
2024-07-02,9288704,3.41318,3.41318,0
2024-07-03,9143130,3.46285,3.46285,0
2024-07-04,9059939,3.19163,3.19163,0
2024-07-05,9074157,3.24258,3.24258,0
2024-07-06,8963342,3.08913,3.08913,0
2024-07-07,9044312,3.0956,3.0956,0
2024-07-08,9013469,3.20529,3.20529,0
2024-07-09,9006749,3.26324,3.26324,0
2024-07-10,9013634,3.33073,3.33073,0
2024-07-11,8807066,3.40767,3.40767,0
2024-07-12,8747809,3.42629,3.42629,0
2024-07-13,4338663,4.93831,4.93831,0
2024-07-14,4334361,5.29567,5.29567,0
2024-07-15,4332857,5.23299,5.23299,0
2024-07-16,4372722,5.32999,5.32999,0
2024-07-17,4328235,5.46161,5.46161,0
2024-07-18,4327614,5.46651,5.46651,0
2024-07-19,4297915,5.48956,5.48956,0
2024-07-20,4341082,5.49581,5.49581,0
2024-07-21,4320053,5.58082,5.58082,0
2024-07-22,4320128,5.62097,5.62097,0
2024-07-23,4478303,18.19066,18.19066,0
2024-07-24,6456360,11.33734,11.33734,0
2024-07-25,5959743,4.67368,4.67368,0
2024-07-26,4475196,13.24735,13.24735,0
2024-07-27,4471589,9.13177,9.13177,0
2024-07-28,4513536,8.53137,8.53137,0
2024-07-29,4514861,13.92235,13.92235,0
2024-07-30,4378607,14.96618,14.96618,0
2024-07-31,4378290,11.41178,11.41178,0
2024-08-01,4339344,7.03185,7.03185,0
2024-08-02,4017120,7.48158,7.48158,0
2024-08-03,3922431,9.44252,9.44252,0
2024-08-04,3694708,3.96647,3.96647,0
2024-08-05,3078310,7.65555,7.65555,0
2024-08-06,3078599,4.11912,4.11912,0
2024-08-07,3079476,4.10072,4.10072,0
2024-08-08,3079540,4.1261,4.1261,0
2024-08-09,3664449,4.15068,4.15068,0
2024-08-10,3663940,4.5571,4.5571,0
2024-08-11,3664324,6.44205,6.44205,0
2024-08-12,4069313,4.76365,4.76365,0
2024-08-13,4069393,3.99529,3.99529,0
2024-08-14,4069602,11.70148,11.70148,0
2024-08-15,4069782,9.65351,9.65351,0
2024-08-16,4243275,9.69277,9.69277,0
2024-08-17,4243421,10.62493,10.62493,0
2024-08-18,4243642,8.17183,8.17183,0
2024-08-19,4175194,9.20663,9.20663,0
2024-08-20,4173221,9.84753,9.84753,0
2024-08-21,4174097,9.03956,9.03956,0
2024-08-22,3853892,9.64497,9.64497,0
2024-08-23,3745822,6.07404,6.07404,0
2024-08-24,3747002,10.06735,10.06735,0
2024-08-25,3747141,9.19309,9.19309,0
2024-08-26,3849825,9.52636,9.52636,0
2024-08-27,3851110,8.00879,8.00879,0
2024-08-28,3851230,8.24946,8.24946,0
2024-08-29,3851330,6.06241,6.06241,0
2024-08-30,3997299,6.29564,6.29564,0
2024-08-31,3997410,4.95735,4.95735,0
2024-09-01,3997489,5.19893,5.19893,0
2024-09-02,3714566,6.48461,6.48461,0
2024-09-03,3714660,6.92227,6.92227,0
2024-09-04,3714739,5.92493,5.92493,0
2024-09-05,3714840,8.77142,8.77142,0
2024-09-06,3910710,3.87181,3.87181,0
2024-09-07,3910766,3.87161,3.87161,0
2024-09-08,3910826,3.87924,3.87924,0
2024-09-09,3641251,3.91425,3.91425,0
2024-09-10,3641304,3.30329,3.30329,0
2024-09-11,3641362,7.02475,7.02475,0
2024-09-12,3643524,6.75706,6.75706,0
2024-09-13,3644374,10.12744,10.12744,0
2024-09-14,3644508,10.13667,10.13667,0
2024-09-15,3644679,10.76414,10.76414,0
2024-09-16,3644827,10.24812,10.24812,0
2024-09-17,3644965,9.71032,9.71032,0
2024-09-18,3645095,8.31054,8.31054,0
2024-09-19,3645241,16.92696,16.92696,0
2024-09-20,3645435,15.53011,15.53011,0
2024-09-21,3645634,14.63237,14.63237,0
2024-09-22,3645844,13.188,13.188,0
2024-09-23,3655044,10.95626,10.95626,0
2024-09-24,3655226,11.22974,11.22974,0
2024-09-25,3656829,10.40065,10.40065,0
2024-09-26,3656986,10.20178,10.20178,0
2024-09-27,3659107,9.6339,9.6339,0
2024-09-28,3507978,10.17402,10.17402,0
2024-09-29,3508082,8.68858,8.68858,0
2024-09-30,3422622,8.65409,8.65409,0
2024-10-01,3423574,6.71542,6.71542,0
2024-10-02,3368954,6.04059,6.04059,0
2024-10-03,3369019,8.39318,8.39318,0
2024-10-04,3251565,8.93557,8.93557,0
2024-10-05,3252173,5.17748,5.17748,0
2024-10-06,3252206,5.11772,5.11772,0
2024-10-07,3252247,4.77987,4.77987,0
2024-10-08,3252299,4.0977,4.0977,0
2024-10-09,3151279,3.16151,3.16151,0
2024-10-10,3151317,5.93494,5.93494,0
2024-10-11,2977052,9.03897,9.03897,0
2024-10-12,2977110,9.4681,9.4681,0
2024-10-13,2977157,10.56448,10.56448,0
2024-10-14,2975082,16.46445,16.46445,0
2024-10-15,2975178,16.11129,16.11129,0
2024-10-16,2975272,16.15492,16.15492,0
2024-10-17,2975346,17.35772,17.35772,0
2024-10-18,2975466,17.48966,17.48966,0
2024-10-19,2981794,17.50832,17.50832,0
2024-10-20,2981864,17.81765,17.81765,0
2024-10-21,2981995,17.86905,17.86905,0
2024-10-22,2982102,17.99529,17.99529,0
2024-10-23,2982195,13.41962,13.41962,0
2024-10-24,2838145,28.14526,28.14526,0
2024-10-25,2838253,21.30029,21.30029,0
2024-10-26,2838318,22.5332,22.5332,0
2024-10-27,2838420,19.17454,19.17454,0
2024-10-28,2838505,21.8322,21.8322,0
2024-10-29,2845159,7.03965,7.03965,0
2024-10-30,2845190,7.16298,7.16298,0
2024-10-31,2845933,6.19415,6.19415,0
2024-11-01,2846578,6.95802,6.95802,0
2024-11-02,2846610,7.0898,7.0898,0
2024-11-03,2846667,7.19656,7.19656,0
2024-11-04,2846725,9.34815,9.34815,0
2024-11-05,2846785,10.60762,10.60762,0
2024-11-06,2847065,92.14702,92.14702,0
2024-11-07,2847520,84.48688,84.48688,0
2024-11-08,2847861,59.17484,59.17484,0
2024-11-09,2848117,38.06328,38.06328,0
2024-11-10,2848330,31.21251,31.21251,0
2024-11-11,2812951,58.81447,58.81447,0
2024-11-12,2813227,54.58464,54.58464,0
2024-11-13,2813526,53.92555,53.92555,0
2024-11-14,2813870,62.68344,62.68344,0
2024-11-15,2814178,62.3906,62.3906,0
2024-11-16,2814471,57.52983,57.52983,0
2024-11-17,2831094,32.64487,32.64487,0
2024-11-18,2833302,44.05772,44.05772,0
2024-11-19,2835241,36.9103,36.9103,0
2024-11-20,2835453,33.77799,33.77799,0
2024-11-21,2835628,14.66499,14.66499,0
2024-11-22,2842141,32.67133,32.67133,0
2024-11-23,2842291,19.62059,19.62059,0
2024-11-24,2834806,26.04457,26.04457,0
2024-11-25,2834935,2.714,2.714,0
2024-11-26,2835902,2.85108,2.85108,0
2024-11-27,2835922,4.24266,4.24266,0
2024-11-28,2836009,20.31181,20.31181,0
2024-11-29,2836963,17.4306,17.4306,0
2024-11-30,2837046,17.15085,17.15085,0
2024-12-01,2837180,24.88037,24.88037,0
2024-12-02,2837279,15.29026,15.29026,0
2024-12-03,2837395,35.74618,35.74618,0
2024-12-04,2837531,29.06145,29.06145,0
2024-12-05,2837699,26.8345,26.8345,0
2024-12-06,2837826,24.01175,24.01175,0
2024-12-07,2837922,23.97829,23.97829,0
2024-12-08,2838048,16.85169,16.85169,0
2024-12-09,2850774,6.7844,6.7844,0
2024-12-10,2850824,6.46077,6.46077,0
2024-12-11,2850875,12.41056,12.41056,0
2024-12-12,2850935,15.00058,15.00058,0
2024-12-13,2851030,22.0377,22.0377,0
2024-12-14,2851148,19.80155,19.80155,0
2024-12-15,2851248,17.48661,17.48661,0
2024-12-16,2735817,20.63613,20.63613,0
2024-12-17,2735932,19.18438,19.18438,0
2024-12-18,2737888,13.48555,13.48555,0
2024-12-19,2737955,6.98981,6.98981,0
2024-12-20,2740115,20.96026,20.96026,0
2024-12-21,2739988,21.47371,21.47371,0
2024-12-22,2740084,20.5808,20.5808,0
2024-12-23,2740189,19.00458,19.00458,0
2024-12-24,2744511,23.28566,23.28566,0
2024-12-25,2744602,23.36505,23.36505,0
2024-12-26,2744757,31.39362,31.39362,0
2024-12-27,2748687,35.26014,35.26014,0
2024-12-28,2750930,33.69282,33.69282,0
2024-12-29,2751097,33.95597,33.95597,0
2024-12-30,2754751,33.93756,33.93756,0
2024-12-31,2756040,27.99135,27.99135,0
2025-01-01,2756167,27.02735,27.02735,0
2025-01-02,2756302,27.75409,27.75409,0
2025-01-03,2756470,34.77091,34.77091,0
2025-01-04,2756735,107.01223,107.01223,0
