date,tvl,apy,apy_base,apy_reward
2025-02-22,35620,0.00283,0.00283,0.0
2025-02-23,38752,0.00121,0.00121,0.0
2025-02-24,540871,15.79012,14.38314,1.40698
2025-02-25,652226,14.10118,13.41858,0.6826
2025-02-26,801713,12.08109,10.84841,1.23268
2025-02-27,978152,7.91122,5.83979,2.07143
2025-02-28,1044513,15.40137,14.2818,1.11957
2025-03-01,1202091,18.33239,17.60978,0.72262
2025-03-02,1966533,8.36907,6.29284,2.07623
2025-03-03,1765133,12.43858,11.41303,1.02555
2025-03-04,2092378,24.11871,9.92679,14.19193
2025-03-05,5059566,5.98044,4.24456,1.73588
2025-03-06,5168898,6.53025,5.10179,1.42846
2025-03-07,3447129,7.79907,6.58796,1.21111
2025-03-08,3457555,7.94532,6.7291,1.21622
2025-03-09,4093199,7.51119,6.57491,0.93628
2025-03-10,4455540,6.9925,6.1384,0.8541
2025-03-11,5494257,6.29961,5.65998,0.63963
2025-03-12,5094957,9.27161,8.90169,0.36992
2025-03-13,4951250,7.34694,6.76258,0.58436
2025-03-14,4753610,7.22666,6.59375,0.63291
2025-03-15,4753610,7.22666,6.59375,0.63291
2025-03-16,4753610,7.22666,6.59375,0.63291
2025-03-17,4753612,7.22657,6.59369,0.63288
2025-03-18,5966077,7.66035,7.08493,0.57542
2025-03-19,5413938,10.88643,10.59481,0.29162
2025-03-20,5889934,7.24591,6.56524,0.68067
2025-03-21,3334279,7.56699,6.93894,0.62805
2025-03-22,4552416,6.15383,5.55388,0.59995
2025-03-23,3841748,7.2233,7.2233,0.0
2025-03-24,4589184,7.51377,6.78967,0.7241
2025-03-25,5035211,7.79321,7.05405,0.73916
2025-03-26,3765952,7.35617,6.5429,0.81327
2025-03-27,3791286,7.25021,6.29887,0.95134
2025-03-28,3525451,10.54545,10.18755,0.3579
2025-03-29,3443094,30.99268,30.99268,0.0
2025-03-30,4210825,6.71794,6.09205,0.62589
2025-03-31,4556356,6.22781,5.58244,0.64537
2025-04-01,6714286,6.22688,5.54658,0.6803
2025-04-02,6620498,6.94906,6.42578,0.52328
2025-04-03,4375829,6.56474,6.06243,0.5023
2025-04-04,8363638,5.63693,4.98968,0.64725
2025-04-05,4673359,6.28839,6.28839,0.0
2025-04-06,4196025,6.72786,6.72786,0.0
2025-04-07,3996415,6.00539,6.00539,0.0
2025-04-08,6185252,5.9353,5.54766,0.38764
2025-04-09,7184044,5.59211,5.04485,0.54726
2025-04-10,7207672,7.52884,7.25999,0.26885
2025-04-11,7078961,6.44757,6.05044,0.39714
2025-04-12,6834600,6.50321,6.06954,0.43367
2025-04-13,6847893,6.27373,5.90999,0.36375
2025-04-14,7288824,6.64086,6.3065,0.33436
2025-04-15,8008426,6.10443,5.81349,0.29093
2025-04-16,7240318,6.50954,6.2819,0.22764
2025-04-17,6824812,4.7272,4.23797,0.48922
2025-04-18,5798249,4.57255,4.37827,0.19427
2025-04-19,5755198,4.49958,4.27093,0.22864
2025-04-20,5696629,4.94917,4.7897,0.15947
2025-04-21,5242055,4.81058,4.63295,0.17763
2025-04-22,5149316,5.35047,5.17197,0.1785
2025-04-23,2863447,6.29663,6.14069,0.15594
2025-04-24,2447091,4.53575,4.15841,0.37734
2025-04-25,1992692,4.81886,4.43777,0.38109
2025-04-26,1414447,4.52443,4.03763,0.4868
2025-04-27,1404740,6.18454,5.93053,0.25401
2025-04-28,1171725,4.4787,4.05355,0.42515
2025-04-29,1139705,3.47146,2.92305,0.54841
2025-04-30,1060895,3.69292,3.17845,0.51447
2025-05-01,1023411,2.86639,2.07043,0.79595
2025-05-02,948492,2.42354,1.58923,0.83431
2025-05-03,930695,2.33537,1.54174,0.79363
2025-05-04,826200,2.50034,1.71246,0.78787
2025-05-05,761987,2.71045,1.93432,0.77613
2025-05-06,449449,7.47558,7.10816,0.36743
2025-05-07,669581,4.73023,4.09094,0.63929
2025-05-08,594366,4.02655,3.07048,0.95607
2025-05-09,519300,4.55386,3.66105,0.89281
2025-05-10,391807,5.50542,4.55665,0.94877
2025-05-11,411579,3.30878,2.18043,1.12835
2025-05-12,374352,4.484,3.51054,0.97346
2025-05-13,366146,4.25397,3.11066,1.14331
2025-05-14,363751,4.7467,3.728,1.0187
2025-05-15,358876,6.26176,5.41773,0.84403
2025-05-16,360178,6.42172,5.61224,0.80948
2025-05-17,453203,4.30146,3.33586,0.96561
2025-05-19,577857,5.21419,4.27211,0.94208
2025-05-20,597337,7.11376,6.35489,0.75887
2025-05-21,577932,6.77267,6.02048,0.75218
2025-05-22,585815,6.13654,5.24737,0.88917
2025-05-23,694124,4.30183,3.32804,0.97379
2025-05-24,601905,5.08676,4.23101,0.85575
2025-05-25,548563,5.78664,5.06889,0.71775
2025-05-26,579121,7.03174,6.28896,0.74278
2025-05-27,682393,4.08634,3.14961,0.93673
2025-05-28,557326,5.3887,4.66661,0.72209
2025-05-29,500992,5.32494,4.59659,0.72835
2025-05-30,618004,4.33198,3.57675,0.75523
2025-05-31,427489,5.06194,4.39086,0.67108
2025-06-01,595427,3.86483,3.03589,0.82893
2025-06-02,429057,6.09051,5.53007,0.56044
2025-06-03,419905,6.54459,5.98704,0.55755
2025-06-04,420767,5.66105,5.0085,0.65254
