date,tvl,apy,apy_base,apy_reward
2025-03-19,103914,0.0,0.0,0.0
2025-03-20,308762,2.73274,2.44534,0.2874
2025-03-21,410089,10.53664,10.53664,0.0
2025-03-22,426925,59.3982,59.3982,0.0
2025-03-23,588169,4.11453,3.60543,0.5091
2025-03-24,826940,5.56042,4.89419,0.66623
2025-03-25,579501,6.42692,5.81558,0.61134
2025-03-26,770019,9.0235,8.68114,0.34236
2025-03-27,813148,8.95746,8.50504,0.45243
2025-03-28,1380029,5.57597,5.10668,0.4693
2025-03-29,1430934,7.62007,7.29009,0.32998
2025-03-30,1372960,8.48766,8.29813,0.18953
2025-03-31,1671679,6.24337,5.82657,0.4168
2025-04-01,1463801,9.4452,9.36548,0.07972
2025-04-02,1522513,9.90405,9.90405,0.0
2025-04-03,1918247,6.81528,6.55621,0.25907
2025-04-04,2174362,6.40944,6.07108,0.33836
2025-04-05,2301413,5.03976,5.03976,0.0
2025-04-06,2252441,6.02293,6.02293,0.0
2025-04-07,2191098,6.61555,6.61555,0.0
2025-04-08,2392567,5.80017,5.58308,0.21709
2025-04-09,3375099,6.49198,6.2365,0.25548
2025-04-10,3307493,6.95764,6.8195,0.13814
2025-04-11,3481054,6.13597,5.8991,0.23687
2025-04-12,3482869,6.25125,5.99089,0.26036
2025-04-13,3427326,6.74642,6.62191,0.12451
2025-04-14,3497413,7.20003,7.11575,0.08428
2025-04-15,4699409,4.85487,4.59432,0.26055
2025-04-16,4675041,5.84964,5.71573,0.13391
2025-04-17,4675594,6.20817,6.20817,0.0
2025-04-18,4619398,6.04391,6.04391,0.0
2025-04-19,4457773,6.16977,6.16977,0.0
2025-04-20,4562391,6.69134,6.69134,0.0
2025-04-21,4566949,6.32029,6.32029,0.0
2025-04-22,4016603,27.6739,27.6739,0.0
2025-04-23,4345482,6.48298,6.48298,0.0
2025-04-24,3891758,16.51001,16.51001,0.0
2025-04-25,3894725,10.61602,10.61602,0.0
2025-04-26,4166354,6.86346,6.81043,0.05303
2025-04-27,4069793,7.48483,7.48483,0.0
2025-04-28,4039806,7.87667,7.87667,0.0
2025-04-29,4043457,12.25979,12.25979,0.0
2025-04-30,4046858,11.39276,11.39276,0.0
2025-05-01,4024075,12.81106,12.81106,0.0
2025-05-02,3912230,7.98591,7.9637,0.02221
2025-05-03,4075867,6.80464,6.69189,0.11275
2025-05-04,4021714,6.9119,6.8007,0.1112
2025-05-05,4004596,6.90583,6.78449,0.12133
2025-05-06,3827907,7.57848,7.57848,0.0
2025-05-07,3930798,7.10749,7.10749,0.0
2025-05-08,3829029,7.65469,7.65469,0.0
2025-05-09,3725958,8.1391,8.1391,0.0
2025-05-10,3473820,10.98194,10.98194,0.0
2025-05-11,3470678,9.18806,9.18806,0.0
2025-05-12,3309138,21.87469,21.87469,0.0
2025-05-13,3324100,40.76597,40.76597,0.0
2025-05-14,3741821,7.68283,7.68283,0.0
2025-05-15,3602162,7.90443,7.90443,0.0
2025-05-16,3339704,8.94437,8.94437,0.0
2025-05-17,3339835,8.98088,8.98088,0.0
2025-05-19,3241842,7.67638,7.67638,0.0
2025-05-20,3357392,7.27689,7.27689,0.0
2025-05-21,2561471,37.11201,37.11201,0.0
2025-05-22,3136157,7.60388,7.60388,0.0
2025-05-23,3047568,8.14138,8.14138,0.0
2025-05-24,2933991,8.66131,8.66131,0.0
2025-05-25,2934234,8.41018,8.41018,0.0
2025-05-26,2933164,8.4281,8.4281,0.0
2025-05-27,2912359,8.5587,8.5587,0.0
2025-05-28,2812467,8.64197,8.64197,0.0
2025-05-29,2795463,8.39086,8.39086,0.0
2025-05-30,2796115,8.46286,8.46286,0.0
2025-05-31,2752952,6.85441,6.85441,0.0
2025-06-01,2706503,7.15764,7.15764,0.0
2025-06-02,2625350,6.87842,6.87842,0.0
2025-06-03,2579194,6.92348,6.92348,0.0
2025-06-04,2580206,6.8288,6.8288,0.0
