date,tvl,apy,apy_base,apy_reward
2025-03-23,2002,10.57083,10.57083,0.0
2025-03-26,22148,10.11677,8.64921,1.46757
2025-03-27,2001,7.85794,6.27604,1.5819
2025-03-28,2001,10.78223,9.40553,1.3767
2025-03-29,2002,66.36797,65.08285,1.28512
2025-03-30,2002,6.30911,5.07402,1.2351
2025-03-31,31698,8.70061,7.497,1.20362
2025-04-01,31699,7.92372,6.68816,1.23555
2025-04-02,31707,9.0746,7.90874,1.16586
2025-04-03,31715,8.60887,7.49964,1.10923
2025-04-04,31719,8.49078,7.34419,1.14659
2025-04-05,31725,6.54918,6.54918,0.0
2025-04-06,31733,7.0403,7.0403,0.0
2025-04-07,31738,2.4723,2.4723,0.0
2025-04-08,31745,8.47283,7.53117,0.94166
2025-04-09,31750,6.72209,5.65268,1.06941
2025-04-10,31755,6.41151,5.41612,0.99539
2025-04-11,31761,7.07097,6.06849,1.00248
2025-04-12,31766,6.95922,5.91862,1.0406
2025-04-13,31770,7.08779,6.13282,0.95497
2025-04-14,31776,7.02376,6.05874,0.96502
2025-04-15,31783,8.44842,7.57616,0.87226
2025-04-16,31786,38.47155,3.79739,34.67417
2025-04-17,31788,23.78332,5.63765,18.14567
2025-04-18,31795,20.78401,4.84731,15.9367
2025-04-19,31797,20.25877,4.48153,15.77724
2025-04-20,31802,22.33664,6.44513,15.89151
2025-04-21,31808,18.14814,3.65782,14.49031
2025-04-22,31811,19.12604,4.39489,14.73115
2025-04-23,31813,24.48396,2.77777,21.70619
2025-04-24,31819,19.92146,4.72613,15.19534
2025-04-25,31824,14.65852,2.71523,11.94329
2025-04-26,31826,17.93088,2.42019,15.51069
2025-04-27,31827,14.46945,2.04603,12.42342
2025-04-28,31833,15.39729,1.71273,13.68456
2025-04-29,31830,19.79143,2.21827,17.57316
2025-04-30,31832,21.05001,2.50501,18.545
2025-05-01,26836,28.96326,2.8737,26.08956
2025-05-02,26837,24.5505,1.78224,22.76826
2025-05-03,26838,24.41755,1.58755,22.83
2025-05-04,26839,24.05398,1.80443,22.24955
2025-05-05,31891,23.18323,1.67482,21.50841
2025-05-06,31892,6.99628,5.91741,1.07887
2025-05-07,31899,7.00889,5.96026,1.04864
2025-05-08,31906,7.92274,6.65958,1.26316
2025-05-09,33909,6.85067,5.59152,1.25915
2025-05-10,33913,7.05885,5.65398,1.40487
2025-05-11,33919,6.90698,5.56047,1.34651
2025-05-12,33925,6.71417,5.38943,1.32474
2025-05-13,33931,7.02922,5.58053,1.44869
2025-05-14,33934,6.95354,5.53162,1.42192
2025-05-19,34123,7.11954,5.75015,1.36939
2025-05-20,34129,7.1083,5.71342,1.39488
2025-05-21,34132,6.97243,5.6178,1.35463
2025-05-22,34137,6.95002,5.53577,1.41426
2025-05-23,34142,6.79995,5.49335,1.3066
2025-05-24,34150,7.31569,6.0368,1.2789
2025-05-25,34154,6.36744,5.14252,1.22491
2025-05-26,34159,6.54531,5.31493,1.23038
2025-05-27,34166,7.30961,6.05815,1.25146
2025-05-28,34180,7.24607,6.05713,1.18894
2025-05-29,34187,6.65733,5.46932,1.18801
2025-05-30,34196,7.29858,6.18548,1.11309
2025-05-31,34202,6.82057,5.71023,1.11034
2025-06-01,34209,6.64132,5.50872,1.1326
2025-06-02,34210,6.41822,5.30434,1.11388
2025-06-03,34216,7.14098,5.98439,1.15659
2025-06-04,34222,7.09548,5.94209,1.15339
