date,tvl,apy,apy_base,apy_reward
2024-06-06,2697651,15.12459,15.12459,0.0
2024-06-07,2627213,8.35319,8.35319,0.0
2024-06-08,2628222,9.01458,9.01458,0.0
2024-06-09,2629120,9.84307,9.84307,0.0
2024-06-10,2629420,7.84136,7.84136,0.0
2024-06-11,2626915,7.62243,7.62243,0.0
2024-06-12,2629759,8.06892,8.06892,0.0
2024-06-13,2631107,10.1329,10.1329,0.0
2024-06-14,2632614,8.19381,8.19381,0.0
2024-06-15,2481411,8.08465,8.08465,0.0
2024-06-16,2480669,7.42129,7.42129,0.0
2024-06-17,2480994,7.297,7.297,0.0
2024-06-18,2481593,7.29011,7.29011,0.0
2024-06-19,2482671,7.96818,7.96818,0.0
2024-06-20,2482566,8.01993,8.01993,0.0
2024-06-21,2562560,7.42835,7.42835,0.0
2024-06-22,2558122,7.51334,7.51334,0.0
2024-06-23,2560148,6.94855,6.94855,0.0
2024-06-24,2560684,7.09482,7.09482,0.0
2024-06-25,2549834,7.36027,7.36027,0.0
2024-06-26,2549026,6.88294,6.88294,0.0
2024-06-27,2548893,6.66635,6.66635,0.0
2024-06-28,2549411,6.43981,6.43981,0.0
2024-06-29,2549975,7.54463,7.54463,0.0
2024-06-30,2550447,7.10389,7.10389,0.0
2024-07-01,2552355,7.54015,7.54015,0.0
2024-07-02,2550675,7.26639,7.26639,0.0
2024-07-03,2552155,7.17487,7.17487,0.0
2024-07-04,2556758,7.56728,7.56728,0.0
2024-07-05,2541865,6.40406,6.40406,0.0
2024-07-06,2540497,6.36204,6.36204,0.0
2024-07-07,2545336,6.20542,6.20542,0.0
2024-07-08,2543872,6.16882,6.16882,0.0
2024-07-09,2538232,6.03019,6.03019,0.0
2024-07-10,2539278,5.67802,5.67802,0.0
2024-07-11,2538596,5.50925,5.50925,0.0
2024-07-12,2540611,5.01291,5.01291,0.0
2024-07-13,2404872,4.87261,4.87261,0.0
2024-07-14,2405264,4.87471,4.87471,0.0
2024-07-15,2405497,4.83419,4.83419,0.0
2024-07-16,2405604,5.20798,5.20798,0.0
2024-07-17,2406007,5.36593,5.36593,0.0
2024-07-18,2396738,5.71806,5.71806,0.0
2024-07-19,2395631,5.19542,5.19542,0.0
2024-07-20,2396565,5.01354,5.01354,0.0
2024-07-21,2397590,5.38372,5.38372,0.0
2024-07-22,2398032,5.76063,5.76063,0.0
2024-07-23,2397785,5.23672,5.23672,0.0
