date,tvl,apy,apy_base,apy_reward
2025-04-30,26113,10.77209,10.77209,0.0
2025-05-01,26136,12.76312,12.76312,0.0
2025-05-02,26162,8.98996,8.98996,0.0
2025-05-03,26166,6.51161,6.36633,0.14528
2025-05-04,26168,6.72146,6.58908,0.13238
2025-05-05,26163,6.69642,6.5518,0.14462
2025-05-06,26183,7.47805,7.47805,0.0
2025-05-07,26192,7.0589,7.0589,0.0
2025-05-08,26195,7.47292,7.47292,0.0
2025-05-09,26201,7.85735,7.85735,0.0
2025-05-10,26199,10.22046,10.22046,0.0
2025-05-11,26209,8.76802,8.76802,0.0
2025-05-12,26215,21.61774,21.61774,0.0
2025-05-13,26239,36.52272,36.52272,0.0
2025-05-14,26246,7.51389,7.51389,0.0
2025-05-15,26250,7.68427,7.68427,0.0
2025-05-16,26272,8.35711,8.35711,0.0
2025-05-17,26273,8.38337,8.38337,0.0
2025-05-19,26276,7.89019,7.89019,0.0
2025-05-20,26279,7.27396,7.27396,0.0
2025-05-21,26302,33.77926,33.77926,0.0
2025-05-22,26313,7.5366,7.5366,0.0
2025-05-23,26361,7.99592,7.99592,0.0
2025-05-24,26329,8.36844,8.36844,0.0
2025-05-25,26328,8.2899,8.2899,0.0
2025-05-26,26336,8.27564,8.27564,0.0
2025-05-27,26337,8.53199,8.53199,0.0
2025-05-28,26352,8.23209,8.23209,0.0
2025-05-29,26334,7.4557,7.4557,0.0
2025-05-30,26342,9.36059,9.36059,0.0
2025-05-31,26364,6.72176,6.72176,0.0
2025-06-01,26390,7.13985,7.13985,0.0
2025-06-02,26390,6.9693,6.9693,0.0
2025-06-03,26401,6.98882,6.98882,0.0
2025-06-04,26411,6.73789,6.73789,0.0
