date,tvl,apy,apy_base,apy_reward
2025-02-25,1576,26.55157,23.77943,2.77214
2025-02-26,2671,31.01033,31.01033,0.0
2025-02-27,2673,16.7719,15.82974,0.94216
2025-02-28,2662,11.89621,10.76658,1.12962
2025-03-01,2667,11.9003,10.88192,1.01838
2025-03-02,2669,11.92029,10.73943,1.18086
2025-03-03,12268,126.52047,126.52047,0.0
2025-03-04,23862,79.30907,79.30907,0.0
2025-03-05,23876,134.57504,134.57504,0.0
2025-03-06,23892,181.05739,181.05739,0.0
2025-03-07,23958,176.05513,135.86037,40.19476
2025-03-08,23949,12.0572,11.62492,0.43228
2025-03-09,23974,11.90093,11.6438,0.25713
2025-03-10,33453,19.4565,19.4565,0.0
2025-03-11,33424,19.00705,19.00705,0.0
2025-03-12,33477,18.74972,18.74972,0.0
2025-03-13,33490,19.35613,19.35613,0.0
2025-03-14,34582,11.38256,11.07263,0.30992
2025-03-15,34582,11.38256,11.07263,0.30992
2025-03-16,34582,11.38256,11.07263,0.30992
2025-03-17,34582,11.38389,11.07432,0.30957
2025-03-18,34605,9.54257,9.12486,0.41771
2025-03-19,34576,10.15661,9.72181,0.4348
2025-03-20,32105,23.2139,23.2139,0.0
2025-03-21,32142,26.93155,26.93155,0.0
2025-03-22,32142,33.56516,33.56516,0.0
2025-03-23,32146,8.85611,8.26559,0.59053
2025-03-24,32141,7.90033,7.19494,0.70539
2025-03-25,28946,7.62029,6.83843,0.78186
2025-03-26,23009,1.80186,0.62957,1.17229
2025-03-27,23025,7.01873,6.08088,0.93785
2025-03-28,11888,7.85801,7.15128,0.70673
2025-03-29,11866,6.76966,6.07492,0.69475
2025-03-30,11890,7.37556,6.76189,0.61367
2025-03-31,11885,6.51126,5.87227,0.63899
2025-04-01,32480,32.10458,32.10458,0.0
2025-04-02,38473,15.83808,15.83808,0.0
2025-04-03,38381,6.81312,6.7339,0.07921
2025-04-04,38427,8.04639,8.04639,0.0
2025-04-05,39592,383.35653,383.35653,0.0
2025-04-06,39519,392.25754,392.25754,0.0
2025-04-07,39622,395.11845,395.11845,0.0
2025-04-08,39966,402.73933,402.73933,0.0
2025-04-09,39993,147.34339,147.34339,0.0
2025-04-10,42011,156.66059,156.66059,0.0
2025-04-11,42045,138.6007,138.6007,0.0
2025-04-12,42068,19.05165,19.05165,0.0
2025-04-13,42096,38.74292,38.74292,0.0
2025-04-14,41117,11.35623,11.35623,0.0
2025-04-15,41130,12.34509,12.34509,0.0
2025-04-16,41148,18.70996,18.70996,0.0
2025-04-17,44856,25.12337,25.12337,0.0
2025-04-18,43478,11.56165,11.56165,0.0
2025-04-19,43494,18.70965,18.70965,0.0
2025-04-20,43507,11.25224,11.25224,0.0
2025-04-21,43517,13.47661,13.47661,0.0
2025-04-22,30618,15.50799,15.50799,0.0
2025-04-23,5031,72.61064,72.61064,0.0
2025-04-24,5036,41.75603,41.75603,0.0
2025-04-25,5040,43.60743,43.60743,0.0
2025-04-26,5046,33.5504,33.5504,0.0
2025-04-27,5050,160.18925,160.18925,0.0
2025-04-28,5065,197.20311,197.20311,0.0
2025-04-29,5079,83.48599,83.48599,0.0
2025-04-30,5087,69.65856,69.65856,0.0
2025-05-01,5094,27.37283,27.37283,0.0
2025-05-02,5098,26.88371,26.88371,0.0
2025-05-03,5101,26.40404,26.40404,0.0
2025-05-04,5108,47.33939,47.33939,0.0
2025-05-05,5111,25.12402,25.12402,0.0
2025-05-06,5114,17.16759,17.16759,0.0
2025-05-07,5116,16.45239,16.45239,0.0
2025-05-08,5118,17.09318,17.09318,0.0
2025-05-09,5123,45.84378,45.84378,0.0
2025-05-10,5128,55.52017,55.52017,0.0
2025-05-11,39474,13.05775,13.05775,0.0
2025-05-12,57192,27.73372,27.73372,0.0
2025-05-13,57220,13.30991,13.30991,0.0
2025-05-14,57237,14.97032,14.97032,0.0
2025-05-15,57254,14.26457,14.26457,0.0
2025-05-16,57279,16.1669,16.1669,0.0
2025-05-17,57283,15.26616,15.26616,0.0
2025-05-19,57331,20.51197,20.51197,0.0
2025-05-20,57350,11.12455,11.12455,0.0
2025-05-21,57364,8.45758,8.34084,0.11675
2025-05-22,57374,24.01138,23.93882,0.07257
2025-05-23,57397,13.89301,13.89301,0.0
2025-05-24,57419,15.55328,15.55328,0.0
2025-05-25,57438,8.71549,8.71549,0.0
2025-05-26,57448,9.33174,9.33174,0.0
2025-05-27,57463,11.81837,11.81837,0.0
2025-05-28,57493,19.0273,19.0273,0.0
2025-05-29,57516,18.73714,18.73714,0.0
2025-05-30,57543,14.0917,14.0917,0.0
2025-05-31,57558,13.82024,13.82024,0.0
2025-06-01,57575,13.2135,13.2135,0.0
2025-06-02,57598,23.30199,23.30199,0.0
2025-06-03,57624,17.63943,17.63943,0.0
2025-06-04,57646,18.62175,18.62175,0.0
