date,tvl,apy,apy_base,apy_reward
2025-02-12,203061,9e-05,9e-05,0.0
2025-02-13,203857,2.13331,0.29157,1.84174
2025-02-14,203885,9.45092,8.3412,1.10972
2025-02-15,237418,9.36674,8.26477,1.10197
2025-02-16,237437,10.43716,9.50993,0.92723
2025-02-17,226929,4.31447,2.64241,1.67205
2025-02-18,204284,5.77389,4.4148,1.35909
2025-02-19,204051,25.1297,25.1297,0.0
2025-02-20,358494,8.98389,7.66962,1.31427
2025-02-21,318743,8.94897,7.79454,1.15443
2025-02-22,260223,8.75395,7.35689,1.39707
2025-02-23,260389,9.02585,7.68874,1.33711
2025-02-24,187502,8.09281,6.82507,1.26774
2025-02-25,169005,14.02196,13.88178,0.14018
2025-02-26,169613,8.93462,8.03533,0.89929
2025-02-27,219550,7.64256,6.38299,1.25957
2025-02-28,112988,7.54452,6.40996,1.13456
2025-03-01,113214,8.17305,7.22447,0.94859
2025-03-02,113266,10.8835,10.06504,0.81845
2025-03-03,112979,12.19254,11.92604,0.2665
2025-03-04,113696,11.87629,11.67278,0.20351
2025-03-05,40817,14.9706,14.9706,0.0
2025-03-06,106623,7.25457,6.63593,0.61864
2025-03-07,96767,7.43513,6.86156,0.57356
2025-03-08,3418,9.21778,8.86729,0.35049
2025-03-09,3421,8.42944,8.20305,0.2264
2025-03-10,3419,8.43693,8.30086,0.13607
2025-03-11,204247,5.69091,5.21716,0.47375
2025-03-12,204548,6.11562,5.63789,0.47773
2025-03-13,204559,5.24904,4.67842,0.57061
2025-03-14,204689,10.12502,10.0649,0.06012
2025-03-15,204689,10.12502,10.0649,0.06012
2025-03-16,204689,10.12366,10.06395,0.0597
2025-03-17,204689,10.12502,10.0649,0.06012
2025-03-18,204820,9.44764,9.3221,0.12554
2025-03-19,294731,8.02827,7.68238,0.3459
2025-03-20,454776,6.59613,6.10384,0.49229
2025-03-21,370342,13.93138,13.93138,0.0
2025-03-22,375979,7.83568,7.47236,0.36333
2025-03-23,375962,6.87293,6.40763,0.4653
2025-03-24,362227,6.00199,5.38485,0.61714
2025-03-25,357223,6.36654,5.74931,0.61723
2025-03-26,755457,5.72869,5.02069,0.70799
2025-03-27,557727,4.98987,4.09666,0.89321
2025-03-28,362260,5.53384,4.88671,0.64714
2025-03-29,356573,5.58521,5.02902,0.55619
2025-03-30,357295,5.55272,5.03694,0.51578
2025-03-31,354290,4.21539,3.57357,0.64182
2025-04-01,256224,5.41385,4.88635,0.52749
2025-04-02,381131,5.49274,5.03847,0.45428
2025-04-03,355245,5.8786,5.51615,0.36246
2025-04-04,356233,5.5611,5.12901,0.43209
2025-04-05,356915,5.64205,5.23447,0.40758
2025-04-06,356008,7.13127,7.10509,0.02618
2025-04-07,356709,5.60777,5.60777,0.0
2025-04-08,357813,5.83313,5.61909,0.21404
2025-04-09,357900,5.96694,5.65363,0.31331
2025-04-10,307952,5.45048,5.14491,0.30557
2025-04-11,358016,5.88124,5.61625,0.26499
2025-04-12,358070,6.16798,5.53762,0.63036
2025-04-13,358137,8.00807,8.00807,0.0
2025-04-14,358509,6.47253,6.30762,0.16492
2025-04-15,382542,4.91086,4.6571,0.25375
2025-04-16,382291,4.71815,4.40535,0.3128
2025-04-17,382372,5.45544,5.2236,0.23184
2025-04-18,382425,5.35814,5.35814,0.0
2025-04-19,327836,5.23042,5.21076,0.01966
2025-04-20,427912,5.26196,5.26111,0.00084
2025-04-21,427858,8.67335,8.67335,0.0
2025-04-22,427963,5.19779,5.14168,0.05611
2025-04-23,426976,5.63584,5.30786,0.32798
2025-04-24,427071,5.18389,5.03197,0.15192
2025-04-25,425886,5.10703,4.91874,0.18829
2025-04-26,425973,5.06432,4.81161,0.2527
2025-04-27,223488,7.90172,7.90172,0.0
2025-04-28,223541,5.29867,5.12731,0.17136
2025-04-29,223550,5.06093,4.85266,0.20828
2025-04-30,211768,9.01941,9.01941,0.0
2025-05-01,221811,5.35981,5.03938,0.32043
2025-05-02,171841,7.79988,7.75725,0.04263
2025-05-03,171867,5.30995,5.03122,0.27873
2025-05-04,171901,4.40396,4.01423,0.38973
2025-05-05,171917,4.40401,3.96339,0.44062
2025-05-06,161942,4.56778,4.08707,0.48071
2025-05-07,156958,4.57788,4.12416,0.45372
2025-05-08,130946,4.55238,3.89972,0.65266
