date,tvl,apy,apy_base,apy_reward
2025-03-20,106962,0,0,0
2025-03-21,332940,0,0,0
2025-03-22,719109,0,0,0
2025-03-23,538401,0,0,0
2025-03-24,6150119,0,0,0
2025-03-25,6396539,0,0,0
2025-03-26,6314230,0,0,0
2025-03-27,6620812,0,0,0
2025-03-28,6572632,0,0,0
2025-03-29,7892439,0,0,0
2025-03-30,8161590,0,0,0
2025-03-31,14126486,0,0,0
2025-04-01,14225307,0,0,0
2025-04-02,14306190,0,0,0
2025-04-03,18110628,0,0,0
2025-04-04,18323982,0,0,0
2025-04-05,18351513,0,0,0
2025-04-06,18513339,0,0,0
2025-04-07,18560954,0,0,0
2025-04-08,18578967,0,0,0
2025-04-09,19702012,0,0,0
2025-04-10,17865098,0,0,0
2025-04-11,17803781,0,0,0
2025-04-12,17909432,0,0,0
2025-04-13,18073583,0,0,0
2025-04-14,18322021,0,0,0
2025-04-15,15355899,0,0,0
2025-04-16,16229147,0,0,0
2025-04-17,16478249,0,0,0
2025-04-18,16359458,0,0,0
2025-04-19,16295262,0,0,0
2025-04-20,17112317,0,0,0
2025-04-21,17021366,0,0,0
2025-04-22,12150721,0,0,0
2025-04-23,11809648,0,0,0
2025-04-24,11819181,0,0,0
2025-04-25,11732649,0,0,0
2025-04-26,11557484,0,0,0
2025-04-27,11660334,0,0,0
2025-04-28,11403721,0,0,0
2025-04-29,11404760,0,0,0
2025-04-30,11357145,0,0,0
2025-05-01,12009249,0,0,0
2025-05-02,12178188,0,0,0
2025-05-03,11643345,0,0,0
2025-05-04,11526757,0,0,0
2025-05-05,11498397,0,0,0
2025-05-06,10582965,0,0,0
2025-05-07,10567362,0,0,0
2025-05-08,10638471,0,0,0
2025-05-09,10613978,0,0,0
2025-05-10,10784987,0,0,0
2025-05-11,10802681,0,0,0
2025-05-12,10825326,0,0,0
2025-05-13,10918121,0,0,0
2025-05-14,10130949,0,0,0
2025-05-15,10076036,0,0,0
2025-05-16,10097996,0,0,0
2025-05-17,10116846,0,0,0
2025-05-19,7419606,0,0,0
2025-05-20,7460211,0,0,0
2025-05-21,7304390,0,0,0
2025-05-22,7268311,0,0,0
2025-05-23,7390819,0,0,0
2025-05-24,7418723,0,0,0
2025-05-25,7410143,0,0,0
2025-05-26,7419950,0,0,0
2025-05-27,7416956,0,0,0
2025-05-28,7325868,0,0,0
2025-05-29,7307498,0,0,0
2025-05-30,6613756,0,0,0
2025-05-31,6275468,0,0,0
2025-06-01,8487074,0,0,0
2025-06-02,8384259,0,0,0
2025-06-03,8383067,0,0,0
2025-06-04,8381826,0,0,0
