date,tvl,apy,apy_base,apy_reward
2025-05-04,8038,0,0,0
2025-05-05,808889,0,0,0
2025-05-06,808889,0,0,0
2025-05-07,820902,0,0,0
2025-05-08,821256,0,0,0
2025-05-09,809243,0,0,0
2025-05-10,809243,0,0,0
2025-05-11,800853,0,0,0
2025-05-12,800853,0,0,0
2025-05-13,800853,0,0,0
2025-05-14,800853,0,0,0
2025-05-15,800853,0,0,0
2025-05-16,800853,0,0,0
2025-05-17,800853,0,0,0
2025-05-19,800853,0,0,0
2025-05-20,805770,0,0,0
2025-05-21,805770,0,0,0
2025-05-22,805770,0,0,0
2025-05-23,805770,0,0,0
2025-05-24,805770,0,0,0
2025-05-25,805770,0,0,0
2025-05-26,805770,0,0,0
2025-05-27,805770,0,0,0
2025-05-28,805770,0,0,0
2025-05-29,805770,0,0,0
2025-05-30,805770,0,0,0
2025-05-31,805770,0,0,0
2025-06-01,805770,0,0,0
2025-06-02,805770,0,0,0
2025-06-03,805770,0,0,0
2025-06-04,805770,0,0,0
