date,tvl,apy,apy_base,apy_reward
2024-06-06,150448,6.49518,6.49518,0.0
2024-06-07,150430,6.53345,6.53345,0.0
2024-06-08,150434,6.5703,6.5703,0.0
2024-06-09,150402,6.60744,6.60744,0.0
2024-06-10,150457,6.64488,6.64488,0.0
2024-06-11,147227,6.67184,6.67184,0.0
2024-06-12,150619,6.72056,6.72056,0.0
2024-06-13,150965,6.75889,6.75889,0.0
2024-06-14,150672,6.79751,6.79751,0.0
2024-06-15,106203,28.17279,28.17279,0.0
2024-06-16,105884,29.67091,29.67091,0.0
2024-06-17,106204,31.28554,31.28554,0.0
2024-06-18,111459,16.82912,16.82912,0.0
2024-06-19,108794,27.97482,27.97482,0.0
2024-06-20,112282,17.03716,17.03716,0.0
2024-06-21,112510,17.212,17.212,0.0
2024-06-22,113510,14.30154,14.30154,0.0
2024-06-23,118745,11.14188,11.14188,0.0
2024-06-24,143862,7.79987,7.79987,0.0
2024-06-25,143984,7.68745,7.68745,0.0
2024-06-26,159692,6.13374,6.13374,0.0
2024-06-27,159553,6.01409,6.01409,0.0
2024-06-28,159543,5.63722,5.63722,0.0
2024-06-29,159455,5.46157,5.46157,0.0
2024-06-30,155198,7.17648,7.17648,0.0
2024-07-01,155621,7.17997,7.17997,0.0
2024-07-02,155663,7.17525,7.17525,0.0
2024-07-03,153500,11.3677,11.3677,0.0
2024-07-04,153164,11.47826,11.47826,0.0
2024-07-05,153293,11.59232,11.59232,0.0
2024-07-06,166944,7.33354,7.33354,0.0
2024-07-07,167870,7.29919,7.29919,0.0
2024-07-08,167896,7.26833,7.26833,0.0
2024-07-09,167105,7.0991,7.0991,0.0
2024-07-10,157978,7.9872,7.9872,0.0
2024-07-11,157293,8.00016,8.00016,0.0
2024-07-12,157955,7.99683,7.99683,0.0
2024-07-13,157595,8.01685,8.01685,0.0
2024-07-14,157714,8.01078,8.01078,0.0
2024-07-15,157684,8.04053,8.04053,0.0
2024-07-16,167828,7.08555,7.08555,0.0
2024-07-17,165100,7.27674,7.27674,0.0
2024-07-18,165380,7.29592,7.29592,0.0
2024-07-19,164948,13.55763,13.55763,0.0
2024-07-20,168501,8.99082,8.99082,0.0
