date,tvl,apy,apy_base,apy_reward
2025-02-21,5210,10.17521,8.12122,2.05399
2025-02-22,203627,12.01215,9.86573,2.14642
2025-02-23,203659,11.29878,9.11068,2.18809
2025-02-24,203698,10.40905,8.40425,2.0048
2025-02-25,203827,9.74828,8.57935,1.16893
2025-02-26,203864,10.3757,8.9535,1.42219
2025-02-27,203911,11.9843,10.36536,1.61894
2025-02-28,203958,11.12853,9.53414,1.59439
2025-03-01,204013,10.97243,9.43194,1.54049
2025-03-02,204066,11.32643,9.57874,1.74768
2025-03-03,204120,10.5451,9.30912,1.23598
2025-03-04,204155,10.9291,9.92293,1.00618
2025-03-05,204227,10.26201,9.00186,1.26015
2025-03-06,204284,9.74271,8.6708,1.0719
2025-03-07,204308,9.85456,8.85503,0.99953
2025-03-08,204359,10.60662,9.6861,0.92052
2025-03-09,204424,10.75139,10.1754,0.57598
2025-03-10,204458,30.67991,30.67991,0.0
2025-03-11,204583,10.66456,10.50993,0.15463
2025-03-12,204609,11.62066,11.51146,0.1092
2025-03-13,204688,9.93955,9.64308,0.29647
2025-03-14,204739,10.04054,9.72024,0.3203
2025-03-15,204739,10.04054,9.72024,0.3203
2025-03-16,204739,10.04083,9.7206,0.32023
2025-03-17,204739,10.04075,9.72049,0.32026
2025-03-18,204940,8.64364,8.17744,0.46619
2025-03-19,205002,9.45572,9.00514,0.45058
2025-03-20,205120,20.63929,20.63929,0.0
2025-03-21,205225,29.16905,29.16905,0.0
2025-03-22,205370,27.78924,8.84554,18.9437
2025-03-23,205420,17.23546,11.30139,5.93407
2025-03-24,205469,12.57766,12.57766,0.0
2025-03-25,205504,9.86491,9.70913,0.15578
2025-03-26,205544,8.34726,7.6438,0.70346
2025-03-27,205619,7.97153,7.09983,0.8717
2025-03-28,205647,9.68188,9.22828,0.45359
2025-03-29,205719,21.82826,21.82826,0.0
2025-03-30,205742,7.3063,6.74578,0.56052
2025-03-31,205798,6.5757,5.96536,0.61034
2025-04-01,205803,6.88657,6.27922,0.60735
2025-04-02,205850,7.76415,7.33143,0.43272
2025-04-03,205895,7.37754,6.96503,0.41251
2025-04-04,205915,7.08162,6.59447,0.48715
2025-04-05,205954,7.44554,7.44554,0.0
2025-04-06,206006,5.69743,5.69743,0.0
2025-04-07,206039,7.0463,7.0463,0.0
2025-04-08,206070,4.80891,4.52721,0.2817
2025-04-09,206093,6.04172,5.56516,0.47656
2025-04-10,206130,5.87753,5.45445,0.42308
2025-04-11,206170,6.45817,6.06193,0.39625
2025-04-12,206207,6.36495,5.91593,0.44902
2025-04-13,206230,6.42071,6.07302,0.34769
2025-04-14,206272,6.40283,6.04201,0.36082
2025-04-15,231822,6.88827,6.68438,0.20389
2025-04-16,231844,5.87469,5.70355,0.17114
2025-04-17,231871,5.17522,4.87146,0.30376
2025-04-18,231915,4.81217,4.73811,0.07407
2025-04-19,231930,4.90468,4.8188,0.08588
2025-04-20,231970,4.90422,4.83445,0.06978
2025-04-21,256553,4.89327,4.82066,0.07261
2025-04-22,231027,6.05081,5.99006,0.06076
2025-04-23,232075,6.27632,6.12892,0.1474
2025-04-24,232116,6.0932,5.9025,0.1907
2025-04-25,232160,6.43684,6.24758,0.18926
2025-04-26,232194,6.72963,6.50103,0.2286
2025-04-27,232230,7.64203,7.56211,0.07992
2025-04-28,232300,6.53689,6.35272,0.18417
2025-04-29,232310,6.15643,5.91855,0.23788
2025-04-30,232341,6.16443,5.9367,0.22773
2025-05-01,232404,7.35383,7.10449,0.24934
2025-05-02,232434,9.53014,9.53014,0.0
2025-05-03,232493,10.61397,10.61397,0.0
2025-05-04,232553,11.23268,11.23268,0.0
2025-05-05,232612,6.98007,6.67844,0.30163
2025-05-06,232643,6.48129,6.01841,0.46289
2025-05-07,232698,6.53216,6.10809,0.42407
2025-05-08,232752,7.88984,7.38137,0.50847
2025-05-09,232842,6.38132,5.70967,0.67165
2025-05-10,232867,6.40974,5.46315,0.94659
2025-05-11,232905,6.39847,5.63304,0.76543
2025-05-12,232952,6.37912,5.63533,0.74379
2025-05-13,232993,6.75784,5.92024,0.8376
2025-05-14,233013,6.87818,6.11643,0.76175
2025-05-15,233039,8.01702,7.38804,0.62898
2025-05-16,233066,6.57613,5.80384,0.77229
2025-05-17,233073,8.19022,7.67569,0.51453
2025-05-19,238502,8.74463,8.21514,0.52949
2025-05-20,238550,8.70479,8.14223,0.56256
2025-05-21,238582,9.07722,8.60032,0.47689
2025-05-22,228626,9.91976,9.47308,0.44668
2025-05-23,228670,10.7198,10.479,0.2408
2025-05-24,228732,8.64718,8.20698,0.44019
2025-05-25,228766,8.82215,8.46064,0.3615
2025-05-26,228809,8.96605,8.61464,0.35141
2025-05-27,78859,19.61448,19.61448,0.0
2025-05-28,78904,21.65533,21.65533,0.0
2025-05-29,78933,23.57312,23.57312,0.0
2025-05-30,78966,10.05443,9.98499,0.06944
2025-05-31,78984,8.36278,8.05816,0.30462
2025-06-01,79003,8.09095,7.73151,0.35944
2025-06-02,79007,7.24764,6.81518,0.43246
2025-06-03,79024,7.80085,7.38238,0.41847
2025-06-04,79039,7.58797,7.14952,0.43845
