date,tvl,apy,apy_base,apy_reward
2024-12-16,4345943,9.91459,9.91459,0.0
2024-12-17,5371600,12.59251,12.59251,0.0
2024-12-18,6436744,8.64462,8.64462,0.0
2024-12-19,5288747,4.8333,4.8333,0.0
2024-12-20,5071585,13.61296,13.61296,0.0
2024-12-21,5811182,8.21343,8.21343,0.0
2024-12-22,6405730,8.16427,8.16427,0.0
2024-12-23,4128121,7.6544,7.6544,0.0
2024-12-24,3999559,13.17744,13.17744,0.0
2024-12-25,2949492,9.45534,9.45534,0.0
2024-12-26,3085345,9.87394,9.87394,0.0
2024-12-27,2669644,17.15333,17.15333,0.0
2024-12-28,3378929,14.79974,14.79974,0.0
2024-12-29,3144765,6.9171,6.9171,0.0
2024-12-30,2887998,12.26742,12.26742,0.0
2024-12-31,3001789,8.3245,8.3245,0.0
2025-01-01,2943901,7.1849,7.1849,0.0
2025-01-02,2651639,8.03294,8.03294,0.0
2025-01-03,2359257,7.9236,7.9236,0.0
2025-01-04,2316625,8.4645,8.4645,0.0
2025-01-05,2065750,5.69227,5.69227,0.0
2025-01-06,1888316,6.60932,6.60932,0.0
2025-01-07,1553484,6.08587,6.08587,0.0
2025-01-08,1429596,9.02739,9.02739,0.0
2025-01-09,1394084,9.71945,9.71945,0.0
2025-01-10,1390411,7.78794,7.78794,0.0
2025-01-11,750974,7.82585,7.82585,0.0
2025-01-12,736635,7.18917,7.18917,0.0
2025-01-13,712553,12.47514,12.47514,0.0
2025-01-14,711910,6.48036,6.48036,0.0
2025-01-15,669365,4.67146,4.67146,0.0
2025-01-16,530482,5.14772,5.14772,0.0
2025-01-17,524266,6.39127,6.39127,0.0
2025-01-18,524440,7.47611,7.47611,0.0
2025-01-19,524207,8.79036,8.79036,0.0
2025-01-20,524288,10.0947,10.0947,0.0
2025-01-21,519002,7.31158,7.31158,0.0
2025-01-22,516257,8.12684,8.12684,0.0
2025-01-23,502700,5.95278,5.95278,0.0
2025-01-24,489725,11.02682,6.87409,4.15273
