date,tvl,apy,apy_base,apy_reward
2024-09-11,95199,0.0,0.0,0.0
2024-09-12,492127,11.045,11.045,0.0
2024-09-13,601533,12.33325,12.33325,0.0
2024-09-14,613811,13.1337,13.1337,0.0
2024-09-15,645015,15.92697,15.92697,0.0
2024-09-16,670244,12.21746,12.21746,0.0
2024-09-17,865245,19.80266,19.80266,0.0
2024-09-18,878336,10.96487,10.96487,0.0
2024-09-19,1013697,4.6725,4.6725,0.0
2024-09-20,963989,6.63199,6.63199,0.0
2024-09-21,933405,5.34896,5.34896,0.0
2024-09-22,911674,8.69937,8.69937,0.0
2024-09-23,910425,8.64202,8.64202,0.0
2024-09-24,914795,9.12403,9.12403,0.0
2024-09-25,925473,16.85724,16.85724,0.0
2024-09-26,946703,5.26909,5.26909,0.0
2024-09-27,946724,5.21928,5.21928,0.0
2024-09-28,946992,5.75224,5.75224,0.0
2024-09-29,948894,5.69506,5.69506,0.0
2024-09-30,938145,5.73481,5.73481,0.0
2024-10-01,938299,6.27178,6.27178,0.0
2024-10-02,938507,8.50739,8.50739,0.0
2024-10-03,938720,8.57101,8.57101,0.0
2024-10-04,1420699,3.41758,3.41758,0.0
2024-10-05,1382582,3.44723,3.44723,0.0
2024-10-06,1150854,4.88216,4.88216,0.0
2024-10-07,1149876,4.7867,4.7867,0.0
2024-10-08,1140361,4.59009,4.59009,0.0
2024-10-09,1140477,4.6676,4.6676,0.0
2024-10-10,1140714,4.58602,4.58602,0.0
2024-10-11,1089872,4.87634,4.87634,0.0
2024-10-12,1090781,2.26869,2.26869,0.0
2024-10-13,1089993,2.14151,2.14151,0.0
2024-10-14,1090395,2.08236,2.08236,0.0
2024-10-15,1090945,1.9142,1.9142,0.0
2024-10-16,608040,10.11569,10.11569,0.0
2024-10-17,611166,9.87354,9.87354,0.0
2024-10-18,613166,9.86247,9.86247,0.0
2024-10-19,612960,10.24478,10.24478,0.0
2024-10-20,632544,5.4576,5.4576,0.0
2024-10-21,617497,5.0045,5.0045,0.0
2024-10-22,598363,5.27603,5.27603,0.0
2024-10-23,595671,5.30799,5.30799,0.0
2024-10-24,595718,5.30721,5.30721,0.0
2024-10-25,596875,5.30086,5.30086,0.0
2024-10-26,595414,5.29452,5.29452,0.0
2024-10-27,595979,5.28819,5.28819,0.0
2024-10-28,597081,5.25079,5.25079,0.0
2024-10-29,871779,8.33042,8.33042,0.0
2024-10-30,872505,8.42951,8.42951,0.0
2024-10-31,872309,8.5304,8.5304,0.0
2024-11-01,1674025,1.93403,1.93403,0.0
2024-11-02,1672214,1.80151,1.80151,0.0
2024-11-03,1671824,1.74475,1.74475,0.0
2024-11-04,1672277,1.58706,1.58706,0.0
2024-11-05,851964,10.75597,10.75597,0.0
2024-11-06,853305,11.04335,11.04335,0.0
2024-11-07,865659,9.29382,9.29382,0.0
2024-11-08,866180,9.46402,9.46402,0.0
2024-11-09,865426,9.6388,9.6388,0.0
2024-11-10,866348,15.32809,15.32809,0.0
2024-11-11,867362,16.32882,16.32882,0.0
2024-11-12,866834,16.92182,16.92182,0.0
2024-11-13,868160,17.54701,17.54701,0.0
2024-11-14,760009,22.49767,22.49767,0.0
2024-11-15,759830,24.81462,24.81462,0.0
2024-11-16,760022,26.46234,26.46234,0.0
2024-11-17,790588,15.82771,15.82771,0.0
2024-11-18,792503,15.86448,15.86448,0.0
2024-11-19,791041,17.23494,17.23494,0.0
2024-11-20,876460,8.72451,8.72451,0.0
2024-11-21,875920,8.63189,8.63189,0.0
2024-11-22,876806,8.54028,8.54028,0.0
2024-11-23,877058,8.44969,8.44969,0.0
2024-11-24,877138,8.35994,8.35994,0.0
2024-11-25,877435,8.05159,8.05159,0.0
2024-11-26,876697,7.94848,7.94848,0.0
2024-11-27,876923,7.85003,7.85003,0.0
2024-11-28,877012,7.75287,7.75287,0.0
2024-11-29,877229,7.65698,7.65698,0.0
2024-11-30,952792,12.06721,12.06721,0.0
2024-12-01,1096382,7.28113,7.28113,0.0
2024-12-02,1140035,8.15323,8.15323,0.0
2024-12-03,1138882,8.06331,8.06331,0.0
2024-12-04,1139771,7.99357,7.99357,0.0
2024-12-05,1139846,7.85361,7.85361,0.0
2024-12-06,1140194,7.78157,7.78157,0.0
2024-12-07,1127526,7.87522,7.87522,0.0
2024-12-08,1126465,7.81493,7.81493,0.0
2024-12-09,1127788,7.75513,7.75513,0.0
2024-12-10,1127250,9.98664,9.98664,0.0
2024-12-11,1127275,10.06697,10.06697,0.0
2024-12-12,1124899,10.78704,10.78704,0.0
2024-12-13,1121615,8.54409,8.54409,0.0
2024-12-14,1125485,8.53008,8.53008,0.0
2024-12-15,1124804,8.53089,8.53089,0.0
2024-12-16,1124973,7.89873,7.89873,0.0
2024-12-17,1128456,7.84345,7.84345,0.0
2024-12-18,1125720,8.17149,8.17149,0.0
2024-12-19,1025217,31.9548,31.9548,0.0
2024-12-20,1084431,13.18127,13.18127,0.0
2024-12-21,1136665,8.89761,8.89761,0.0
2024-12-22,1135072,8.85391,8.85391,0.0
2024-12-23,1076784,17.76108,17.76108,0.0
2024-12-24,1203138,8.81758,8.81758,0.0
2024-12-25,1115400,10.51875,10.51875,0.0
2024-12-26,1090457,32.9102,32.9102,0.0
2024-12-27,1339189,8.64582,8.64582,0.0
2024-12-28,1866212,5.80554,5.80554,0.0
2024-12-29,1524187,8.05374,8.05374,0.0
2024-12-30,1507549,11.3061,11.3061,0.0
2024-12-31,1491521,16.45781,16.45781,0.0
2025-01-01,1528816,10.9112,10.9112,0.0
2025-01-02,1523114,10.98588,10.98588,0.0
2025-01-03,1490277,17.73141,17.73141,0.0
2025-01-04,1613864,15.29215,15.29215,0.0
2025-01-05,1557337,24.16422,24.16422,0.0
2025-01-06,1675827,11.54288,11.54288,0.0
2025-01-07,1584950,17.74906,17.74906,0.0
2025-01-08,1598452,14.57186,14.57186,0.0
2025-01-09,1625362,12.50857,12.50857,0.0
2025-01-10,2079063,7.18084,7.18084,0.0
2025-01-11,1526251,12.83755,12.83755,0.0
2025-01-12,1551239,12.01361,12.01361,0.0
2025-01-13,1549205,11.97141,11.97141,0.0
2025-01-14,1506967,17.84218,17.84218,0.0
2025-01-15,1600629,11.46953,11.46953,0.0
2025-01-16,1587748,11.57445,11.57445,0.0
2025-01-17,1855522,8.57379,8.57379,0.0
2025-01-18,1618234,10.81358,10.81358,0.0
2025-01-19,1618243,10.73278,10.73278,0.0
2025-01-20,1427986,48.12782,48.12782,0.0
2025-01-21,1479162,15.95367,15.95367,0.0
2025-01-22,1620538,11.17383,11.17383,0.0
2025-01-23,1622910,11.04079,11.04079,0.0
2025-01-24,1684333,13.56246,10.31773,3.24473
2025-01-25,1647244,13.03187,10.49238,2.53949
2025-01-26,1676138,13.25041,10.63054,2.61987
2025-01-27,1668450,13.25965,10.57933,2.68032
2025-01-28,1621905,13.71934,11.05347,2.66587
2025-01-29,1503329,23.45861,21.61181,1.8468
2025-01-30,1506025,22.80063,20.98424,1.81638
2025-01-31,1425368,28.27249,28.27249,0.0
2025-02-01,1939767,9.65165,8.04728,1.60437
2025-02-02,1539998,13.13942,12.36751,0.77191
2025-02-03,1261852,14.55353,13.83105,0.72248
2025-02-04,1263792,12.78945,12.21109,0.57835
2025-02-05,1220120,28.93044,28.93044,0.0
2025-02-06,1421279,10.78507,10.00251,0.78257
2025-02-07,1448708,10.47287,9.68737,0.7855
2025-02-08,1271650,13.29537,12.58318,0.7122
2025-02-09,1243992,22.37277,22.37277,0.0
2025-02-10,1392709,11.3769,10.47573,0.90117
2025-02-11,1393878,11.08887,10.34331,0.74557
2025-02-12,1275000,12.75066,12.1704,0.58027
2025-02-13,1457317,10.36856,9.44125,0.92731
2025-02-14,1457723,8.29428,7.05105,1.24323
2025-02-15,1425764,8.33227,7.1113,1.22097
2025-02-16,1289483,10.78919,9.89617,0.89302
2025-02-17,1307892,10.36524,9.36507,1.00017
2025-02-18,1337328,9.9455,9.04992,0.89558
2025-02-19,1310755,6.85786,5.41874,1.43912
2025-02-20,1162681,7.87988,6.44177,1.43811
2025-02-21,1083344,8.30175,7.07443,1.22732
2025-02-22,888413,12.4888,11.50672,0.98208
2025-02-23,898963,11.13793,10.0355,1.10243
2025-02-24,918418,10.59922,9.60997,0.98925
2025-02-25,913581,10.26947,9.70763,0.56184
2025-02-26,890963,11.02896,10.36233,0.66662
2025-02-27,892302,11.07331,10.19458,0.87873
2025-02-28,888642,10.95052,10.19433,0.75619
2025-03-01,892251,10.81414,10.15901,0.65513
2025-03-02,967760,9.68752,8.73584,0.95169
2025-03-03,962261,9.27747,8.68705,0.59042
2025-03-04,957393,9.20406,8.70292,0.50113
2025-03-05,1057216,7.83277,7.1259,0.70687
2025-03-06,1011330,8.06526,7.53633,0.52893
2025-03-07,950044,2.0725,0.90307,1.16942
2025-03-08,817211,2.14771,1.01166,1.13605
2025-03-09,810828,1.88236,0.92852,0.95385
2025-03-10,702139,1.90623,1.04453,0.8617
2025-03-11,701257,1.85259,0.95235,0.90024
2025-03-12,701248,1.86628,0.91608,0.9502
2025-03-13,680755,1.80667,0.85217,0.95451
2025-03-14,681101,1.77073,0.78153,0.9892
2025-03-15,681101,1.77073,0.78153,0.9892
2025-03-16,681101,1.77073,0.78153,0.9892
2025-03-17,681101,1.77051,0.78139,0.98912
2025-03-18,353133,2.48172,1.58214,0.89958
2025-03-19,284904,3.07483,2.17855,0.89628
2025-03-20,285050,3.0117,2.12114,0.89056
2025-03-21,285295,2.97382,2.07612,0.8977
2025-03-22,285206,2.93598,2.01919,0.9168
2025-03-23,285154,2.86189,1.95839,0.9035
2025-03-24,206997,13.05014,13.05014,0.0
2025-03-25,308922,2.80772,1.79485,1.01287
2025-03-26,267275,3.22562,2.23951,0.98611
2025-03-27,265436,3.30716,2.22724,1.07993
2025-03-28,265697,3.10393,2.18681,0.91712
2025-03-29,265176,2.99145,2.14715,0.8443
2025-03-30,239135,3.3034,2.53791,0.7655
2025-03-31,207363,13.47886,13.47886,0.0
2025-04-01,364586,2.08231,1.18441,0.8979
2025-04-02,211024,11.4872,11.4872,0.0
2025-04-03,235422,3.37279,2.73183,0.64096
2025-04-04,215080,6.0918,5.71877,0.37302
2025-04-05,215495,6.26968,5.93267,0.33701
2025-04-06,214948,6.27599,6.15446,0.12153
2025-04-07,215363,6.38419,6.38419,0.0
2025-04-08,217717,6.65838,6.53607,0.12231
2025-04-09,217767,6.94977,6.74649,0.20327
2025-04-10,217689,7.958,7.9325,0.0255
2025-04-11,242745,4.13491,3.67587,0.45905
2025-04-12,242764,4.14332,3.64916,0.49415
2025-04-13,217272,11.66826,11.66826,0.0
2025-04-14,458213,1.98423,1.32028,0.66395
2025-04-15,207341,14.21526,14.21526,0.0
2025-04-16,592972,1.52958,0.91607,0.61351
2025-04-17,205614,21.65616,21.65616,0.0
2025-04-18,400791,2.20832,1.87481,0.33351
2025-04-19,264265,3.94908,3.78692,0.16216
2025-04-20,216316,13.94785,13.94785,0.0
2025-04-21,281819,3.62327,3.43828,0.18499
2025-04-22,208307,26.74221,26.74221,0.0
2025-04-23,290463,4.00558,3.73832,0.26725
2025-04-24,270553,4.80116,4.60655,0.19461
2025-04-25,297015,4.09335,3.79222,0.30113
2025-04-26,238973,5.66403,5.47793,0.1861
2025-04-27,231364,6.15823,6.06466,0.09356
2025-04-28,231423,6.15568,6.0797,0.07597
2025-04-29,220344,16.10158,16.10158,0.0
2025-04-30,468124,2.2473,1.73443,0.51286
2025-05-01,421146,2.56255,1.9313,0.63125
2025-05-02,208805,27.64878,27.64878,0.0
2025-05-03,265241,4.79738,4.46175,0.33563
2025-05-04,253064,5.09857,4.7893,0.30927
2025-05-05,226840,9.51788,9.51788,0.0
2025-05-06,244665,5.84406,5.50521,0.33885
2025-05-07,245137,5.77228,5.4513,0.32097
2025-05-08,1321300,1.36101,0.3537,1.00731
2025-05-09,1307589,1.32938,0.32048,1.0089
2025-05-10,1307566,1.41754,0.28645,1.13109
2025-05-11,1302493,1.30388,0.21646,1.08742
2025-05-12,1225953,1.28253,0.21037,1.07216
2025-05-13,1221159,1.36893,0.18836,1.18057
2025-05-14,184172,13.42893,13.42893,0.0
2025-05-15,280676,2.83632,1.88162,0.9547
2025-05-16,184325,14.52856,14.52856,0.0
2025-05-17,184336,14.83084,14.83084,0.0
2025-05-19,229696,3.69303,2.85031,0.84272
2025-05-20,229710,3.6779,2.80752,0.87038
2025-05-21,229729,3.60685,2.76536,0.84149
2025-05-22,229727,3.61525,2.72394,0.89132
2025-05-23,228084,3.52236,2.71828,0.80407
2025-05-24,222826,3.56906,2.79479,0.77427
2025-05-25,221996,3.51343,2.78254,0.73088
2025-05-26,220853,3.51396,2.77898,0.73498
2025-05-27,220862,3.51016,2.75112,0.75904
2025-05-28,220889,3.43212,2.72359,0.70853
2025-05-29,220900,3.40497,2.69634,0.70864
2025-05-30,220942,3.32077,2.66938,0.65139
2025-05-31,220952,3.29547,2.64271,0.65276
2025-06-01,220734,3.29284,2.62145,0.67139
2025-06-02,218878,3.2899,2.63514,0.65476
2025-06-03,218899,3.30513,2.61202,0.69311
2025-06-04,218905,3.03133,2.58911,0.44223
