date,tvl,apy,apy_base,apy_reward
2025-03-06,2714208,0,0,0
2025-03-07,2714743,0,0,0
2025-03-08,4349342,0,0,0
2025-03-09,4256432,0,0,0
2025-03-10,4367324,0,0,0
2025-03-11,4519999,0,0,0
2025-03-12,4521987,0,0,0
2025-03-13,5043712,0,0,0
2025-03-14,8912373,0,0,0
2025-03-15,8912373,0,0,0
2025-03-16,8912373,0,0,0
2025-03-17,7880550,0,0,0
2025-03-18,10520777,0,0,0
2025-03-19,14412615,0,0,0
2025-03-20,21764486,0,0,0
2025-03-21,22980252,0,0,0
2025-03-22,23898020,0,0,0
2025-03-23,22548932,0,0,0
2025-03-24,23818414,0,0,0
2025-03-25,33476372,0,0,0
2025-03-26,28918435,0,0,0
2025-03-27,39787103,0,0,0
2025-03-28,31227603,0,0,0
2025-03-29,31227603,0,0,0
2025-03-30,31227603,0,0,0
2025-03-31,37358778,0,0,0
2025-04-01,39985599,0,0,0
2025-04-02,44815172,0,0,0
2025-04-03,46858291,0,0,0
2025-04-04,52702460,0,0,0
2025-04-05,49543425,0,0,0
2025-04-06,51676413,0,0,0
2025-04-07,51642521,0,0,0
2025-04-08,55416471,0,0,0
2025-04-09,55144058,0,0,0
2025-04-10,58368829,0,0,0
2025-04-11,67059997,0,0,0
2025-04-12,67612919,0,0,0
2025-04-13,67885426,0,0,0
2025-04-14,68752143,0,0,0
2025-04-15,60042295,0,0,0
2025-04-16,66949735,0,0,0
2025-04-17,63372856,0,0,0
2025-04-18,67702924,0,0,0
2025-04-19,68197395,0,0,0
2025-04-20,67210254,0,0,0
2025-04-21,68556539,0,0,0
2025-04-22,65100173,0,0,0
2025-04-23,65668482,0,0,0
2025-04-24,63459744,0,0,0
2025-04-25,67463811,0,0,0
2025-04-26,67673165,0,0,0
2025-04-27,65503042,0,0,0
2025-04-28,70044012,0,0,0
2025-04-29,72056185,0,0,0
2025-04-30,45636298,0,0,0
2025-05-01,45516675,0,0,0
2025-05-02,51198147,0,0,0
2025-05-03,52135113,0,0,0
2025-05-04,50034095,0,0,0
2025-05-05,49877109,0,0,0
2025-05-06,37566013,0,0,0
2025-05-07,37667738,0,0,0
2025-05-08,38608277,0,0,0
2025-05-09,38158321,0,0,0
2025-05-10,37426865,0,0,0
2025-05-11,33548274,0,0,0
2025-05-12,43395400,0,0,0
2025-05-13,33926304,0,0,0
2025-05-14,34675099,0,0,0
2025-05-15,33949044,0,0,0
2025-05-16,36984767,0,0,0
2025-05-17,36984767,0,0,0
2025-05-19,24458848,0,0,0
2025-05-20,23985355,0,0,0
2025-05-21,23986398,0,0,0
2025-05-22,23986398,0,0,0
2025-05-23,23975162,0,0,0
2025-05-24,23983288,0,0,0
2025-05-25,23983288,0,0,0
2025-05-26,23176745,0,0,0
2025-05-27,13911254,0,0,0
2025-05-28,9415565,0,0,0
2025-05-29,6057107,0,0,0
2025-05-30,5323725,0,0,0
2025-05-31,5319617,0,0,0
2025-06-01,210518,0,0,0
2025-06-02,210518,0,0,0
2025-06-03,210518,0,0,0
2025-06-04,150847,0,0,0
