date,tvl,apy,apy_base,apy_reward
2024-12-30,3719149,0,0,0
2024-12-31,3527098,0,0,0
2025-01-01,3526333,0,0,0
2025-01-02,3816217,0,0,0
2025-01-03,4277343,0,0,0
2025-01-04,4845369,0,0,0
2025-01-05,26513972,0,0,0
2025-01-06,36443535,0,0,0
2025-01-07,57433711,0,0,0
2025-01-08,74586901,0,0,0
2025-01-09,85861735,0,0,0
2025-01-10,104564060,0,0,0
2025-01-11,113095344,0,0,0
2025-01-12,134243697,0,0,0
2025-01-13,137109936,0,0,0
2025-01-14,140372495,0,0,0
2025-01-15,141082957,0,0,0
2025-01-16,130689830,0,0,0
2025-01-17,128708683,0,0,0
2025-01-18,125391308,0,0,0
2025-01-19,124512847,0,0,0
2025-01-20,124642709,0,0,0
2025-01-21,133187139,0,0,0
2025-01-22,149456228,0,0,0
2025-01-23,153502202,0,0,0
2025-01-24,156804990,0,0,0
2025-01-25,162100432,0,0,0
2025-01-26,159725253,0,0,0
2025-01-27,162388468,0,0,0
2025-01-28,164395514,0,0,0
2025-01-29,163025571,0,0,0
2025-01-30,169654767,0,0,0
2025-01-31,165314973,0,0,0
2025-02-01,157208787,0,0,0
2025-02-02,154174449,0,0,0
2025-02-03,126644619,0,0,0
2025-02-04,122348786,0,0,0
2025-02-05,114707691,0,0,0
2025-02-06,105122421,0,0,0
2025-02-07,110565279,0,0,0
2025-02-08,103297764,0,0,0
2025-02-09,101946671,0,0,0
2025-02-10,101566819,0,0,0
2025-02-11,103966588,0,0,0
2025-02-12,102116631,0,0,0
2025-02-13,101740336,0,0,0
2025-02-14,102021082,0,0,0
2025-02-15,102053775,0,0,0
2025-02-16,98113266,0,0,0
2025-02-17,98147841,0,0,0
2025-02-18,97964616,0,0,0
2025-02-19,93653710,0,0,0
2025-02-20,79659597,0,0,0
2025-02-21,49242754,0,0,0
2025-02-22,49800064,0,0,0
2025-02-23,48882607,0,0,0
2025-02-24,43780395,0,0,0
2025-02-25,34460100,0,0,0
2025-02-26,25641293,0,0,0
2025-02-27,11695455,0,0,0
2025-02-28,6534947,0,0,0
2025-03-01,6522916,0,0,0
2025-03-02,2951651,0,0,0
2025-03-03,1727445,0,0,0
2025-03-04,1727184,0,0,0
2025-03-05,1728711,0,0,0
2025-03-06,1727270,0,0,0
2025-03-07,1230798,0,0,0
2025-03-08,1232387,0,0,0
2025-03-09,1231677,0,0,0
2025-03-10,1231519,0,0,0
2025-03-11,1231376,0,0,0
2025-03-12,1230987,0,0,0
2025-03-13,1195056,0,0,0
2025-03-14,1195056,0,0,0
2025-03-15,1195056,0,0,0
2025-03-16,1195056,0,0,0
2025-03-17,1195056,0,0,0
2025-03-18,1195056,0,0,0
2025-03-19,1195056,0,0,0
2025-03-20,1195056,0,0,0
2025-03-21,1195056,0,0,0
2025-03-22,1195056,0,0,0
2025-03-23,1195056,0,0,0
2025-03-24,1195056,0,0,0
2025-03-25,1195056,0,0,0
2025-03-26,133337,0,0,0
2025-03-27,133337,0,0,0
2025-03-28,133337,0,0,0
2025-03-29,133337,0,0,0
2025-03-30,133337,0,0,0
2025-03-31,133337,0,0,0
2025-04-01,133337,0,0,0
2025-04-02,133337,0,0,0
2025-04-03,133337,0,0,0
2025-04-04,124783,0,0,0
2025-04-05,124783,0,0,0
2025-04-06,124783,0,0,0
2025-04-07,124783,0,0,0
2025-04-08,124783,0,0,0
2025-04-09,124783,0,0,0
2025-04-10,124783,0,0,0
2025-04-11,124783,0,0,0
2025-04-12,124783,0,0,0
2025-04-13,124783,0,0,0
2025-04-14,124783,0,0,0
2025-04-15,124783,0,0,0
2025-04-16,124783,0,0,0
2025-04-17,124783,0,0,0
2025-04-18,124783,0,0,0
2025-04-19,124783,0,0,0
2025-04-20,124783,0,0,0
2025-04-21,124783,0,0,0
2025-04-22,124783,0,0,0
2025-04-23,124783,0,0,0
2025-04-24,124783,0,0,0
2025-04-25,124783,0,0,0
2025-04-26,124783,0,0,0
2025-04-27,124783,0,0,0
2025-04-28,124783,0,0,0
2025-04-29,124783,0,0,0
2025-04-30,124783,0,0,0
2025-05-01,124783,0,0,0
2025-05-02,124783,0,0,0
2025-05-03,124783,0,0,0
2025-05-04,124783,0,0,0
2025-05-05,124783,0,0,0
2025-05-06,124783,0,0,0
2025-05-07,124783,0,0,0
2025-05-08,124783,0,0,0
2025-05-09,124783,0,0,0
2025-05-10,124783,0,0,0
2025-05-11,124783,0,0,0
2025-05-12,124783,0,0,0
2025-05-13,124783,0,0,0
2025-05-14,124783,0,0,0
2025-05-15,124783,0,0,0
2025-05-16,124783,0,0,0
2025-05-17,124783,0,0,0
2025-05-19,124783,0,0,0
2025-05-20,124783,0,0,0
2025-05-21,124783,0,0,0
2025-05-22,124783,0,0,0
2025-05-23,124783,0,0,0
2025-05-24,124783,0,0,0
2025-05-25,124783,0,0,0
2025-05-26,124783,0,0,0
2025-05-27,124783,0,0,0
2025-05-28,124783,0,0,0
2025-05-29,124783,0,0,0
2025-05-30,124783,0,0,0
2025-05-31,124783,0,0,0
2025-06-01,124783,0,0,0
2025-06-02,124783,0,0,0
2025-06-03,124783,0,0,0
2025-06-04,124783,0,0,0
