date,tvl,apy,apy_base,apy_reward
2024-12-28,10103,0,0,0
2024-12-29,10105,0,0,0
2024-12-31,4090,0,0,0
2025-01-01,4097,0,0,0
2025-01-02,4097,0,0,0
2025-01-03,611723,0,0,0
2025-01-04,611349,0,0,0
2025-01-05,606891,0,0,0
2025-01-06,607684,0,0,0
2025-01-07,607796,0,0,0
2025-01-08,608495,0,0,0
2025-01-09,608846,0,0,0
2025-01-10,1035671,0,0,0
2025-01-11,33115138,0,0,0
2025-01-12,33099718,0,0,0
2025-01-13,33021718,0,0,0
2025-01-14,33256812,0,0,0
2025-01-15,33598505,0,0,0
2025-01-16,33706911,0,0,0
2025-01-17,33868548,0,0,0
2025-01-18,33832193,0,0,0
2025-01-19,33539462,0,0,0
2025-01-20,33533285,0,0,0
2025-01-21,33582207,0,0,0
2025-01-22,33616135,0,0,0
2025-01-23,33653623,0,0,0
2025-01-24,33675554,0,0,0
2025-01-25,33700263,0,0,0
2025-01-26,33740783,0,0,0
2025-01-27,33799765,0,0,0
2025-01-28,33837174,0,0,0
2025-01-29,33896095,0,0,0
2025-01-30,33973717,0,0,0
2025-01-31,34159107,0,0,0
2025-02-01,35121019,0,0,0
2025-02-02,35079187,0,0,0
2025-02-03,35092538,0,0,0
2025-02-04,35132714,0,0,0
2025-02-05,1442882,0,0,0
2025-02-06,1445456,0,0,0
2025-02-07,1446492,0,0,0
2025-02-08,1447459,0,0,0
2025-02-09,1447885,0,0,0
2025-02-10,1447674,0,0,0
2025-02-11,1451408,0,0,0
2025-02-12,1451748,0,0,0
2025-02-13,1452437,0,0,0
2025-02-14,1454067,0,0,0
2025-02-15,1452540,0,0,0
2025-02-16,1452641,0,0,0
2025-02-17,1454465,0,0,0
2025-02-18,1454451,0,0,0
2025-02-19,1454496,0,0,0
2025-02-20,1457903,0,0,0
2025-02-21,1451108,0,0,0
2025-02-22,1453695,0,0,0
2025-02-23,1455568,0,0,0
2025-02-24,1457481,0,0,0
2025-02-25,1455139,0,0,0
2025-02-26,1458120,0,0,0
2025-02-27,1464644,0,0,0
2025-02-28,1621148,0,0,0
2025-03-01,1464026,0,0,0
2025-03-02,1464013,0,0,0
2025-03-03,1468226,0,0,0
2025-03-04,1469642,0,0,0
2025-03-05,1471942,0,0,0
2025-03-06,1472399,0,0,0
2025-03-07,1475912,0,0,0
2025-03-08,1479082,0,0,0
2025-03-09,1477446,0,0,0
2025-03-10,1475939,0,0,0
2025-03-11,1623675,0,0,0
2025-03-12,1623232,0,0,0
2025-03-13,1621166,0,0,0
2025-03-14,1621166,0,0,0
2025-03-15,1621166,0,0,0
2025-03-16,1621166,0,0,0
2025-03-17,1859125,0,0,0
2025-03-18,1859125,0,0,0
2025-03-19,1866605,0,0,0
2025-03-20,1866605,0,0,0
2025-03-21,1866605,0,0,0
2025-03-22,1866605,0,0,0
2025-03-23,9264571,0,0,0
2025-03-24,9125996,0,0,0
2025-03-25,13128015,0,0,0
2025-03-26,21698910,0,0,0
2025-03-27,54795343,0,0,0
2025-03-28,73581443,0,0,0
2025-03-29,80717664,0,0,0
2025-03-30,83057164,0,0,0
2025-03-31,83089521,0,0,0
2025-04-01,93166868,0,0,0
2025-04-02,92808855,0,0,0
2025-04-03,97908963,0,0,0
2025-04-04,100813724,0,0,0
2025-04-05,100661755,0,0,0
2025-04-06,101519733,0,0,0
2025-04-07,110052334,0,0,0
2025-04-08,115926586,0,0,0
2025-04-09,113832932,0,0,0
2025-04-10,114452223,0,0,0
2025-04-11,94573416,0,0,0
2025-04-12,106501993,0,0,0
2025-04-13,118100926,0,0,0
2025-04-14,104664331,0,0,0
2025-04-15,108569653,0,0,0
2025-04-16,107746788,0,0,0
2025-04-17,107815066,0,0,0
2025-04-18,100837699,0,0,0
2025-04-19,98882594,0,0,0
2025-04-20,103002946,0,0,0
2025-04-21,100354047,0,0,0
2025-04-22,100292138,0,0,0
2025-04-23,93350315,0,0,0
2025-04-24,92485388,0,0,0
2025-04-25,92375654,0,0,0
2025-04-26,91848176,0,0,0
2025-04-27,91441092,0,0,0
2025-04-28,90155549,0,0,0
2025-04-29,90155549,0,0,0
2025-04-30,80555652,0,0,0
2025-05-01,83259986,0,0,0
2025-05-02,81915543,0,0,0
2025-05-03,46835691,0,0,0
2025-05-04,31303462,0,0,0
2025-05-05,20090106,0,0,0
2025-05-06,20090106,0,0,0
2025-05-07,20094494,0,0,0
2025-05-08,20169351,0,0,0
2025-05-09,13431804,0,0,0
2025-05-10,13431804,0,0,0
2025-05-11,15202366,0,0,0
2025-05-12,10062625,0,0,0
2025-05-13,10062625,0,0,0
2025-05-14,10894637,0,0,0
2025-05-15,12255822,0,0,0
2025-05-16,11509625,0,0,0
2025-05-17,16186540,0,0,0
2025-05-19,12584524,0,0,0
2025-05-20,11975204,0,0,0
2025-05-21,11888653,0,0,0
2025-05-22,11888653,0,0,0
2025-05-23,8167979,0,0,0
2025-05-24,8167979,0,0,0
2025-05-25,5999078,0,0,0
2025-05-26,5873355,0,0,0
2025-05-27,5549221,0,0,0
2025-05-28,4937503,0,0,0
2025-05-29,3906890,0,0,0
2025-05-30,1600463,0,0,0
2025-05-31,499492,0,0,0
2025-06-01,417856,0,0,0
2025-06-02,315436,0,0,0
2025-06-03,309701,0,0,0
2025-06-04,309701,0,0,0
